date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2020-10-05,63.0,60.0,51.0,40.0,23.0,34.0,51.0,62.0,29.0,29.0,35.0,27.0,47.0,36.0,51.0,53.0,32.0,59.75609756097561,47.0,25.0,52.085965251252176
2020-10-06,58.0,61.0,77.0,41.0,47.0,53.0,57.0,76.0,41.0,47.0,47.0,34.0,55.0,58.0,45.0,32.0,33.0,45.121951219512205,47.0,19.0,59.29878275344442
2020-10-07,57.0,50.0,38.0,41.0,36.0,53.0,59.0,32.0,47.0,35.0,41.0,34.0,49.0,44.0,53.0,54.0,39.0,53.65853658536585,41.0,45.0,54.94404232867143
2020-10-08,45.0,47.0,39.0,50.0,44.0,49.0,59.0,33.0,74.0,36.0,74.0,65.0,65.0,100.0,47.0,75.0,58.0,63.414634146341456,43.0,100.0,71.07738953376041
2020-10-09,55.0,50.0,49.0,52.0,33.0,44.0,48.0,85.0,64.0,43.0,58.0,61.0,51.0,56.0,49.0,28.0,61.0,65.85365853658537,52.0,43.0,63.85268195532305
2020-10-10,42.0,49.0,54.0,40.0,22.0,28.0,38.0,59.0,35.0,14.0,34.0,75.0,59.0,44.0,63.0,47.0,39.0,9.75609756097561,41.0,38.0,50.62348587310317
2020-10-11,72.0,73.0,95.0,53.0,47.0,39.0,43.0,81.0,51.0,52.0,54.0,54.0,92.0,41.0,81.0,64.0,37.0,92.6829268292683,68.0,43.0,75.11555667850722
2020-10-12,53.0,97.0,72.0,65.0,39.0,36.0,68.0,87.0,43.0,63.0,69.0,80.0,72.0,8.0,27.0,49.0,35.0,71.95121951219512,43.0,69.0,69.89135442831028
2020-10-13,37.0,72.0,55.0,57.0,82.0,42.0,66.0,60.0,35.0,72.0,71.0,56.0,57.0,61.0,61.0,74.0,63.0,46.34146341463415,28.0,53.0,69.97607122155671
2020-10-14,37.0,58.0,54.0,48.0,67.0,53.0,39.0,54.0,59.0,29.0,59.0,56.0,63.0,73.0,79.0,58.0,44.0,59.75609756097561,40.0,51.0,65.85764606215538
2020-10-15,31.0,35.0,40.0,50.0,58.0,44.0,33.0,58.0,43.0,43.0,55.0,22.0,36.0,23.0,61.0,48.0,35.0,15.853658536585364,65.0,69.0,52.701276696936816
2020-10-16,55.0,54.0,76.0,91.0,100.0,64.0,79.0,70.0,45.0,70.0,64.0,69.0,30.0,55.0,65.0,87.0,82.0,59.75609756097561,75.0,57.0,82.12772914406314
2020-10-17,74.0,53.0,70.0,32.0,70.0,27.0,37.0,58.0,40.0,27.0,47.0,73.0,56.0,59.0,52.0,67.0,51.0,52.4390243902439,48.0,45.0,63.278985776496285
