date,/g/121j1nlf_0,/g/121j1nlf_1,/g/121j1nlf_2,/g/121j1nlf_3,/g/121j1nlf_4,/g/121j1nlf_5,/g/121j1nlf_6,/g/121j1nlf_7,/g/121j1nlf_8,/g/121j1nlf_9,/g/121j1nlf
2021-04-18,64.0,36.0,41.0,73.0,53.48837209302326,58.8235294117647,57.142857142857146,52.0,31.31313131313131,53.42465753424658,52.65633858223906
2021-04-19,81.0,80.0,84.0,100.0,84.88372093023256,81.17647058823529,78.02197802197803,70.0,75.75757575757575,83.56164383561644,82.84244141888236
2021-04-20,82.0,78.0,95.0,82.0,94.18604651162791,82.3529411764706,89.01098901098901,88.0,80.8080808080808,84.93150684931507,86.67766088214552
2021-04-21,83.0,100.0,78.0,72.0,87.20930232558139,77.6470588235294,95.6043956043956,90.0,72.72727272727273,64.38356164383562,83.06211948112878
2021-04-22,74.0,77.0,70.0,76.0,68.6046511627907,85.88235294117646,63.73626373626374,59.0,55.55555555555556,67.12328767123287,70.54371250747923
2021-04-23,69.0,47.0,43.0,42.0,50.0,34.11764705882353,50.54945054945055,35.0,43.43434343434343,57.534246575342465,47.74118463301522
2021-04-24,32.0,31.0,33.0,25.0,38.372093023255815,56.470588235294116,54.94505494505494,34.0,33.333333333333336,32.87671232876713,37.55414203692943
2021-04-25,37.0,35.0,37.0,37.0,46.51162790697674,41.1764705882353,43.956043956043956,40.0,44.44444444444444,36.986301369863014,40.396238926090696
2021-04-26,48.0,55.0,31.0,55.0,44.18604651162791,52.94117647058823,36.26373626373626,36.0,22.22222222222222,45.205479452054796,43.1033694965916
2021-04-27,53.0,74.0,64.0,61.0,54.651162790697676,63.529411764705884,41.75824175824176,52.0,40.4040404040404,64.38356164383562,57.569165475587546
2021-04-28,65.0,38.0,42.0,50.0,46.51162790697674,57.64705882352941,49.45054945054945,34.0,47.474747474747474,60.273972602739725,49.636340804155104
2021-04-29,71.0,97.0,55.0,62.0,62.7906976744186,88.23529411764706,83.51648351648352,72.0,46.464646464646464,82.1917808219178,72.90192342090047
2021-04-30,67.0,92.0,88.0,75.0,88.37209302325581,85.88235294117646,87.91208791208791,78.0,56.56565656565657,79.45205479452055,80.7959669368285
2021-05-01,58.0,57.0,75.0,65.0,67.44186046511628,65.88235294117646,71.42857142857143,65.0,59.5959595959596,73.97260273972603,66.63838595815308
2021-05-02,54.0,41.0,41.0,62.0,56.97674418604651,43.529411764705884,62.637362637362635,44.0,33.333333333333336,52.054794520547944,49.653922542210324
2021-05-03,83.0,77.0,71.0,45.0,74.4186046511628,84.70588235294117,82.41758241758242,68.0,60.60606060606061,75.34246575342466,73.03267468613292
2021-05-04,46.0,64.0,45.0,39.0,50.0,65.88235294117646,48.35164835164835,55.0,55.55555555555556,76.71232876712328,55.21826893626273
2021-05-05,70.0,62.0,53.0,55.0,59.30232558139535,70.58823529411765,61.53846153846154,55.0,53.535353535353536,64.38356164383562,61.17494334862223
2021-05-06,88.0,89.0,49.0,92.0,87.20930232558139,91.76470588235294,100.0,78.0,61.61616161616162,76.71232876712328,82.3263077139912
