date,/g/11j8_9sv06_0,/g/11j8_9sv06_1,/g/11j8_9sv06_2,/g/11j8_9sv06_3,/g/11j8_9sv06_4,/g/11j8_9sv06_5,/g/11j8_9sv06_6,/g/11j8_9sv06_7,/g/11j8_9sv06_8,/g/11j8_9sv06_9,/g/11j8_9sv06
2020-02-01,8.0,0.0,27.0,0.0,0.0,0.0,27.0,32.0,12.0,16.0,12.525667351129362
2020-02-02,7.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,11.0,15.0,6.262833675564681
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,12.0,0.0,0.0,8.0,13.0,0.0,15.0,0.0,0.0,4.928131416837782
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,14.0,9.0,29.0,0.0,16.0,0.0,16.0,8.624229979466119
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,12.0,13.0,0.0,0.0,0.0,14.0,0.0,0.0,4.004106776180698
2020-02-11,7.0,11.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,14.0,5.749486652977413
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2320328542094454
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,13.0,0.0,14.0,0.0,0.0,0.0,16.0,0.0,16.0,6.057494866529773
2020-02-16,0.0,12.0,26.0,14.0,16.0,42.0,13.0,15.0,11.0,15.0,16.837782340862418
2020-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,10.0,0.0,1.7453798767967146
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,8.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.2587268993839835
2020-02-24,13.0,23.0,24.0,26.0,15.0,26.0,37.0,28.0,21.0,42.0,26.18069815195072
2020-02-25,13.0,22.0,23.0,49.0,22.0,25.0,24.0,42.0,0.0,28.0,25.46201232032854
2020-02-26,13.0,42.0,22.0,12.0,7.0,12.0,34.0,27.0,29.0,0.0,20.32854209445585
2020-02-27,6.0,21.0,22.0,24.0,14.0,0.0,34.0,27.0,19.0,0.0,17.145790554414784
2020-02-28,21.0,34.0,12.0,39.0,16.0,26.0,25.0,44.0,32.0,29.0,28.542094455852155
2020-02-29,27.0,45.0,24.0,39.0,8.0,92.0,37.0,15.0,21.0,43.0,36.03696098562628
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14.0,2.464065708418891
2020-03-02,31.0,21.0,22.0,35.0,21.0,24.0,22.0,39.0,19.0,26.0,26.694045174537987
2020-03-03,20.0,22.0,0.0,12.0,22.0,13.0,36.0,42.0,30.0,28.0,23.100616016427104
2020-03-04,19.0,43.0,23.0,60.0,0.0,50.0,35.0,40.0,19.0,53.0,35.1129363449692
2020-03-05,6.0,31.0,22.0,23.0,14.0,36.0,46.0,13.0,10.0,13.0,21.97125256673511
2020-03-06,33.0,33.0,24.0,50.0,15.0,39.0,36.0,70.0,41.0,42.0,39.3223819301848
2020-03-07,7.0,12.0,13.0,14.0,16.0,42.0,13.0,15.0,0.0,0.0,13.552361396303901
2020-03-08,7.0,12.0,25.0,13.0,0.0,0.0,26.0,0.0,11.0,15.0,11.190965092402463
2020-03-09,13.0,21.0,23.0,24.0,14.0,25.0,23.0,40.0,10.0,0.0,19.815195071868583
2020-03-10,13.0,22.0,35.0,37.0,15.0,13.0,12.0,14.0,10.0,28.0,20.4312114989733
2020-03-11,6.0,11.0,12.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,5.441478439425051
2020-03-12,6.0,11.0,0.0,0.0,7.0,0.0,0.0,13.0,10.0,13.0,6.160164271047227
2020-03-13,27.0,34.0,48.0,0.0,31.0,66.0,86.0,28.0,63.0,29.0,42.299794661190965
2020-03-14,51.0,96.0,39.0,41.0,40.0,97.0,13.0,77.0,66.0,15.0,54.92813141683778
2020-03-15,25.0,42.0,89.0,24.0,35.0,72.0,34.0,39.0,57.0,52.0,48.15195071868583
2020-03-16,46.0,67.0,52.0,43.0,39.0,78.0,63.0,85.0,53.0,37.0,57.802874743326484
2020-03-17,28.0,77.0,82.0,43.0,39.0,100.0,31.0,48.0,44.0,60.0,56.67351129363449
2020-03-18,30.0,90.0,64.0,56.0,61.0,46.0,75.0,76.0,36.0,50.0,59.958932238193015
2020-03-19,24.0,20.0,55.0,57.0,28.0,48.0,55.0,65.0,47.0,77.0,48.87063655030801
2020-03-20,35.0,50.0,63.0,34.0,34.0,58.0,66.0,63.0,73.0,50.0,54.0041067761807
2020-03-21,34.0,23.0,61.0,38.0,46.0,93.0,100.0,43.0,74.0,58.0,58.52156057494866
2020-03-22,13.0,77.0,94.0,100.0,52.0,51.0,71.0,55.0,71.0,96.0,69.81519507186857
2020-03-23,10.0,34.0,37.0,48.0,17.0,30.0,28.0,54.0,16.0,22.0,30.390143737166323
2020-03-24,5.0,9.0,20.0,42.0,6.0,11.0,30.0,12.0,25.0,0.0,16.427104722792606
2020-03-25,11.0,0.0,20.0,41.0,19.0,21.0,40.0,0.0,17.0,23.0,19.712525667351127
2020-03-26,11.0,39.0,0.0,33.0,13.0,11.0,11.0,12.0,9.0,0.0,14.271047227926077
2020-03-27,16.0,27.0,30.0,62.0,31.0,42.0,49.0,69.0,42.0,47.0,42.60780287474332
2020-03-28,32.0,43.0,35.0,12.0,29.0,25.0,47.0,41.0,10.0,41.0,32.340862422997944
2020-03-29,19.0,44.0,35.0,62.0,15.0,51.0,59.0,55.0,20.0,27.0,39.73305954825462
2020-03-30,17.0,28.0,20.0,10.0,13.0,43.0,0.0,23.0,0.0,23.0,18.17248459958932
2020-03-31,22.0,27.0,29.0,41.0,24.0,10.0,29.0,34.0,41.0,11.0,27.515400410677618
2020-04-01,11.0,19.0,30.0,10.0,19.0,33.0,20.0,35.0,25.0,35.0,24.33264887063655
2020-04-02,11.0,0.0,20.0,21.0,13.0,33.0,52.0,24.0,26.0,48.0,25.46201232032854
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,27.0,33.0,24.0,75.0,15.0,52.0,36.0,42.0,30.0,42.0,38.60369609856263
2020-04-05,0.0,11.0,0.0,12.0,0.0,13.0,0.0,0.0,0.0,0.0,3.6960985626283365
2020-04-06,11.0,9.0,29.0,21.0,19.0,32.0,10.0,0.0,8.0,11.0,15.40041067761807
2020-04-07,11.0,0.0,20.0,21.0,0.0,11.0,0.0,12.0,17.0,12.0,10.677618069815194
2020-04-08,23.0,19.0,31.0,11.0,19.0,0.0,31.0,36.0,35.0,36.0,24.743326488706366
2020-04-09,0.0,29.0,20.0,32.0,20.0,22.0,31.0,24.0,17.0,12.0,21.252566735112936
