date,/m/0405g08_0,/m/0405g08_1,/m/0405g08_2,/m/0405g08_3,/m/0405g08_4,/m/0405g08_5,/m/0405g08_6,/m/0405g08_7,/m/0405g08_8,/m/0405g08_9,/m/0405g08
2020-02-01,0.0,24.0,26.0,13.0,13.0,0.0,11.0,30.0,50.0,9.0,23.036649214659686
2020-02-02,54.0,60.0,88.0,39.0,64.0,71.0,62.0,69.0,37.0,54.0,78.27225130890052
2020-02-03,35.0,10.0,11.0,22.0,11.0,40.0,9.0,17.0,10.0,23.0,24.607329842931936
2020-02-04,25.0,66.0,47.0,60.0,35.0,55.0,29.0,27.0,34.0,33.0,53.795811518324605
2020-02-05,37.0,33.0,24.0,37.0,47.0,33.0,19.0,0.0,22.0,33.0,37.303664921465966
2020-02-06,39.0,11.0,24.0,25.0,24.0,0.0,20.0,19.0,47.0,26.0,30.75916230366492
2020-02-07,54.0,0.0,63.0,26.0,38.0,24.0,21.0,40.0,24.0,18.0,40.31413612565445
2020-02-08,69.0,62.0,78.0,53.0,91.0,37.0,32.0,51.0,50.0,56.0,75.78534031413612
2020-02-09,27.0,59.0,37.0,64.0,25.0,59.0,10.0,29.0,36.0,27.0,48.821989528795804
2020-02-10,25.0,11.0,11.0,12.0,35.0,43.0,9.0,18.0,22.0,0.0,24.345549738219898
2020-02-11,36.0,11.0,34.0,23.0,23.0,0.0,27.0,18.0,11.0,40.0,29.18848167539267
2020-02-12,48.0,21.0,33.0,35.0,23.0,21.0,27.0,26.0,32.0,8.0,35.86387434554974
2020-02-13,12.0,22.0,23.0,24.0,35.0,22.0,0.0,9.0,55.0,24.0,29.58115183246073
2020-02-14,51.0,34.0,72.0,49.0,36.0,11.0,30.0,47.0,23.0,26.0,49.60732984293193
2020-02-15,28.0,25.0,40.0,54.0,40.0,12.0,22.0,21.0,25.0,28.0,38.61256544502618
2020-02-16,52.0,47.0,37.0,25.0,37.0,34.0,71.0,39.0,83.0,43.0,61.2565445026178
2020-02-17,24.0,10.0,34.0,11.0,11.0,21.0,18.0,9.0,11.0,24.0,22.643979057591622
2020-02-18,48.0,43.0,45.0,35.0,34.0,21.0,9.0,53.0,11.0,32.0,43.32460732984293
