date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-10-05,42.0,68.29268292682927,76.0,41.0,79.0,57.0,11.0,67.0,72.0,63.0,65.0,68.0,33.0,52.0,82.0,24.0,19.0,53.0,63.0,25.0,76.39533248980739
2020-10-06,83.0,68.29268292682927,34.0,62.0,59.0,95.0,86.0,68.0,31.0,36.0,66.0,48.0,56.0,70.0,63.0,8.0,48.0,32.0,43.0,43.0,79.20532827217768
2020-10-07,42.0,50.0,100.0,21.0,61.0,39.0,55.0,46.0,31.0,45.0,22.0,19.0,79.0,43.0,31.0,83.0,39.0,54.0,43.0,43.0,68.16041051595668
2020-10-08,34.0,63.414634146341456,60.0,15.0,32.0,52.0,36.0,48.0,78.0,48.0,23.0,52.0,48.0,28.0,34.0,54.0,32.0,35.0,46.0,55.0,62.93054969773653
2020-10-09,60.0,68.29268292682927,76.0,32.0,92.0,55.0,75.0,65.0,24.0,51.0,63.0,100.0,91.0,100.0,60.0,9.0,22.0,100.0,61.0,39.0,89.58069731477575
2020-10-10,62.0,0.0,26.0,33.0,36.0,57.0,39.0,27.0,100.0,32.0,26.0,23.0,13.0,42.0,37.0,39.0,23.0,25.0,63.0,10.0,51.37248699564177
2020-10-11,36.0,34.14634146341464,25.0,24.0,46.0,55.0,50.0,65.0,83.0,21.0,38.0,45.0,26.0,30.0,36.0,38.0,33.0,37.0,49.0,39.0,58.37199493884437
2020-10-12,57.0,31.707317073170728,36.0,38.0,11.0,11.0,36.0,50.0,56.0,39.0,60.0,65.0,61.0,67.0,69.0,36.0,43.0,71.0,47.0,56.0,67.77906649796148
2020-10-13,45.0,42.68292682926829,84.0,53.0,22.0,53.0,83.0,62.0,45.0,59.0,97.0,21.0,73.0,48.0,80.0,54.0,75.0,35.0,47.0,28.0,79.73780402080698
2020-10-14,43.0,20.73170731707317,69.0,72.0,42.0,20.0,34.0,23.0,22.0,56.0,57.0,51.0,35.0,18.0,55.0,35.0,40.0,34.0,33.0,71.0,59.85519471390411
