date,/m/01b_21_0,/m/01b_21,batch_id
2020-02-01,51.0,51.0,1
2020-02-02,58.0,58.0,1
2020-02-03,74.0,74.0,1
2020-02-04,37.0,37.0,1
2020-02-05,39.0,39.0,1
2020-02-06,38.0,38.0,1
2020-02-07,47.0,47.0,1
2020-02-08,68.0,68.0,1
2020-02-09,45.0,45.0,1
2020-02-10,54.0,54.0,1
2020-02-11,43.0,43.0,1
2020-02-12,42.0,42.0,1
2020-02-13,27.0,27.0,1
2020-02-14,40.0,40.0,1
2020-02-15,40.0,40.0,1
2020-02-16,42.0,42.0,1
2020-02-17,51.0,51.0,1
2020-02-18,60.0,60.0,1
2020-02-19,22.0,22.0,1
2020-02-20,42.0,42.0,1
2020-02-21,34.0,34.0,1
2020-02-22,24.0,24.0,1
2020-02-23,28.0,28.0,1
2020-02-24,24.0,24.0,1
2020-02-25,47.0,47.0,1
2020-02-26,38.0,38.0,1
2020-02-27,55.0,55.0,1
2020-02-28,38.0,38.0,1
2020-02-29,60.0,60.0,1
2020-03-01,32.0,32.0,1
2020-03-02,43.0,43.0,1
2020-03-03,30.0,30.0,1
2020-03-04,19.0,19.0,1
2020-03-05,38.0,38.0,1
2020-03-06,16.0,16.0,1
2020-03-07,41.0,41.0,1
2020-03-08,29.0,29.0,1
2020-03-09,47.0,47.0,1
2020-03-10,62.0,62.0,1
2020-03-11,42.0,42.0,1
2020-03-12,100.0,100.0,1
2020-03-13,49.0,49.0,1
2020-03-14,98.0,98.0,1
2020-03-15,68.0,68.0,1
2020-03-16,84.0,84.0,1
2020-03-17,75.0,75.0,1
2020-03-18,57.0,57.0,1
2020-03-19,72.0,72.0,1
2020-03-20,83.0,83.0,1
2020-03-21,67.0,67.0,1
2020-03-22,62.0,62.0,1
2020-03-23,49.0,49.0,1
2020-03-24,44.0,44.0,1
2020-03-25,33.0,33.0,1
2020-03-26,56.0,56.0,1
2020-03-27,39.0,39.0,1
2020-03-28,32.0,32.0,1
2020-03-29,40.0,40.0,1
2020-03-30,34.0,34.0,1
2020-03-31,40.0,40.0,1
2020-04-01,27.0,27.0,1
2020-04-02,40.0,40.0,1
2020-04-03,22.0,22.0,1
2020-04-04,48.0,48.0,1
2020-04-05,40.0,40.0,1
2020-04-06,6.0,6.0,1
2020-04-07,36.0,36.0,1
2020-04-08,7.0,7.0,1
2020-04-09,17.0,17.0,1
2020-04-10,29.0,29.0,1
2020-04-11,20.0,20.0,1
2020-04-12,19.0,19.0,1
2020-04-13,30.0,30.0,1
2020-04-14,37.0,37.0,1
2020-04-15,6.0,6.0,1
2020-04-16,12.0,12.0,1
2020-04-17,17.0,17.0,1
2020-04-18,11.0,11.0,1
2020-04-19,13.0,13.0,1
2020-04-20,12.0,12.0,1
2020-04-21,18.0,18.0,1
2020-04-22,13.0,13.0,1
2020-04-23,12.0,12.0,1
2020-04-24,23.0,23.0,1
2020-04-25,23.0,23.0,1
2020-04-26,18.0,18.0,1
2020-04-27,9.0,9.0,1
2020-04-28,9.0,9.0,1
2020-04-29,17.0,17.0,1
2020-04-30,18.0,18.0,1
2020-05-01,14.0,14.0,1
2020-05-02,11.0,11.0,1
2020-05-03,4.0,4.0,1
2020-05-04,9.0,9.0,1
2020-05-05,6.0,6.0,1
2020-05-06,9.0,9.0,1
2020-05-07,13.0,13.0,1
2020-05-08,18.0,18.0,1
2020-05-09,24.0,24.0,1
2020-05-10,11.0,11.0,1
2020-05-11,6.0,6.0,1
2020-05-12,9.0,9.0,1
2020-05-13,6.0,6.0,1
