date,/m/0g9pc_0,/m/0g9pc,batch_id
2020-02-01,22.0,22.0,1
2020-02-02,21.0,21.0,1
2020-02-03,14.0,14.0,1
2020-02-04,13.0,13.0,1
2020-02-05,12.0,12.0,1
2020-02-06,16.0,16.0,1
2020-02-07,10.0,10.0,1
2020-02-08,12.0,12.0,1
2020-02-09,10.0,10.0,1
2020-02-10,10.0,10.0,1
2020-02-11,9.0,9.0,1
2020-02-12,12.0,12.0,1
2020-02-13,10.0,10.0,1
2020-02-14,10.0,10.0,1
2020-02-15,11.0,11.0,1
2020-02-16,7.0,7.0,1
2020-02-17,8.0,8.0,1
2020-02-18,9.0,9.0,1
2020-02-19,5.0,5.0,1
2020-02-20,4.0,4.0,1
2020-02-21,6.0,6.0,1
2020-02-22,13.0,13.0,1
2020-02-23,38.0,38.0,1
2020-02-24,47.0,47.0,1
2020-02-25,84.0,84.0,1
2020-02-26,76.0,76.0,1
2020-02-27,68.0,68.0,1
2020-02-28,50.0,50.0,1
2020-02-29,46.0,46.0,1
2020-03-01,40.0,40.0,1
2020-03-02,35.0,35.0,1
2020-03-03,38.0,38.0,1
2020-03-04,30.0,30.0,1
2020-03-05,38.0,38.0,1
2020-03-06,36.0,36.0,1
2020-03-07,32.0,32.0,1
2020-03-08,39.0,39.0,1
2020-03-09,47.0,47.0,1
2020-03-10,82.0,82.0,1
2020-03-11,100.0,100.0,1
2020-03-12,93.0,93.0,1
2020-03-13,100.0,100.0,1
2020-03-14,90.0,90.0,1
2020-03-15,100.0,100.0,1
2020-03-16,74.0,74.0,1
2020-03-17,67.0,67.0,1
2020-03-18,57.0,57.0,1
2020-03-19,56.0,56.0,1
2020-03-20,50.0,50.0,1
2020-03-21,42.0,42.0,1
2020-03-22,47.0,47.0,1
2020-03-23,37.0,37.0,1
2020-03-24,46.0,46.0,1
2020-03-25,47.0,47.0,1
2020-03-26,36.0,36.0,1
2020-03-27,35.0,35.0,1
2020-03-28,36.0,36.0,1
2020-03-29,31.0,31.0,1
2020-03-30,26.0,26.0,1
2020-03-31,23.0,23.0,1
2020-04-01,27.0,27.0,1
2020-04-02,21.0,21.0,1
2020-04-03,21.0,21.0,1
2020-04-04,20.0,20.0,1
2020-04-05,22.0,22.0,1
2020-04-06,15.0,15.0,1
2020-04-07,16.0,16.0,1
2020-04-08,15.0,15.0,1
2020-04-09,19.0,19.0,1
2020-04-10,13.0,13.0,1
2020-04-11,11.0,11.0,1
2020-04-12,14.0,14.0,1
2020-04-13,14.0,14.0,1
2020-04-14,10.0,10.0,1
2020-04-15,11.0,11.0,1
2020-04-16,9.0,9.0,1
2020-04-17,10.0,10.0,1
2020-04-18,11.0,11.0,1
2020-04-19,11.0,11.0,1
2020-04-20,9.0,9.0,1
2020-04-21,10.0,10.0,1
2020-04-22,9.0,9.0,1
2020-04-23,9.0,9.0,1
2020-04-24,13.0,13.0,1
2020-04-25,10.0,10.0,1
2020-04-26,10.0,10.0,1
2020-04-27,8.0,8.0,1
2020-04-28,8.0,8.0,1
2020-04-29,11.0,11.0,1
2020-04-30,11.0,11.0,1
2020-05-01,9.0,9.0,1
2020-05-02,5.0,5.0,1
2020-05-03,11.0,11.0,1
2020-05-04,5.0,5.0,1
2020-05-05,6.0,6.0,1
2020-05-06,4.0,4.0,1
2020-05-07,9.0,9.0,1
2020-05-08,6.0,6.0,1
2020-05-09,5.0,5.0,1
2020-05-10,5.0,5.0,1
2020-05-11,6.0,6.0,1
2020-05-12,7.0,7.0,1
2020-05-13,8.0,8.0,1
2020-05-14,7.0,7.0,1
2020-05-15,6.0,6.0,1
2020-05-16,6.0,6.0,1
2020-05-17,8.0,8.0,1
2020-05-18,8.0,8.0,1
2020-05-19,5.0,5.0,1
2020-05-20,6.0,6.0,1
2020-05-21,7.0,7.0,1
2020-05-22,4.0,4.0,1
2020-05-23,5.0,5.0,1
2020-05-24,4.0,4.0,1
2020-05-25,3.0,3.0,1
2020-05-26,5.0,5.0,1
2020-05-27,4.0,4.0,1
2020-05-28,3.0,3.0,1
2020-05-29,5.0,5.0,1
2020-05-30,5.0,5.0,1
2020-05-31,5.0,5.0,1
2020-06-01,5.0,5.0,1
2020-06-02,3.0,3.0,1
2020-06-03,5.0,5.0,1
2020-06-04,5.0,5.0,1
2020-06-05,3.0,3.0,1
2020-06-06,4.0,4.0,1
2020-06-07,5.0,5.0,1
2020-06-08,4.0,4.0,1
2020-06-09,3.0,3.0,1
2020-06-10,4.0,4.0,1
2020-06-11,2.0,2.0,1
2020-06-12,3.0,3.0,1
2020-06-13,3.0,3.0,1
2020-06-14,7.0,7.0,1
2020-06-15,6.0,6.0,1
2020-06-16,6.0,6.0,1
2020-06-17,4.0,4.0,1
2020-06-18,3.0,3.0,1
2020-06-19,5.0,5.0,1
2020-06-20,6.0,6.0,1
2020-06-21,4.0,4.0,1
2020-06-22,3.0,3.0,1
2020-06-23,4.0,4.0,1
2020-06-24,4.0,4.0,1
2020-06-25,3.0,3.0,1
2020-06-26,5.0,5.0,1
2020-06-27,7.0,7.0,1
2020-06-28,3.0,3.0,1
2020-06-29,4.0,4.0,1
2020-06-30,6.0,6.0,1
2020-07-01,3.0,3.0,1
2020-07-02,6.0,6.0,1
2020-07-03,6.0,6.0,1
2020-07-04,4.0,4.0,1
2020-07-05,7.0,7.0,1
2020-07-06,6.0,6.0,1
2020-07-07,4.0,4.0,1
2020-07-08,5.0,5.0,1
2020-07-09,5.0,5.0,1
2020-07-10,4.0,4.0,1
2020-07-11,4.0,4.0,1
2020-07-12,6.0,6.0,1
2020-07-13,3.0,3.0,1
2020-07-14,4.0,4.0,1
2020-07-15,5.0,5.0,1
2020-07-16,4.0,4.0,1
2020-07-17,4.0,4.0,1
2020-07-18,6.0,6.0,1
2020-07-19,4.0,4.0,1
2020-07-20,3.0,3.0,1
2020-07-21,4.0,4.0,1
2020-07-22,4.0,4.0,1
2020-07-23,3.0,3.0,1
2020-07-24,6.0,6.0,1
2020-07-25,2.0,2.0,1
2020-07-26,2.0,2.0,1
2020-07-27,3.0,3.0,1
2020-07-28,1.0,1.0,1
2020-07-29,4.0,4.0,1
2020-07-30,3.0,3.0,1
2020-07-31,4.0,4.0,1
2020-08-01,4.0,4.0,1
2020-08-02,2.0,2.0,1
2020-08-03,2.0,2.0,1
2020-08-04,3.0,3.0,1
2020-08-05,2.0,2.0,1
2020-08-06,5.0,5.0,1
2020-08-07,3.0,3.0,1
2020-08-08,2.0,2.0,1
2020-08-09,4.0,4.0,1
2020-08-10,4.0,4.0,1
2020-08-11,2.0,2.0,1
2020-08-12,3.0,3.0,1
2020-08-13,4.0,4.0,1
2020-08-14,4.0,4.0,1
2020-08-15,1.0,1.0,1
2020-08-16,5.0,5.0,1
2020-08-17,3.0,3.0,1
2020-08-18,5.0,5.0,1
2020-08-19,6.0,6.0,1
2020-08-20,3.0,3.0,1
2020-08-21,5.0,5.0,1
2020-08-22,5.0,5.0,1
2020-08-23,2.0,2.0,1
2020-08-24,3.0,3.0,1
2020-08-25,4.0,4.0,1
2020-08-26,3.0,3.0,1
2020-08-27,3.0,3.0,1
2020-08-28,5.0,5.0,1
2020-08-29,3.0,3.0,1
2020-08-30,4.0,4.0,1
2020-08-31,3.0,3.0,1
2020-09-01,1.0,1.0,1
2020-09-02,2.0,2.0,1
2020-09-03,3.0,3.0,1
2020-09-04,3.0,3.0,1
2020-09-05,2.0,2.0,1
2020-09-06,4.0,4.0,1
2020-09-07,3.0,3.0,1
2020-09-08,2.0,2.0,1
2020-09-09,5.0,5.0,1
2020-09-10,2.0,2.0,1
2020-09-11,3.0,3.0,1
2020-09-12,3.0,3.0,1
2020-09-13,4.0,4.0,1
2020-09-14,4.0,4.0,1
2020-09-15,4.0,4.0,1
2020-09-16,3.0,3.0,1
2020-09-17,3.0,3.0,1
2020-09-18,4.0,4.0,1
2020-09-19,6.0,6.0,1
2020-09-20,5.0,5.0,1
2020-09-21,5.0,5.0,1
2020-09-22,5.0,5.0,1
2020-09-23,4.0,4.0,1
2020-09-24,3.0,3.0,1
2020-09-25,3.0,3.0,1
2020-09-26,3.0,3.0,1
2020-09-27,3.0,3.0,1
2020-09-28,2.0,2.0,1
2020-09-29,3.0,3.0,1
2020-09-30,5.0,5.0,1
2020-10-01,4.0,4.0,1
2020-10-02,5.0,5.0,1
2020-10-03,4.0,4.0,1
2020-10-04,3.0,3.0,1
2020-10-05,4.0,4.0,1
2020-10-06,4.0,4.0,1
2020-10-07,1.0,1.0,1
2020-10-08,2.0,2.0,1
2020-10-09,2.0,2.0,1
2020-10-10,4.0,4.0,1
2020-10-11,2.0,2.0,1
2020-10-12,4.0,4.0,1
2020-10-13,6.0,6.0,1
2020-10-14,3.0,3.0,1
2020-10-15,4.0,4.0,1
2020-10-16,4.0,4.0,1
2020-10-17,4.0,4.0,1
2020-10-18,5.0,5.0,1
2020-10-19,5.0,5.0,1
2020-10-20,4.0,4.0,1
2020-10-21,7.0,7.0,1
2020-10-22,6.0,6.0,1
2020-10-23,3.0,3.0,1
2020-10-24,3.0,3.0,1
2020-10-25,5.0,5.0,1
2020-10-26,6.0,6.0,1
2020-10-27,5.0,5.0,1
2020-09-28,27.0,27.0,2
2020-09-29,28.0,28.0,2
2020-09-30,52.0,52.0,2
2020-10-01,26.0,26.0,2
2020-10-02,45.0,45.0,2
2020-10-03,33.0,33.0,2
2020-10-04,21.0,21.0,2
