date,/g/121j1nlf_0,/g/121j1nlf,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,28.0,28.0,1
2020-02-04,33.0,33.0,1
2020-02-05,63.0,63.0,1
2020-02-06,0.0,0.0,1
2020-02-07,0.0,0.0,1
2020-02-08,0.0,0.0,1
2020-02-09,16.0,16.0,1
2020-02-10,0.0,0.0,1
2020-02-11,48.0,48.0,1
2020-02-12,32.0,32.0,1
2020-02-13,16.0,16.0,1
2020-02-14,49.0,49.0,1
2020-02-15,0.0,0.0,1
2020-02-16,17.0,17.0,1
2020-02-17,31.0,31.0,1
2020-02-18,0.0,0.0,1
2020-02-19,0.0,0.0,1
2020-02-20,49.0,49.0,1
2020-02-21,33.0,33.0,1
2020-02-22,0.0,0.0,1
2020-02-23,0.0,0.0,1
2020-02-24,32.0,32.0,1
2020-02-25,32.0,32.0,1
2020-02-26,75.0,75.0,1
2020-02-27,29.0,29.0,1
2020-02-28,0.0,0.0,1
2020-02-29,0.0,0.0,1
2020-03-01,0.0,0.0,1
2020-03-02,73.0,73.0,1
2020-03-03,47.0,47.0,1
2020-03-04,0.0,0.0,1
2020-03-05,16.0,16.0,1
2020-03-06,0.0,0.0,1
2020-03-07,17.0,17.0,1
2020-03-08,30.0,30.0,1
2020-03-09,15.0,15.0,1
2020-03-10,15.0,15.0,1
2020-03-11,15.0,15.0,1
2020-03-12,15.0,15.0,1
2020-03-13,80.0,80.0,1
2020-03-14,16.0,16.0,1
2020-03-15,30.0,30.0,1
2020-03-16,14.0,14.0,1
2020-03-17,26.0,26.0,1
2020-03-18,54.0,54.0,1
2020-03-19,14.0,14.0,1
2020-03-20,0.0,0.0,1
2020-03-21,15.0,15.0,1
2020-03-22,0.0,0.0,1
2020-03-23,12.0,12.0,1
2020-03-24,0.0,0.0,1
2020-03-25,13.0,13.0,1
2020-03-26,41.0,41.0,1
2020-03-27,0.0,0.0,1
2020-03-28,0.0,0.0,1
2020-03-29,57.0,57.0,1
2020-03-30,13.0,13.0,1
2020-03-31,0.0,0.0,1
2020-04-01,0.0,0.0,1
2020-04-02,13.0,13.0,1
2020-04-03,26.0,26.0,1
2020-04-04,0.0,0.0,1
2020-04-05,0.0,0.0,1
2020-04-06,37.0,37.0,1
2020-04-07,13.0,13.0,1
2020-04-08,0.0,0.0,1
2020-04-09,27.0,27.0,1
2020-04-10,13.0,13.0,1
2020-04-11,0.0,0.0,1
2020-04-12,0.0,0.0,1
2020-04-13,14.0,14.0,1
2020-04-14,13.0,13.0,1
2020-04-15,28.0,28.0,1
2020-04-16,42.0,42.0,1
2020-04-17,41.0,41.0,1
2020-04-18,29.0,29.0,1
2020-04-19,0.0,0.0,1
2020-04-20,39.0,39.0,1
2020-04-21,14.0,14.0,1
2020-04-22,27.0,27.0,1
2020-04-23,27.0,27.0,1
2020-04-24,0.0,0.0,1
2020-04-25,15.0,15.0,1
