date,/g/11j2cc_qll_0,/g/11j2cc_qll,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,0.0,0.0,1
2020-02-04,0.0,0.0,1
2020-02-05,0.0,0.0,1
2020-02-06,0.0,0.0,1
2020-02-07,0.0,0.0,1
2020-02-08,0.0,0.0,1
2020-02-09,0.0,0.0,1
2020-02-10,0.0,0.0,1
2020-02-11,0.0,0.0,1
2020-02-12,0.0,0.0,1
2020-02-13,0.0,0.0,1
2020-02-14,0.0,0.0,1
2020-02-15,0.0,0.0,1
2020-02-16,0.0,0.0,1
2020-02-17,1.0,1.0,1
2020-02-18,0.0,0.0,1
2020-02-19,0.0,0.0,1
2020-02-20,0.0,0.0,1
2020-02-21,0.0,0.0,1
2020-02-22,1.0,1.0,1
2020-02-23,0.0,0.0,1
2020-02-24,0.0,0.0,1
2020-02-25,1.0,1.0,1
2020-02-26,2.0,2.0,1
2020-02-27,4.0,4.0,1
2020-02-28,6.0,6.0,1
2020-02-29,6.0,6.0,1
2020-03-01,3.0,3.0,1
2020-03-02,1.0,1.0,1
2020-03-03,6.0,6.0,1
2020-03-04,2.0,2.0,1
2020-03-05,6.0,6.0,1
2020-03-06,7.0,7.0,1
2020-03-07,4.0,4.0,1
2020-03-08,10.0,10.0,1
2020-03-09,8.0,8.0,1
2020-03-10,13.0,13.0,1
2020-03-11,6.0,6.0,1
2020-03-12,18.0,18.0,1
2020-03-13,16.0,16.0,1
2020-03-14,30.0,30.0,1
2020-03-15,23.0,23.0,1
2020-03-16,39.0,39.0,1
2020-03-17,35.0,35.0,1
2020-03-18,35.0,35.0,1
2020-03-19,30.0,30.0,1
2020-03-20,44.0,44.0,1
2020-03-21,45.0,45.0,1
2020-03-22,28.0,28.0,1
2020-03-23,35.0,35.0,1
2020-03-24,37.0,37.0,1
2020-03-25,43.0,43.0,1
2020-03-26,36.0,36.0,1
2020-03-27,39.0,39.0,1
2020-03-28,32.0,32.0,1
2020-03-29,23.0,23.0,1
2020-03-30,35.0,35.0,1
2020-03-31,31.0,31.0,1
2020-04-01,35.0,35.0,1
2020-04-02,32.0,32.0,1
2020-04-03,38.0,38.0,1
2020-04-04,30.0,30.0,1
2020-04-05,27.0,27.0,1
2020-04-06,40.0,40.0,1
2020-04-07,29.0,29.0,1
2020-04-08,42.0,42.0,1
2020-04-09,37.0,37.0,1
2020-04-10,39.0,39.0,1
2020-04-11,23.0,23.0,1
2020-04-12,26.0,26.0,1
2020-04-13,33.0,33.0,1
2020-04-14,35.0,35.0,1
2020-04-15,20.0,20.0,1
2020-04-16,47.0,47.0,1
2020-04-17,35.0,35.0,1
2020-04-18,37.0,37.0,1
2020-04-19,30.0,30.0,1
2020-04-20,24.0,24.0,1
2020-04-21,24.0,24.0,1
2020-04-22,38.0,38.0,1
2020-04-23,35.0,35.0,1
2020-04-24,28.0,28.0,1
2020-04-25,28.0,28.0,1
