date,/m/0405g08_0,/m/0405g08,batch_id
2020-02-01,50.0,50.0,1
2020-02-02,45.0,45.0,1
2020-02-03,36.0,36.0,1
2020-02-04,39.0,39.0,1
2020-02-05,46.0,46.0,1
2020-02-06,40.0,40.0,1
2020-02-07,30.0,30.0,1
2020-02-08,48.0,48.0,1
2020-02-09,35.0,35.0,1
2020-02-10,22.0,22.0,1
2020-02-11,54.0,54.0,1
2020-02-12,47.0,47.0,1
2020-02-13,35.0,35.0,1
2020-02-14,42.0,42.0,1
2020-02-15,36.0,36.0,1
2020-02-16,26.0,26.0,1
2020-02-17,48.0,48.0,1
2020-02-18,46.0,46.0,1
2020-02-19,29.0,29.0,1
2020-02-20,37.0,37.0,1
2020-02-21,27.0,27.0,1
2020-02-22,43.0,43.0,1
2020-02-23,83.0,83.0,1
2020-02-24,38.0,38.0,1
2020-02-25,28.0,28.0,1
2020-02-26,57.0,57.0,1
2020-02-27,58.0,58.0,1
2020-02-28,67.0,67.0,1
2020-02-29,48.0,48.0,1
2020-03-01,70.0,70.0,1
2020-03-02,50.0,50.0,1
2020-03-03,58.0,58.0,1
2020-03-04,55.0,55.0,1
2020-03-05,47.0,47.0,1
2020-03-06,38.0,38.0,1
2020-03-07,44.0,44.0,1
2020-03-08,47.0,47.0,1
2020-03-09,41.0,41.0,1
2020-03-10,57.0,57.0,1
2020-03-11,46.0,46.0,1
2020-03-12,40.0,40.0,1
2020-03-13,65.0,65.0,1
2020-03-14,84.0,84.0,1
2020-03-15,100.0,100.0,1
2020-03-16,30.0,30.0,1
2020-03-17,46.0,46.0,1
2020-03-18,68.0,68.0,1
2020-03-19,62.0,62.0,1
2020-03-20,56.0,56.0,1
2020-03-21,63.0,63.0,1
2020-03-22,89.0,89.0,1
2020-03-23,73.0,73.0,1
2020-03-24,78.0,78.0,1
2020-03-25,70.0,70.0,1
2020-03-26,53.0,53.0,1
2020-03-27,54.0,54.0,1
2020-03-28,63.0,63.0,1
2020-03-29,79.0,79.0,1
2020-03-30,39.0,39.0,1
2020-03-31,50.0,50.0,1
2020-04-01,40.0,40.0,1
2020-04-02,40.0,40.0,1
2020-04-03,15.0,15.0,1
2020-04-04,69.0,69.0,1
2020-04-05,36.0,36.0,1
2020-04-06,52.0,52.0,1
2020-04-07,52.0,52.0,1
2020-04-08,31.0,31.0,1
