date,/m/01b_21_0,/m/01b_21,batch_id
2020-02-01,43.0,43.0,1
2020-02-02,35.0,35.0,1
2020-02-03,26.0,26.0,1
2020-02-04,29.0,29.0,1
2020-02-05,11.0,11.0,1
2020-02-06,24.0,24.0,1
2020-02-07,30.0,30.0,1
2020-02-08,37.0,37.0,1
2020-02-09,29.0,29.0,1
2020-02-10,33.0,33.0,1
2020-02-11,46.0,46.0,1
2020-02-12,58.0,58.0,1
2020-02-13,23.0,23.0,1
2020-02-14,24.0,24.0,1
2020-02-15,13.0,13.0,1
2020-02-16,12.0,12.0,1
2020-02-17,34.0,34.0,1
2020-02-18,46.0,46.0,1
2020-02-19,36.0,36.0,1
2020-02-20,12.0,12.0,1
2020-02-21,25.0,25.0,1
2020-02-22,45.0,45.0,1
2020-02-23,26.0,26.0,1
2020-02-24,23.0,23.0,1
2020-02-25,6.0,6.0,1
2020-02-26,17.0,17.0,1
2020-02-27,24.0,24.0,1
2020-02-28,25.0,25.0,1
2020-02-29,13.0,13.0,1
2020-03-01,19.0,19.0,1
2020-03-02,18.0,18.0,1
2020-03-03,30.0,30.0,1
2020-03-04,51.0,51.0,1
2020-03-05,23.0,23.0,1
2020-03-06,36.0,36.0,1
2020-03-07,19.0,19.0,1
2020-03-08,48.0,48.0,1
2020-03-09,45.0,45.0,1
2020-03-10,39.0,39.0,1
2020-03-11,26.0,26.0,1
2020-03-12,54.0,54.0,1
2020-03-13,40.0,40.0,1
2020-03-14,81.0,81.0,1
2020-03-15,69.0,69.0,1
2020-03-16,65.0,65.0,1
2020-03-17,83.0,83.0,1
2020-03-18,81.0,81.0,1
2020-03-19,75.0,75.0,1
2020-03-20,91.0,91.0,1
2020-03-21,100.0,100.0,1
2020-03-22,78.0,78.0,1
2020-03-23,58.0,58.0,1
2020-03-24,57.0,57.0,1
2020-03-25,36.0,36.0,1
2020-03-26,41.0,41.0,1
2020-03-27,99.0,99.0,1
2020-03-28,73.0,73.0,1
2020-03-29,34.0,34.0,1
2020-03-30,35.0,35.0,1
2020-03-31,5.0,5.0,1
2020-04-01,31.0,31.0,1
2020-04-02,15.0,15.0,1
2020-04-03,41.0,41.0,1
2020-04-04,24.0,24.0,1
2020-04-05,24.0,24.0,1
2020-04-06,33.0,33.0,1
2020-04-07,15.0,15.0,1
2020-04-08,16.0,16.0,1
2020-04-09,21.0,21.0,1
2020-04-10,32.0,32.0,1
2020-04-11,18.0,18.0,1
2020-04-12,17.0,17.0,1
2020-04-13,26.0,26.0,1
2020-04-14,10.0,10.0,1
2020-04-15,16.0,16.0,1
2020-04-16,27.0,27.0,1
2020-04-17,21.0,21.0,1
2020-04-18,32.0,32.0,1
2020-04-19,17.0,17.0,1
2020-04-20,5.0,5.0,1
2020-04-21,16.0,16.0,1
2020-04-22,0.0,0.0,1
2020-04-23,15.0,15.0,1
2020-04-24,11.0,11.0,1
2020-04-25,17.0,17.0,1
2020-04-26,12.0,12.0,1
2020-04-27,25.0,25.0,1
2020-04-28,14.0,14.0,1
2020-04-29,14.0,14.0,1
2020-04-30,14.0,14.0,1
2020-05-01,5.0,5.0,1
2020-05-02,15.0,15.0,1
2020-05-03,5.0,5.0,1
2020-05-04,14.0,14.0,1
2020-05-05,9.0,9.0,1
2020-05-06,10.0,10.0,1
2020-05-07,10.0,10.0,1
2020-05-08,16.0,16.0,1
2020-05-09,11.0,11.0,1
2020-05-10,10.0,10.0,1
2020-05-11,10.0,10.0,1
2020-05-12,0.0,0.0,1
2020-05-13,0.0,0.0,1
2020-05-14,11.0,11.0,1
2020-05-15,16.0,16.0,1
2020-05-16,12.0,12.0,1
2020-05-17,19.0,19.0,1
2020-05-18,5.0,5.0,1
2020-05-19,5.0,5.0,1
2020-05-20,11.0,11.0,1
2020-05-21,6.0,6.0,1
2020-05-22,5.0,5.0,1
2020-05-23,12.0,12.0,1
2020-05-24,0.0,0.0,1
2020-05-25,5.0,5.0,1
2020-05-26,11.0,11.0,1
2020-05-27,0.0,0.0,1
2020-05-28,10.0,10.0,1
2020-05-29,11.0,11.0,1
2020-05-30,6.0,6.0,1
2020-05-31,0.0,0.0,1
2020-06-01,0.0,0.0,1
2020-06-02,5.0,5.0,1
2020-06-03,5.0,5.0,1
2020-06-04,5.0,5.0,1
2020-06-05,15.0,15.0,1
2020-06-06,11.0,11.0,1
2020-06-07,30.0,30.0,1
2020-06-08,9.0,9.0,1
2020-06-09,14.0,14.0,1
2020-06-10,5.0,5.0,1
2020-06-11,0.0,0.0,1
2020-06-12,31.0,31.0,1
2020-06-13,6.0,6.0,1
2020-06-14,6.0,6.0,1
2020-06-15,10.0,10.0,1
2020-06-16,5.0,5.0,1
2020-06-17,26.0,26.0,1
2020-06-18,5.0,5.0,1
2020-06-19,6.0,6.0,1
2020-06-20,6.0,6.0,1
2020-06-21,6.0,6.0,1
2020-06-22,0.0,0.0,1
2020-06-23,0.0,0.0,1
2020-06-24,17.0,17.0,1
2020-06-25,12.0,12.0,1
2020-06-26,23.0,23.0,1
2020-06-27,12.0,12.0,1
2020-06-28,0.0,0.0,1
2020-06-29,21.0,21.0,1
2020-06-30,5.0,5.0,1
2020-07-01,11.0,11.0,1
2020-07-02,6.0,6.0,1
2020-07-03,23.0,23.0,1
2020-07-04,6.0,6.0,1
2020-07-05,6.0,6.0,1
2020-07-06,0.0,0.0,1
2020-07-07,17.0,17.0,1
2020-07-08,0.0,0.0,1
2020-07-09,6.0,6.0,1
2020-07-10,12.0,12.0,1
2020-07-11,0.0,0.0,1
2020-07-12,0.0,0.0,1
2020-07-13,0.0,0.0,1
2020-07-14,6.0,6.0,1
2020-07-15,12.0,12.0,1
2020-07-16,6.0,6.0,1
2020-07-17,0.0,0.0,1
2020-07-18,8.0,8.0,1
2020-07-19,15.0,15.0,1
2020-07-20,0.0,0.0,1
2020-07-21,7.0,7.0,1
2020-07-22,13.0,13.0,1
2020-07-23,20.0,20.0,1
2020-07-24,27.0,27.0,1
2020-07-25,7.0,7.0,1
2020-07-26,22.0,22.0,1
2020-07-27,20.0,20.0,1
2020-07-28,6.0,6.0,1
2020-07-29,7.0,7.0,1
2020-07-30,0.0,0.0,1
2020-07-31,7.0,7.0,1
2020-08-01,8.0,8.0,1
2020-08-02,8.0,8.0,1
2020-08-03,0.0,0.0,1
2020-08-04,7.0,7.0,1
2020-08-05,15.0,15.0,1
2020-08-06,15.0,15.0,1
2020-08-07,0.0,0.0,1
2020-08-08,16.0,16.0,1
2020-08-09,0.0,0.0,1
2020-08-10,7.0,7.0,1
2020-08-11,7.0,7.0,1
2020-08-12,7.0,7.0,1
2020-08-13,14.0,14.0,1
2020-08-14,21.0,21.0,1
2020-08-15,0.0,0.0,1
2020-08-16,15.0,15.0,1
2020-08-17,7.0,7.0,1
