date,/m/02gy9__0,/m/02gy9_,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,22.0,22.0,1
2020-02-04,51.0,51.0,1
2020-02-05,50.0,50.0,1
2020-02-06,26.0,26.0,1
2020-02-07,0.0,0.0,1
2020-02-08,27.0,27.0,1
2020-02-09,51.0,51.0,1
2020-02-10,49.0,49.0,1
2020-02-11,48.0,48.0,1
2020-02-12,0.0,0.0,1
2020-02-13,0.0,0.0,1
2020-02-14,0.0,0.0,1
2020-02-15,27.0,27.0,1
2020-02-16,0.0,0.0,1
2020-02-17,24.0,24.0,1
2020-02-18,48.0,48.0,1
2020-02-19,47.0,47.0,1
2020-02-20,25.0,25.0,1
2020-02-21,26.0,26.0,1
2020-02-22,28.0,28.0,1
2020-02-23,27.0,27.0,1
2020-02-24,0.0,0.0,1
2020-02-25,0.0,0.0,1
2020-02-26,48.0,48.0,1
2020-02-27,25.0,25.0,1
2020-02-28,0.0,0.0,1
2020-02-29,53.0,53.0,1
2020-03-01,0.0,0.0,1
2020-03-02,0.0,0.0,1
2020-03-03,24.0,24.0,1
2020-03-04,0.0,0.0,1
2020-03-05,0.0,0.0,1
2020-03-06,0.0,0.0,1
2020-03-07,28.0,28.0,1
2020-03-08,49.0,49.0,1
2020-03-09,71.0,71.0,1
2020-03-10,73.0,73.0,1
2020-03-11,23.0,23.0,1
2020-03-12,47.0,47.0,1
2020-03-13,51.0,51.0,1
2020-03-14,26.0,26.0,1
2020-03-15,24.0,24.0,1
2020-03-16,100.0,100.0,1
2020-03-17,40.0,40.0,1
2020-03-18,44.0,44.0,1
2020-03-19,23.0,23.0,1
2020-03-20,44.0,44.0,1
2020-03-21,96.0,96.0,1
2020-03-22,71.0,71.0,1
2020-03-23,38.0,38.0,1
2020-03-24,21.0,21.0,1
2020-03-25,61.0,61.0,1
2020-03-26,42.0,42.0,1
2020-03-27,79.0,79.0,1
2020-03-28,47.0,47.0,1
2020-03-29,45.0,45.0,1
2020-03-30,77.0,77.0,1
2020-03-31,40.0,40.0,1
2020-04-01,0.0,0.0,1
2020-04-02,41.0,41.0,1
2020-04-03,21.0,21.0,1
2020-04-04,48.0,48.0,1
2020-04-05,24.0,24.0,1
2020-04-06,36.0,36.0,1
2020-04-07,0.0,0.0,1
2020-04-08,40.0,40.0,1
2020-04-09,41.0,41.0,1
2020-04-10,63.0,63.0,1
2020-04-11,23.0,23.0,1
2020-04-12,23.0,23.0,1
2020-04-13,65.0,65.0,1
2020-04-14,57.0,57.0,1
2020-04-15,21.0,21.0,1
2020-04-16,41.0,41.0,1
2020-04-17,60.0,60.0,1
2020-04-18,24.0,24.0,1
2020-04-19,0.0,0.0,1
2020-04-20,20.0,20.0,1
2020-04-21,21.0,21.0,1
2020-04-22,22.0,22.0,1
2020-04-23,41.0,41.0,1
2020-04-24,44.0,44.0,1
2020-04-25,47.0,47.0,1
