date,/g/11j2cc_qll_0,/g/11j2cc_qll,batch_id
2020-02-01,0.0,0.0,1
2020-02-02,0.0,0.0,1
2020-02-03,0.0,0.0,1
2020-02-04,0.0,0.0,1
2020-02-05,0.0,0.0,1
2020-02-06,0.0,0.0,1
2020-02-07,0.0,0.0,1
2020-02-08,0.0,0.0,1
2020-02-09,0.0,0.0,1
2020-02-10,0.0,0.0,1
2020-02-11,0.0,0.0,1
2020-02-12,0.0,0.0,1
2020-02-13,0.0,0.0,1
2020-02-14,1.0,1.0,1
2020-02-15,1.0,1.0,1
2020-02-16,0.0,0.0,1
2020-02-17,1.0,1.0,1
2020-02-18,1.0,1.0,1
2020-02-19,0.0,0.0,1
2020-02-20,0.0,0.0,1
2020-02-21,0.0,0.0,1
2020-02-22,1.0,1.0,1
2020-02-23,2.0,2.0,1
2020-02-24,2.0,2.0,1
2020-02-25,3.0,3.0,1
2020-02-26,4.0,4.0,1
2020-02-27,3.0,3.0,1
2020-02-28,4.0,4.0,1
2020-02-29,6.0,6.0,1
2020-03-01,4.0,4.0,1
2020-03-02,5.0,5.0,1
2020-03-03,4.0,4.0,1
2020-03-04,5.0,5.0,1
2020-03-05,6.0,6.0,1
2020-03-06,6.0,6.0,1
2020-03-07,6.0,6.0,1
2020-03-08,8.0,8.0,1
2020-03-09,7.0,7.0,1
2020-03-10,10.0,10.0,1
2020-03-11,11.0,11.0,1
2020-03-12,20.0,20.0,1
2020-03-13,36.0,36.0,1
2020-03-14,31.0,31.0,1
2020-03-15,42.0,42.0,1
2020-03-16,46.0,46.0,1
2020-03-17,58.0,58.0,1
2020-03-18,46.0,46.0,1
2020-03-19,48.0,48.0,1
2020-03-20,46.0,46.0,1
2020-03-21,44.0,44.0,1
2020-03-22,44.0,44.0,1
2020-03-23,39.0,39.0,1
2020-03-24,49.0,49.0,1
2020-03-25,47.0,47.0,1
2020-03-26,47.0,47.0,1
2020-03-27,47.0,47.0,1
2020-03-28,46.0,46.0,1
2020-03-29,41.0,41.0,1
2020-03-30,38.0,38.0,1
2020-03-31,35.0,35.0,1
2020-04-01,42.0,42.0,1
2020-04-02,38.0,38.0,1
2020-04-03,38.0,38.0,1
2020-04-04,38.0,38.0,1
2020-04-05,39.0,39.0,1
2020-04-06,39.0,39.0,1
2020-04-07,38.0,38.0,1
2020-04-08,36.0,36.0,1
2020-04-09,38.0,38.0,1
2020-04-10,38.0,38.0,1
2020-04-11,36.0,36.0,1
2020-04-12,31.0,31.0,1
2020-04-13,37.0,37.0,1
2020-04-14,40.0,40.0,1
2020-04-15,38.0,38.0,1
2020-04-16,39.0,39.0,1
2020-04-17,40.0,40.0,1
2020-04-18,37.0,37.0,1
2020-04-19,30.0,30.0,1
2020-04-20,38.0,38.0,1
2020-04-21,32.0,32.0,1
2020-04-22,34.0,34.0,1
2020-04-23,31.0,31.0,1
2020-04-24,37.0,37.0,1
2020-04-25,30.0,30.0,1
