date,/m/0fd23_0,/m/0fd23,batch_id
2020-02-01,37.0,37.0,1
2020-02-02,23.0,23.0,1
2020-02-03,9.0,9.0,1
2020-02-04,39.0,39.0,1
2020-02-05,30.0,30.0,1
2020-02-06,10.0,10.0,1
2020-02-07,32.0,32.0,1
2020-02-08,38.0,38.0,1
2020-02-09,24.0,24.0,1
2020-02-10,30.0,30.0,1
2020-02-11,20.0,20.0,1
2020-02-12,10.0,10.0,1
2020-02-13,31.0,31.0,1
2020-02-14,42.0,42.0,1
2020-02-15,25.0,25.0,1
2020-02-16,25.0,25.0,1
2020-02-17,52.0,52.0,1
2020-02-18,20.0,20.0,1
2020-02-19,30.0,30.0,1
2020-02-20,0.0,0.0,1
2020-02-21,55.0,55.0,1
2020-02-22,37.0,37.0,1
2020-02-23,60.0,60.0,1
2020-02-24,20.0,20.0,1
2020-02-25,49.0,49.0,1
2020-02-26,19.0,19.0,1
2020-02-27,10.0,10.0,1
2020-02-28,30.0,30.0,1
2020-02-29,12.0,12.0,1
2020-03-01,99.0,99.0,1
2020-03-02,0.0,0.0,1
2020-03-03,20.0,20.0,1
2020-03-04,39.0,39.0,1
2020-03-05,31.0,31.0,1
2020-03-06,40.0,40.0,1
2020-03-07,12.0,12.0,1
2020-03-08,23.0,23.0,1
2020-03-09,40.0,40.0,1
2020-03-10,10.0,10.0,1
2020-03-11,20.0,20.0,1
2020-03-12,30.0,30.0,1
2020-03-13,38.0,38.0,1
2020-03-14,23.0,23.0,1
2020-03-15,54.0,54.0,1
2020-03-16,19.0,19.0,1
2020-03-17,58.0,58.0,1
2020-03-18,57.0,57.0,1
2020-03-19,20.0,20.0,1
2020-03-20,71.0,71.0,1
2020-03-21,44.0,44.0,1
2020-03-22,28.0,28.0,1
2020-03-23,41.0,41.0,1
2020-03-24,27.0,27.0,1
2020-03-25,28.0,28.0,1
2020-03-26,57.0,57.0,1
2020-03-27,0.0,0.0,1
2020-03-28,33.0,33.0,1
2020-03-29,21.0,21.0,1
2020-03-30,46.0,46.0,1
2020-03-31,37.0,37.0,1
2020-04-01,46.0,46.0,1
2020-04-02,29.0,29.0,1
2020-04-03,60.0,60.0,1
2020-04-04,56.0,56.0,1
2020-04-05,33.0,33.0,1
2020-04-06,9.0,9.0,1
2020-04-07,40.0,40.0,1
2020-04-08,60.0,60.0,1
2020-04-09,51.0,51.0,1
2020-04-10,54.0,54.0,1
2020-04-11,58.0,58.0,1
2020-04-12,57.0,57.0,1
2020-04-13,94.0,94.0,1
2020-04-14,88.0,88.0,1
2020-04-15,58.0,58.0,1
2020-04-16,29.0,29.0,1
2020-04-17,59.0,59.0,1
2020-04-18,58.0,58.0,1
2020-04-19,53.0,53.0,1
2020-04-20,28.0,28.0,1
2020-04-21,47.0,47.0,1
2020-04-22,50.0,50.0,1
2020-04-23,38.0,38.0,1
2020-04-24,31.0,31.0,1
2020-04-25,60.0,60.0,1
2020-04-26,66.0,66.0,1
2020-04-27,49.0,49.0,1
2020-04-28,76.0,76.0,1
2020-04-29,27.0,27.0,1
2020-04-30,10.0,10.0,1
2020-05-01,0.0,0.0,1
2020-05-02,32.0,32.0,1
2020-05-03,22.0,22.0,1
2020-05-04,29.0,29.0,1
2020-05-05,44.0,44.0,1
2020-05-06,38.0,38.0,1
2020-05-07,0.0,0.0,1
2020-05-08,31.0,31.0,1
2020-05-09,63.0,63.0,1
2020-05-10,57.0,57.0,1
2020-05-11,74.0,74.0,1
2020-05-12,37.0,37.0,1
2020-05-13,29.0,29.0,1
2020-05-14,58.0,58.0,1
2020-05-15,10.0,10.0,1
2020-05-16,24.0,24.0,1
2020-05-17,57.0,57.0,1
2020-05-18,49.0,49.0,1
2020-05-19,46.0,46.0,1
2020-05-20,9.0,9.0,1
2020-05-21,10.0,10.0,1
2020-05-22,11.0,11.0,1
2020-05-23,49.0,49.0,1
2020-05-24,23.0,23.0,1
2020-05-25,47.0,47.0,1
2020-05-26,57.0,57.0,1
2020-05-27,59.0,59.0,1
2020-05-28,20.0,20.0,1
2020-05-29,51.0,51.0,1
2020-05-30,12.0,12.0,1
2020-05-31,45.0,45.0,1
2020-06-01,19.0,19.0,1
2020-06-02,49.0,49.0,1
2020-06-03,37.0,37.0,1
2020-06-04,27.0,27.0,1
2020-06-05,18.0,18.0,1
2020-06-06,12.0,12.0,1
2020-06-07,46.0,46.0,1
2020-06-08,42.0,42.0,1
2020-06-09,18.0,18.0,1
2020-06-10,10.0,10.0,1
2020-06-11,11.0,11.0,1
2020-06-12,21.0,21.0,1
2020-06-13,25.0,25.0,1
2020-06-14,45.0,45.0,1
2020-06-15,18.0,18.0,1
2020-06-16,28.0,28.0,1
2020-06-17,37.0,37.0,1
2020-06-18,29.0,29.0,1
2020-06-19,30.0,30.0,1
2020-06-20,11.0,11.0,1
2020-06-21,54.0,54.0,1
2020-06-22,11.0,11.0,1
2020-06-23,29.0,29.0,1
2020-06-24,70.0,70.0,1
2020-06-25,49.0,49.0,1
2020-06-26,0.0,0.0,1
2020-06-27,47.0,47.0,1
2020-06-28,33.0,33.0,1
2020-06-29,67.0,67.0,1
2020-06-30,10.0,10.0,1
2020-07-01,90.0,90.0,1
2020-07-02,58.0,58.0,1
2020-07-03,29.0,29.0,1
2020-07-04,23.0,23.0,1
2020-07-05,31.0,31.0,1
2020-07-06,37.0,37.0,1
2020-07-07,10.0,10.0,1
2020-07-08,50.0,50.0,1
2020-07-09,41.0,41.0,1
2020-07-10,21.0,21.0,1
2020-07-11,22.0,22.0,1
2020-07-12,22.0,22.0,1
2020-07-13,30.0,30.0,1
2020-07-14,10.0,10.0,1
2020-07-15,50.0,50.0,1
2020-07-16,10.0,10.0,1
2020-07-17,30.0,30.0,1
2020-07-18,33.0,33.0,1
2020-07-19,33.0,33.0,1
2020-07-20,39.0,39.0,1
2020-07-21,40.0,40.0,1
2020-07-22,19.0,19.0,1
2020-07-23,19.0,19.0,1
2020-07-24,57.0,57.0,1
2020-07-25,21.0,21.0,1
2020-07-26,46.0,46.0,1
2020-07-27,20.0,20.0,1
2020-07-28,31.0,31.0,1
2020-07-29,51.0,51.0,1
2020-07-30,20.0,20.0,1
2020-07-31,10.0,10.0,1
2020-08-01,45.0,45.0,1
2020-08-02,76.0,76.0,1
2020-08-03,9.0,9.0,1
2020-08-04,36.0,36.0,1
2020-08-05,67.0,67.0,1
2020-08-06,29.0,29.0,1
2020-08-07,31.0,31.0,1
2020-08-08,80.0,80.0,1
2020-08-09,54.0,54.0,1
2020-08-10,50.0,50.0,1
2020-08-11,48.0,48.0,1
2020-08-12,77.0,77.0,1
2020-08-13,48.0,48.0,1
2020-08-14,66.0,66.0,1
2020-08-15,20.0,20.0,1
2020-08-16,42.0,42.0,1
2020-08-17,38.0,38.0,1
2020-08-18,27.0,27.0,1
2020-08-19,10.0,10.0,1
2020-08-20,60.0,60.0,1
2020-08-21,60.0,60.0,1
2020-08-22,57.0,57.0,1
2020-08-23,43.0,43.0,1
2020-08-24,58.0,58.0,1
