date,/m/01b_06_0,/m/01b_06,batch_id
2020-02-01,25.0,25.0,1
2020-02-02,20.0,20.0,1
2020-02-03,27.0,27.0,1
2020-02-04,29.0,29.0,1
2020-02-05,38.0,38.0,1
2020-02-06,21.0,21.0,1
2020-02-07,9.0,9.0,1
2020-02-08,27.0,27.0,1
2020-02-09,10.0,10.0,1
2020-02-10,8.0,8.0,1
2020-02-11,12.0,12.0,1
2020-02-12,8.0,8.0,1
2020-02-13,8.0,8.0,1
2020-02-14,13.0,13.0,1
2020-02-15,5.0,5.0,1
2020-02-16,24.0,24.0,1
2020-02-17,28.0,28.0,1
2020-02-18,12.0,12.0,1
2020-02-19,19.0,19.0,1
2020-02-20,25.0,25.0,1
2020-02-21,21.0,21.0,1
2020-02-22,20.0,20.0,1
2020-02-23,23.0,23.0,1
2020-02-24,32.0,32.0,1
2020-02-25,31.0,31.0,1
2020-02-26,59.0,59.0,1
2020-02-27,47.0,47.0,1
2020-02-28,39.0,39.0,1
2020-02-29,35.0,35.0,1
2020-03-01,31.0,31.0,1
2020-03-02,58.0,58.0,1
2020-03-03,35.0,35.0,1
2020-03-04,39.0,39.0,1
2020-03-05,36.0,36.0,1
2020-03-06,40.0,40.0,1
2020-03-07,10.0,10.0,1
2020-03-08,34.0,34.0,1
2020-03-09,16.0,16.0,1
2020-03-10,19.0,19.0,1
2020-03-11,42.0,42.0,1
2020-03-12,85.0,85.0,1
2020-03-13,100.0,100.0,1
2020-03-14,80.0,80.0,1
2020-03-15,56.0,56.0,1
2020-03-16,53.0,53.0,1
2020-03-17,73.0,73.0,1
2020-03-18,65.0,65.0,1
2020-03-19,54.0,54.0,1
2020-03-20,58.0,58.0,1
2020-03-21,83.0,83.0,1
2020-03-22,73.0,73.0,1
2020-03-23,58.0,58.0,1
2020-03-24,59.0,59.0,1
2020-03-25,33.0,33.0,1
2020-03-26,31.0,31.0,1
2020-03-27,54.0,54.0,1
2020-03-28,20.0,20.0,1
2020-03-29,48.0,48.0,1
2020-03-30,50.0,50.0,1
2020-03-31,18.0,18.0,1
2020-04-01,36.0,36.0,1
2020-04-02,46.0,46.0,1
2020-04-03,34.0,34.0,1
2020-04-04,28.0,28.0,1
2020-04-05,19.0,19.0,1
2020-04-06,45.0,45.0,1
2020-04-07,19.0,19.0,1
2020-04-08,23.0,23.0,1
2020-04-09,30.0,30.0,1
2020-04-10,38.0,38.0,1
2020-04-11,40.0,40.0,1
2020-04-12,27.0,27.0,1
2020-04-13,17.0,17.0,1
2020-04-14,41.0,41.0,1
2020-04-15,18.0,18.0,1
2020-04-16,14.0,14.0,1
2020-04-17,11.0,11.0,1
2020-04-18,28.0,28.0,1
2020-04-19,14.0,14.0,1
2020-04-20,22.0,22.0,1
2020-04-21,26.0,26.0,1
2020-04-22,20.0,20.0,1
2020-04-23,23.0,23.0,1
2020-04-24,20.0,20.0,1
2020-04-25,5.0,5.0,1
2020-04-26,18.0,18.0,1
2020-04-27,23.0,23.0,1
2020-04-28,15.0,15.0,1
2020-04-29,27.0,27.0,1
2020-04-30,15.0,15.0,1
2020-05-01,10.0,10.0,1
2020-05-02,9.0,9.0,1
2020-05-03,0.0,0.0,1
2020-05-04,10.0,10.0,1
2020-05-05,4.0,4.0,1
2020-05-06,7.0,7.0,1
2020-05-07,19.0,19.0,1
2020-05-08,20.0,20.0,1
2020-05-09,27.0,27.0,1
2020-05-10,21.0,21.0,1
2020-05-11,35.0,35.0,1
2020-05-12,19.0,19.0,1
2020-05-13,33.0,33.0,1
2020-05-14,4.0,4.0,1
2020-05-15,19.0,19.0,1
2020-05-16,29.0,29.0,1
2020-05-17,9.0,9.0,1
2020-05-18,4.0,4.0,1
2020-05-19,7.0,7.0,1
2020-05-20,15.0,15.0,1
2020-05-21,7.0,7.0,1
2020-05-22,17.0,17.0,1
2020-05-23,29.0,29.0,1
2020-05-24,34.0,34.0,1
2020-05-25,11.0,11.0,1
2020-05-26,20.0,20.0,1
2020-05-27,4.0,4.0,1
2020-05-28,26.0,26.0,1
2020-05-29,22.0,22.0,1
2020-05-30,11.0,11.0,1
2020-05-31,15.0,15.0,1
2020-06-01,12.0,12.0,1
2020-06-02,13.0,13.0,1
2020-06-03,20.0,20.0,1
2020-06-04,28.0,28.0,1
2020-06-05,34.0,34.0,1
2020-06-06,11.0,11.0,1
2020-06-07,20.0,20.0,1
2020-06-08,7.0,7.0,1
2020-06-09,0.0,0.0,1
2020-06-10,12.0,12.0,1
2020-06-11,8.0,8.0,1
2020-06-12,13.0,13.0,1
2020-06-13,21.0,21.0,1
2020-06-14,15.0,15.0,1
2020-06-15,8.0,8.0,1
2020-06-16,16.0,16.0,1
2020-06-17,27.0,27.0,1
2020-06-18,13.0,13.0,1
2020-06-19,23.0,23.0,1
2020-06-20,11.0,11.0,1
2020-06-21,16.0,16.0,1
2020-06-22,11.0,11.0,1
2020-06-23,7.0,7.0,1
2020-06-24,25.0,25.0,1
2020-06-25,9.0,9.0,1
2020-06-26,23.0,23.0,1
2020-06-27,27.0,27.0,1
2020-06-28,10.0,10.0,1
2020-06-29,16.0,16.0,1
2020-06-30,24.0,24.0,1
2020-07-01,12.0,12.0,1
2020-07-02,0.0,0.0,1
2020-07-03,27.0,27.0,1
2020-07-04,16.0,16.0,1
2020-07-05,29.0,29.0,1
2020-07-06,4.0,4.0,1
2020-07-07,4.0,4.0,1
2020-07-08,21.0,21.0,1
2020-07-09,17.0,17.0,1
2020-07-10,17.0,17.0,1
2020-07-11,11.0,11.0,1
2020-07-12,11.0,11.0,1
2020-07-13,21.0,21.0,1
2020-07-14,22.0,22.0,1
2020-07-15,27.0,27.0,1
2020-07-16,5.0,5.0,1
2020-07-17,19.0,19.0,1
2020-07-18,24.0,24.0,1
2020-07-19,11.0,11.0,1
2020-07-20,13.0,13.0,1
2020-07-21,4.0,4.0,1
2020-07-22,25.0,25.0,1
2020-07-23,9.0,9.0,1
2020-07-24,18.0,18.0,1
2020-07-25,16.0,16.0,1
2020-07-26,28.0,28.0,1
2020-07-27,17.0,17.0,1
2020-07-28,17.0,17.0,1
2020-07-29,13.0,13.0,1
2020-07-30,4.0,4.0,1
2020-07-31,22.0,22.0,1
2020-08-01,17.0,17.0,1
2020-08-02,33.0,33.0,1
2020-08-03,25.0,25.0,1
2020-08-04,24.0,24.0,1
2020-08-05,18.0,18.0,1
2020-08-06,9.0,9.0,1
2020-08-07,5.0,5.0,1
2020-08-08,12.0,12.0,1
2020-08-09,28.0,28.0,1
2020-08-10,13.0,13.0,1
2020-08-11,13.0,13.0,1
2020-08-12,18.0,18.0,1
2020-08-13,39.0,39.0,1
2020-08-14,28.0,28.0,1
2020-08-15,6.0,6.0,1
2020-08-16,28.0,28.0,1
2020-08-17,18.0,18.0,1
2020-08-18,13.0,13.0,1
2020-08-19,22.0,22.0,1
2020-08-20,26.0,26.0,1
2020-08-21,23.0,23.0,1
2020-08-22,5.0,5.0,1
2020-08-23,15.0,15.0,1
2020-08-24,13.0,13.0,1
2020-08-25,25.0,25.0,1
2020-08-26,21.0,21.0,1
