date,/m/0ytw_0,/m/0ytw,batch_id
2021-02-01,30.0,30.0,1
2021-02-02,29.0,29.0,1
2021-02-03,29.0,29.0,1
2021-02-04,52.0,52.0,1
2021-02-05,41.0,41.0,1
2021-02-06,22.0,22.0,1
2021-02-07,0.0,0.0,1
2021-02-08,39.0,39.0,1
2021-02-09,20.0,20.0,1
2021-02-10,10.0,10.0,1
2021-02-11,30.0,30.0,1
2021-02-12,41.0,41.0,1
2021-02-13,35.0,35.0,1
2021-02-14,23.0,23.0,1
2021-02-15,30.0,30.0,1
2021-02-16,31.0,31.0,1
2021-02-17,10.0,10.0,1
2021-02-18,41.0,41.0,1
2021-02-19,11.0,11.0,1
2021-02-20,12.0,12.0,1
2021-02-21,0.0,0.0,1
2021-02-22,10.0,10.0,1
2021-02-23,41.0,41.0,1
2021-02-24,31.0,31.0,1
2021-02-25,31.0,31.0,1
2021-02-26,10.0,10.0,1
2021-02-27,23.0,23.0,1
2021-02-28,11.0,11.0,1
2021-03-01,40.0,40.0,1
2021-03-02,21.0,21.0,1
2021-03-03,21.0,21.0,1
2021-03-04,20.0,20.0,1
2021-03-05,11.0,11.0,1
2021-03-06,23.0,23.0,1
2021-03-07,56.0,56.0,1
2021-03-08,20.0,20.0,1
2021-03-09,69.0,69.0,1
2021-03-10,81.0,81.0,1
2021-03-11,50.0,50.0,1
2021-03-12,21.0,21.0,1
2021-03-13,22.0,22.0,1
2021-03-14,0.0,0.0,1
2021-03-15,24.0,24.0,1
2021-03-16,35.0,35.0,1
2021-03-17,100.0,100.0,1
2021-03-18,61.0,61.0,1
2021-03-19,42.0,42.0,1
2021-03-20,83.0,83.0,1
2021-03-21,33.0,33.0,1
2021-03-22,20.0,20.0,1
2021-03-23,20.0,20.0,1
2021-03-24,60.0,60.0,1
2021-03-25,21.0,21.0,1
2021-03-26,43.0,43.0,1
2021-03-27,45.0,45.0,1
2021-03-28,36.0,36.0,1
2021-03-29,53.0,53.0,1
2021-03-30,66.0,66.0,1
2021-03-31,11.0,11.0,1
2021-04-01,53.0,53.0,1
2021-04-02,22.0,22.0,1
2021-04-03,12.0,12.0,1
2021-04-04,24.0,24.0,1
2021-04-05,21.0,21.0,1
2021-04-06,48.0,48.0,1
2021-04-07,20.0,20.0,1
2021-04-08,31.0,31.0,1
2021-04-09,52.0,52.0,1
2021-04-10,21.0,21.0,1
2021-04-11,43.0,43.0,1
2021-04-12,39.0,39.0,1
2021-04-13,0.0,0.0,1
2021-04-14,61.0,61.0,1
2021-04-15,10.0,10.0,1
2021-04-16,43.0,43.0,1
2021-04-17,47.0,47.0,1
2021-04-18,12.0,12.0,1
2021-04-19,59.0,59.0,1
2021-04-20,51.0,51.0,1
2021-04-21,41.0,41.0,1
2021-04-22,31.0,31.0,1
2021-04-23,55.0,55.0,1
2021-04-24,36.0,36.0,1
2021-04-25,35.0,35.0,1
2021-04-26,20.0,20.0,1
2021-04-27,21.0,21.0,1
2021-04-28,62.0,62.0,1
2021-04-29,50.0,50.0,1
2021-04-30,30.0,30.0,1
2021-05-01,22.0,22.0,1
2021-05-02,11.0,11.0,1
2021-05-03,59.0,59.0,1
2021-05-04,28.0,28.0,1
2021-05-05,10.0,10.0,1
2021-05-06,50.0,50.0,1
2021-05-07,31.0,31.0,1
2021-05-08,45.0,45.0,1
2021-05-09,36.0,36.0,1
2021-05-10,40.0,40.0,1
2021-05-11,68.0,68.0,1
2021-05-12,41.0,41.0,1
2021-05-13,0.0,0.0,1
2021-05-14,33.0,33.0,1
