date,/m/0f0q_f_0,/m/0f0q_f,batch_id
2021-02-01,8.0,8.0,1
2021-02-02,40.0,40.0,1
2021-02-03,55.0,55.0,1
2021-02-04,25.0,25.0,1
2021-02-05,98.0,98.0,1
2021-02-06,9.0,9.0,1
2021-02-07,26.0,26.0,1
2021-02-08,24.0,24.0,1
2021-02-09,65.0,65.0,1
2021-02-10,40.0,40.0,1
2021-02-11,49.0,49.0,1
2021-02-12,33.0,33.0,1
2021-02-13,9.0,9.0,1
2021-02-14,0.0,0.0,1
2021-02-15,24.0,24.0,1
2021-02-16,25.0,25.0,1
2021-02-17,16.0,16.0,1
2021-02-18,41.0,41.0,1
2021-02-19,9.0,9.0,1
2021-02-20,10.0,10.0,1
2021-02-21,0.0,0.0,1
2021-02-22,38.0,38.0,1
2021-02-23,50.0,50.0,1
2021-02-24,50.0,50.0,1
2021-02-25,75.0,75.0,1
2021-02-26,17.0,17.0,1
2021-02-27,9.0,9.0,1
2021-02-28,0.0,0.0,1
2021-03-01,48.0,48.0,1
2021-03-02,58.0,58.0,1
2021-03-03,42.0,42.0,1
2021-03-04,63.0,63.0,1
2021-03-05,17.0,17.0,1
2021-03-06,0.0,0.0,1
2021-03-07,9.0,9.0,1
2021-03-08,24.0,24.0,1
2021-03-09,56.0,56.0,1
2021-03-10,65.0,65.0,1
2021-03-11,41.0,41.0,1
2021-03-12,33.0,33.0,1
2021-03-13,0.0,0.0,1
2021-03-14,0.0,0.0,1
2021-03-15,51.0,51.0,1
2021-03-16,42.0,42.0,1
2021-03-17,56.0,56.0,1
2021-03-18,57.0,57.0,1
2021-03-19,26.0,26.0,1
2021-03-20,10.0,10.0,1
2021-03-21,0.0,0.0,1
2021-03-22,32.0,32.0,1
2021-03-23,32.0,32.0,1
2021-03-24,16.0,16.0,1
2021-03-25,100.0,100.0,1
2021-03-26,51.0,51.0,1
2021-03-27,27.0,27.0,1
2021-03-28,10.0,10.0,1
2021-03-29,25.0,25.0,1
2021-03-30,70.0,70.0,1
2021-03-31,27.0,27.0,1
2021-04-01,77.0,77.0,1
2021-04-02,26.0,26.0,1
2021-04-03,19.0,19.0,1
2021-04-04,19.0,19.0,1
2021-04-05,25.0,25.0,1
2021-04-06,31.0,31.0,1
2021-04-07,40.0,40.0,1
2021-04-08,33.0,33.0,1
2021-04-09,34.0,34.0,1
2021-04-10,17.0,17.0,1
2021-04-11,9.0,9.0,1
2021-04-12,47.0,47.0,1
2021-04-13,67.0,67.0,1
2021-04-14,65.0,65.0,1
2021-04-15,33.0,33.0,1
2021-04-16,95.0,95.0,1
2021-04-17,0.0,0.0,1
2021-04-18,38.0,38.0,1
2021-04-19,87.0,87.0,1
2021-04-20,8.0,8.0,1
2021-04-21,75.0,75.0,1
2021-04-22,51.0,51.0,1
2021-04-23,44.0,44.0,1
2021-04-24,10.0,10.0,1
2021-04-25,9.0,9.0,1
2021-04-26,49.0,49.0,1
2021-04-27,76.0,76.0,1
2021-04-28,58.0,58.0,1
2021-04-29,40.0,40.0,1
2021-04-30,49.0,49.0,1
2021-05-01,0.0,0.0,1
2021-05-02,9.0,9.0,1
2021-05-03,40.0,40.0,1
2021-05-04,45.0,45.0,1
2021-05-05,15.0,15.0,1
2021-05-06,72.0,72.0,1
2021-05-07,42.0,42.0,1
2021-05-08,0.0,0.0,1
2021-05-09,0.0,0.0,1
2021-05-10,64.0,64.0,1
2021-05-11,55.0,55.0,1
2021-05-12,74.0,74.0,1
2021-05-13,43.0,43.0,1
2021-05-14,26.0,26.0,1
