date,/m/025szdt_0,/m/025szdt,batch_id
2021-02-01,19.0,19.0,1
2021-02-02,0.0,0.0,1
2021-02-03,57.0,57.0,1
2021-02-04,40.0,40.0,1
2021-02-05,30.0,30.0,1
2021-02-06,52.0,52.0,1
2021-02-07,10.0,10.0,1
2021-02-08,38.0,38.0,1
2021-02-09,29.0,29.0,1
2021-02-10,67.0,67.0,1
2021-02-11,69.0,69.0,1
2021-02-12,50.0,50.0,1
2021-02-13,22.0,22.0,1
2021-02-14,56.0,56.0,1
2021-02-15,29.0,29.0,1
2021-02-16,40.0,40.0,1
2021-02-17,20.0,20.0,1
2021-02-18,78.0,78.0,1
2021-02-19,42.0,42.0,1
2021-02-20,24.0,24.0,1
2021-02-21,36.0,36.0,1
2021-02-22,28.0,28.0,1
2021-02-23,50.0,50.0,1
2021-02-24,40.0,40.0,1
2021-02-25,50.0,50.0,1
2021-02-26,30.0,30.0,1
2021-02-27,22.0,22.0,1
2021-02-28,32.0,32.0,1
2021-03-01,49.0,49.0,1
2021-03-02,30.0,30.0,1
2021-03-03,40.0,40.0,1
2021-03-04,38.0,38.0,1
2021-03-05,0.0,0.0,1
2021-03-06,34.0,34.0,1
2021-03-07,11.0,11.0,1
2021-03-08,39.0,39.0,1
2021-03-09,48.0,48.0,1
2021-03-10,58.0,58.0,1
2021-03-11,49.0,49.0,1
2021-03-12,90.0,90.0,1
2021-03-13,0.0,0.0,1
2021-03-14,31.0,31.0,1
2021-03-15,38.0,38.0,1
2021-03-16,25.0,25.0,1
2021-03-17,58.0,58.0,1
2021-03-18,39.0,39.0,1
2021-03-19,0.0,0.0,1
2021-03-20,23.0,23.0,1
2021-03-21,32.0,32.0,1
2021-03-22,19.0,19.0,1
2021-03-23,29.0,29.0,1
2021-03-24,48.0,48.0,1
2021-03-25,50.0,50.0,1
2021-03-26,41.0,41.0,1
2021-03-27,32.0,32.0,1
2021-03-28,0.0,0.0,1
2021-03-29,51.0,51.0,1
2021-03-30,74.0,74.0,1
2021-03-31,54.0,54.0,1
2021-04-01,31.0,31.0,1
2021-04-02,21.0,21.0,1
2021-04-03,34.0,34.0,1
2021-04-04,92.0,92.0,1
2021-04-05,20.0,20.0,1
2021-04-06,47.0,47.0,1
2021-04-07,29.0,29.0,1
2021-04-08,10.0,10.0,1
2021-04-09,40.0,40.0,1
2021-04-10,10.0,10.0,1
2021-04-11,21.0,21.0,1
2021-04-12,38.0,38.0,1
2021-04-13,20.0,20.0,1
2021-04-14,49.0,49.0,1
2021-04-15,30.0,30.0,1
2021-04-16,42.0,42.0,1
2021-04-17,34.0,34.0,1
2021-04-18,34.0,34.0,1
2021-04-19,67.0,67.0,1
2021-04-20,39.0,39.0,1
2021-04-21,100.0,100.0,1
2021-04-22,91.0,91.0,1
2021-04-23,32.0,32.0,1
2021-04-24,23.0,23.0,1
2021-04-25,34.0,34.0,1
2021-04-26,49.0,49.0,1
2021-04-27,50.0,50.0,1
2021-04-28,70.0,70.0,1
2021-04-29,38.0,38.0,1
2021-04-30,20.0,20.0,1
2021-05-01,11.0,11.0,1
2021-05-02,75.0,75.0,1
2021-05-03,19.0,19.0,1
2021-05-04,64.0,64.0,1
2021-05-05,19.0,19.0,1
2021-05-06,39.0,39.0,1
2021-05-07,50.0,50.0,1
2021-05-08,0.0,0.0,1
2021-05-09,23.0,23.0,1
2021-05-10,38.0,38.0,1
2021-05-11,47.0,47.0,1
2021-05-12,10.0,10.0,1
2021-05-13,31.0,31.0,1
2021-05-14,53.0,53.0,1
