date,/m/0hb2r_0,/m/0hb2r,batch_id
2021-02-01,36.0,36.0,1
2021-02-02,64.0,64.0,1
2021-02-03,71.0,71.0,1
2021-02-04,22.0,22.0,1
2021-02-05,81.0,81.0,1
2021-02-06,54.0,54.0,1
2021-02-07,47.0,47.0,1
2021-02-08,35.0,35.0,1
2021-02-09,44.0,44.0,1
2021-02-10,57.0,57.0,1
2021-02-11,66.0,66.0,1
2021-02-12,45.0,45.0,1
2021-02-13,50.0,50.0,1
2021-02-14,58.0,58.0,1
2021-02-15,28.0,28.0,1
2021-02-16,37.0,37.0,1
2021-02-17,88.0,88.0,1
2021-02-18,59.0,59.0,1
2021-02-19,85.0,85.0,1
2021-02-20,79.0,79.0,1
2021-02-21,62.0,62.0,1
2021-02-22,62.0,62.0,1
2021-02-23,30.0,30.0,1
2021-02-24,53.0,53.0,1
2021-02-25,23.0,23.0,1
2021-02-26,23.0,23.0,1
2021-02-27,75.0,75.0,1
2021-02-28,8.0,8.0,1
2021-03-01,36.0,36.0,1
2021-03-02,30.0,30.0,1
2021-03-03,53.0,53.0,1
2021-03-04,50.0,50.0,1
2021-03-05,61.0,61.0,1
2021-03-06,8.0,8.0,1
2021-03-07,57.0,57.0,1
2021-03-08,66.0,66.0,1
2021-03-09,100.0,100.0,1
2021-03-10,66.0,66.0,1
2021-03-11,29.0,29.0,1
2021-03-12,82.0,82.0,1
2021-03-13,16.0,16.0,1
2021-03-14,38.0,38.0,1
2021-03-15,40.0,40.0,1
2021-03-16,44.0,44.0,1
2021-03-17,72.0,72.0,1
2021-03-18,73.0,73.0,1
2021-03-19,38.0,38.0,1
2021-03-20,60.0,60.0,1
2021-03-21,95.0,95.0,1
2021-03-22,43.0,43.0,1
2021-03-23,36.0,36.0,1
2021-03-24,72.0,72.0,1
2021-03-25,37.0,37.0,1
2021-03-26,46.0,46.0,1
2021-03-27,89.0,89.0,1
2021-03-28,60.0,60.0,1
2021-03-29,46.0,46.0,1
2021-03-30,71.0,71.0,1
2021-03-31,57.0,57.0,1
2021-04-01,46.0,46.0,1
2021-04-02,31.0,31.0,1
2021-04-03,17.0,17.0,1
2021-04-04,52.0,52.0,1
2021-04-05,76.0,76.0,1
2021-04-06,42.0,42.0,1
2021-04-07,43.0,43.0,1
2021-04-08,44.0,44.0,1
2021-04-09,53.0,53.0,1
2021-04-10,38.0,38.0,1
2021-04-11,31.0,31.0,1
2021-04-12,49.0,49.0,1
2021-04-13,45.0,45.0,1
2021-04-14,36.0,36.0,1
2021-04-15,30.0,30.0,1
2021-04-16,62.0,62.0,1
2021-04-17,17.0,17.0,1
2021-04-18,59.0,59.0,1
2021-04-19,50.0,50.0,1
2021-04-20,59.0,59.0,1
2021-04-21,15.0,15.0,1
2021-04-22,38.0,38.0,1
2021-04-23,32.0,32.0,1
2021-04-24,35.0,35.0,1
2021-04-25,42.0,42.0,1
2021-04-26,58.0,58.0,1
2021-04-27,53.0,53.0,1
2021-04-28,60.0,60.0,1
2021-04-29,36.0,36.0,1
2021-04-30,59.0,59.0,1
2021-05-01,81.0,81.0,1
2021-05-02,56.0,56.0,1
2021-05-03,78.0,78.0,1
2021-05-04,61.0,61.0,1
2021-05-05,69.0,69.0,1
2021-05-06,72.0,72.0,1
2021-05-07,60.0,60.0,1
2021-05-08,24.0,24.0,1
2021-05-09,70.0,70.0,1
2021-05-10,50.0,50.0,1
2021-05-11,70.0,70.0,1
2021-05-12,51.0,51.0,1
2021-05-13,23.0,23.0,1
2021-05-14,31.0,31.0,1
