date,/m/0blypf_0,/m/0blypf,batch_id
2021-02-01,73.0,73.0,1
2021-02-02,10.0,10.0,1
2021-02-03,10.0,10.0,1
2021-02-04,33.0,33.0,1
2021-02-05,21.0,21.0,1
2021-02-06,45.0,45.0,1
2021-02-07,69.0,69.0,1
2021-02-08,62.0,62.0,1
2021-02-09,32.0,32.0,1
2021-02-10,52.0,52.0,1
2021-02-11,32.0,32.0,1
2021-02-12,43.0,43.0,1
2021-02-13,85.0,85.0,1
2021-02-14,24.0,24.0,1
2021-02-15,62.0,62.0,1
2021-02-16,22.0,22.0,1
2021-02-17,0.0,0.0,1
2021-02-18,21.0,21.0,1
2021-02-19,23.0,23.0,1
2021-02-20,0.0,0.0,1
2021-02-21,52.0,52.0,1
2021-02-22,40.0,40.0,1
2021-02-23,44.0,44.0,1
2021-02-24,33.0,33.0,1
2021-02-25,55.0,55.0,1
2021-02-26,22.0,22.0,1
2021-02-27,73.0,73.0,1
2021-02-28,59.0,59.0,1
2021-03-01,42.0,42.0,1
2021-03-02,66.0,66.0,1
2021-03-03,44.0,44.0,1
2021-03-04,31.0,31.0,1
2021-03-05,44.0,44.0,1
2021-03-06,61.0,61.0,1
2021-03-07,12.0,12.0,1
2021-03-08,32.0,32.0,1
2021-03-09,42.0,42.0,1
2021-03-10,11.0,11.0,1
2021-03-11,21.0,21.0,1
2021-03-12,22.0,22.0,1
2021-03-13,11.0,11.0,1
2021-03-14,11.0,11.0,1
2021-03-15,17.0,17.0,1
2021-03-16,27.0,27.0,1
2021-03-17,42.0,42.0,1
2021-03-18,21.0,21.0,1
2021-03-19,56.0,56.0,1
2021-03-20,75.0,75.0,1
2021-03-21,46.0,46.0,1
2021-03-22,11.0,11.0,1
2021-03-23,21.0,21.0,1
2021-03-24,63.0,63.0,1
2021-03-25,22.0,22.0,1
2021-03-26,34.0,34.0,1
2021-03-27,35.0,35.0,1
2021-03-28,25.0,25.0,1
2021-03-29,100.0,100.0,1
2021-03-30,23.0,23.0,1
2021-03-31,36.0,36.0,1
2021-04-01,23.0,23.0,1
2021-04-02,46.0,46.0,1
2021-04-03,25.0,25.0,1
2021-04-04,38.0,38.0,1
2021-04-05,22.0,22.0,1
2021-04-06,20.0,20.0,1
2021-04-07,31.0,31.0,1
2021-04-08,32.0,32.0,1
2021-04-09,0.0,0.0,1
2021-04-10,33.0,33.0,1
2021-04-11,34.0,34.0,1
2021-04-12,21.0,21.0,1
2021-04-13,33.0,33.0,1
2021-04-14,43.0,43.0,1
2021-04-15,22.0,22.0,1
2021-04-16,23.0,23.0,1
2021-04-17,37.0,37.0,1
2021-04-18,37.0,37.0,1
2021-04-19,31.0,31.0,1
2021-04-20,21.0,21.0,1
2021-04-21,11.0,11.0,1
2021-04-22,22.0,22.0,1
2021-04-23,58.0,58.0,1
2021-04-24,38.0,38.0,1
2021-04-25,73.0,73.0,1
2021-04-26,32.0,32.0,1
2021-04-27,11.0,11.0,1
2021-04-28,33.0,33.0,1
2021-04-29,52.0,52.0,1
2021-04-30,21.0,21.0,1
2021-05-01,47.0,47.0,1
2021-05-02,23.0,23.0,1
2021-05-03,62.0,62.0,1
2021-05-04,10.0,10.0,1
2021-05-05,51.0,51.0,1
2021-05-06,0.0,0.0,1
2021-05-07,87.0,87.0,1
2021-05-08,24.0,24.0,1
2021-05-09,64.0,64.0,1
2021-05-10,21.0,21.0,1
2021-05-11,51.0,51.0,1
2021-05-12,64.0,64.0,1
2021-05-13,34.0,34.0,1
2021-05-14,46.0,46.0,1
