date,/m/02rnbv_0,/m/02rnbv,batch_id
2021-02-01,78.0,78.0,1
2021-02-02,70.0,70.0,1
2021-02-03,70.0,70.0,1
2021-02-04,71.0,71.0,1
2021-02-05,74.0,74.0,1
2021-02-06,81.0,81.0,1
2021-02-07,69.0,69.0,1
2021-02-08,91.0,91.0,1
2021-02-09,78.0,78.0,1
2021-02-10,74.0,74.0,1
2021-02-11,79.0,79.0,1
2021-02-12,72.0,72.0,1
2021-02-13,77.0,77.0,1
2021-02-14,80.0,80.0,1
2021-02-15,81.0,81.0,1
2021-02-16,79.0,79.0,1
2021-02-17,73.0,73.0,1
2021-02-18,69.0,69.0,1
2021-02-19,71.0,71.0,1
2021-02-20,83.0,83.0,1
2021-02-21,75.0,75.0,1
2021-02-22,77.0,77.0,1
2021-02-23,72.0,72.0,1
2021-02-24,73.0,73.0,1
2021-02-25,88.0,88.0,1
2021-02-26,85.0,85.0,1
2021-02-27,63.0,63.0,1
2021-02-28,77.0,77.0,1
2021-03-01,78.0,78.0,1
2021-03-02,79.0,79.0,1
2021-03-03,81.0,81.0,1
2021-03-04,81.0,81.0,1
2021-03-05,77.0,77.0,1
2021-03-06,76.0,76.0,1
2021-03-07,76.0,76.0,1
2021-03-08,75.0,75.0,1
2021-03-09,67.0,67.0,1
2021-03-10,79.0,79.0,1
2021-03-11,71.0,71.0,1
2021-03-12,76.0,76.0,1
2021-03-13,77.0,77.0,1
2021-03-14,66.0,66.0,1
2021-03-15,74.0,74.0,1
2021-03-16,71.0,71.0,1
2021-03-17,77.0,77.0,1
2021-03-18,69.0,69.0,1
2021-03-19,71.0,71.0,1
2021-03-20,74.0,74.0,1
2021-03-21,74.0,74.0,1
2021-03-22,79.0,79.0,1
2021-03-23,70.0,70.0,1
2021-03-24,70.0,70.0,1
2021-03-25,88.0,88.0,1
2021-03-26,69.0,69.0,1
2021-03-27,73.0,73.0,1
2021-03-28,78.0,78.0,1
2021-03-29,78.0,78.0,1
2021-03-30,83.0,83.0,1
2021-03-31,89.0,89.0,1
2021-04-01,80.0,80.0,1
2021-04-02,93.0,93.0,1
2021-04-03,80.0,80.0,1
2021-04-04,71.0,71.0,1
2021-04-05,88.0,88.0,1
2021-04-06,88.0,88.0,1
2021-04-07,87.0,87.0,1
2021-04-08,78.0,78.0,1
2021-04-09,83.0,83.0,1
2021-04-10,72.0,72.0,1
2021-04-11,75.0,75.0,1
2021-04-12,89.0,89.0,1
2021-04-13,79.0,79.0,1
2021-04-14,86.0,86.0,1
2021-04-15,77.0,77.0,1
2021-04-16,84.0,84.0,1
2021-04-17,78.0,78.0,1
2021-04-18,78.0,78.0,1
2021-04-19,80.0,80.0,1
2021-04-20,87.0,87.0,1
2021-04-21,83.0,83.0,1
2021-04-22,78.0,78.0,1
2021-04-23,83.0,83.0,1
2021-04-24,77.0,77.0,1
2021-04-25,75.0,75.0,1
2021-04-26,77.0,77.0,1
2021-04-27,91.0,91.0,1
2021-04-28,87.0,87.0,1
2021-04-29,90.0,90.0,1
2021-04-30,81.0,81.0,1
2021-05-01,88.0,88.0,1
2021-05-02,90.0,90.0,1
2021-05-03,90.0,90.0,1
2021-05-04,83.0,83.0,1
2021-05-05,84.0,84.0,1
2021-05-06,89.0,89.0,1
2021-05-07,89.0,89.0,1
2021-05-08,100.0,100.0,1
2021-05-09,90.0,90.0,1
2021-05-10,85.0,85.0,1
2021-05-11,96.0,96.0,1
2021-05-12,95.0,95.0,1
2021-05-13,90.0,90.0,1
2021-05-14,97.0,97.0,1
