date,/g/11j8_9sv06_0,/g/11j8_9sv06,batch_id
2021-02-01,10.0,10.0,1
2021-02-02,8.0,8.0,1
2021-02-03,14.0,14.0,1
2021-02-04,19.0,19.0,1
2021-02-05,15.0,15.0,1
2021-02-06,21.0,21.0,1
2021-02-07,20.0,20.0,1
2021-02-08,10.0,10.0,1
2021-02-09,16.0,16.0,1
2021-02-10,9.0,9.0,1
2021-02-11,18.0,18.0,1
2021-02-12,16.0,16.0,1
2021-02-13,12.0,12.0,1
2021-02-14,14.0,14.0,1
2021-02-15,13.0,13.0,1
2021-02-16,8.0,8.0,1
2021-02-17,16.0,16.0,1
2021-02-18,11.0,11.0,1
2021-02-19,11.0,11.0,1
2021-02-20,12.0,12.0,1
2021-02-21,12.0,12.0,1
2021-02-22,19.0,19.0,1
2021-02-23,20.0,20.0,1
2021-02-24,19.0,19.0,1
2021-02-25,26.0,26.0,1
2021-02-26,30.0,30.0,1
2021-02-27,21.0,21.0,1
2021-02-28,24.0,24.0,1
2021-03-01,15.0,15.0,1
2021-03-02,26.0,26.0,1
2021-03-03,23.0,23.0,1
2021-03-04,21.0,21.0,1
2021-03-05,26.0,26.0,1
2021-03-06,27.0,27.0,1
2021-03-07,21.0,21.0,1
2021-03-08,34.0,34.0,1
2021-03-09,34.0,34.0,1
2021-03-10,37.0,37.0,1
2021-03-11,35.0,35.0,1
2021-03-12,36.0,36.0,1
2021-03-13,22.0,22.0,1
2021-03-14,21.0,21.0,1
2021-03-15,28.0,28.0,1
2021-03-16,30.0,30.0,1
2021-03-17,23.0,23.0,1
2021-03-18,24.0,24.0,1
2021-03-19,35.0,35.0,1
2021-03-20,25.0,25.0,1
2021-03-21,23.0,23.0,1
2021-03-22,32.0,32.0,1
2021-03-23,34.0,34.0,1
2021-03-24,30.0,30.0,1
2021-03-25,34.0,34.0,1
2021-03-26,19.0,19.0,1
2021-03-27,19.0,19.0,1
2021-03-28,27.0,27.0,1
2021-03-29,23.0,23.0,1
2021-03-30,27.0,27.0,1
2021-03-31,23.0,23.0,1
2021-04-01,19.0,19.0,1
2021-04-02,29.0,29.0,1
2021-04-03,30.0,30.0,1
2021-04-04,25.0,25.0,1
2021-04-05,31.0,31.0,1
2021-04-06,44.0,44.0,1
2021-04-07,36.0,36.0,1
2021-04-08,43.0,43.0,1
2021-04-09,48.0,48.0,1
2021-04-10,18.0,18.0,1
2021-04-11,35.0,35.0,1
2021-04-12,38.0,38.0,1
2021-04-13,35.0,35.0,1
2021-04-14,39.0,39.0,1
2021-04-15,30.0,30.0,1
2021-04-16,29.0,29.0,1
2021-04-17,25.0,25.0,1
2021-04-18,28.0,28.0,1
2021-04-19,47.0,47.0,1
2021-04-20,100.0,100.0,1
2021-04-21,25.0,25.0,1
2021-04-22,41.0,41.0,1
2021-04-23,28.0,28.0,1
2021-04-24,28.0,28.0,1
2021-04-25,21.0,21.0,1
2021-04-26,36.0,36.0,1
2021-04-27,26.0,26.0,1
2021-04-28,42.0,42.0,1
2021-04-29,22.0,22.0,1
2021-04-30,30.0,30.0,1
2021-05-01,38.0,38.0,1
2021-05-02,22.0,22.0,1
2021-05-03,33.0,33.0,1
2021-05-04,42.0,42.0,1
2021-05-05,43.0,43.0,1
2021-05-06,30.0,30.0,1
2021-05-07,34.0,34.0,1
2021-05-08,24.0,24.0,1
2021-05-09,35.0,35.0,1
2021-05-10,36.0,36.0,1
2021-05-11,38.0,38.0,1
2021-05-12,27.0,27.0,1
2021-05-13,31.0,31.0,1
2021-05-14,34.0,34.0,1
