date,/m/031n1_0,/m/031n1,batch_id
2021-02-01,47.0,47.0,1
2021-02-02,70.0,70.0,1
2021-02-03,61.0,61.0,1
2021-02-04,73.0,73.0,1
2021-02-05,57.0,57.0,1
2021-02-06,44.0,44.0,1
2021-02-07,70.0,70.0,1
2021-02-08,49.0,49.0,1
2021-02-09,52.0,52.0,1
2021-02-10,66.0,66.0,1
2021-02-11,52.0,52.0,1
2021-02-12,47.0,47.0,1
2021-02-13,52.0,52.0,1
2021-02-14,87.0,87.0,1
2021-02-15,64.0,64.0,1
2021-02-16,64.0,64.0,1
2021-02-17,68.0,68.0,1
2021-02-18,70.0,70.0,1
2021-02-19,60.0,60.0,1
2021-02-20,82.0,82.0,1
2021-02-21,77.0,77.0,1
2021-02-22,64.0,64.0,1
2021-02-23,76.0,76.0,1
2021-02-24,79.0,79.0,1
2021-02-25,92.0,92.0,1
2021-02-26,49.0,49.0,1
2021-02-27,55.0,55.0,1
2021-02-28,55.0,55.0,1
2021-03-01,67.0,67.0,1
2021-03-02,58.0,58.0,1
2021-03-03,61.0,61.0,1
2021-03-04,57.0,57.0,1
2021-03-05,57.0,57.0,1
2021-03-06,90.0,90.0,1
2021-03-07,87.0,87.0,1
2021-03-08,74.0,74.0,1
2021-03-09,70.0,70.0,1
2021-03-10,74.0,74.0,1
2021-03-11,59.0,59.0,1
2021-03-12,65.0,65.0,1
2021-03-13,72.0,72.0,1
2021-03-14,76.0,76.0,1
2021-03-15,61.0,61.0,1
2021-03-16,45.0,45.0,1
2021-03-17,69.0,69.0,1
2021-03-18,79.0,79.0,1
2021-03-19,66.0,66.0,1
2021-03-20,84.0,84.0,1
2021-03-21,76.0,76.0,1
2021-03-22,63.0,63.0,1
2021-03-23,65.0,65.0,1
2021-03-24,78.0,78.0,1
2021-03-25,53.0,53.0,1
2021-03-26,53.0,53.0,1
2021-03-27,53.0,53.0,1
2021-03-28,77.0,77.0,1
2021-03-29,82.0,82.0,1
2021-03-30,66.0,66.0,1
2021-03-31,63.0,63.0,1
2021-04-01,78.0,78.0,1
2021-04-02,40.0,40.0,1
2021-04-03,66.0,66.0,1
2021-04-04,100.0,100.0,1
2021-04-05,61.0,61.0,1
2021-04-06,69.0,69.0,1
2021-04-07,49.0,49.0,1
2021-04-08,66.0,66.0,1
2021-04-09,72.0,72.0,1
2021-04-10,52.0,52.0,1
2021-04-11,68.0,68.0,1
2021-04-12,57.0,57.0,1
2021-04-13,58.0,58.0,1
2021-04-14,61.0,61.0,1
2021-04-15,78.0,78.0,1
2021-04-16,86.0,86.0,1
2021-04-17,46.0,46.0,1
2021-04-18,71.0,71.0,1
2021-04-19,74.0,74.0,1
2021-04-20,59.0,59.0,1
2021-04-21,69.0,69.0,1
2021-04-22,47.0,47.0,1
2021-04-23,54.0,54.0,1
2021-04-24,84.0,84.0,1
2021-04-25,95.0,95.0,1
2021-04-26,65.0,65.0,1
2021-04-27,65.0,65.0,1
2021-04-28,65.0,65.0,1
2021-04-29,79.0,79.0,1
2021-04-30,44.0,44.0,1
2021-05-01,58.0,58.0,1
2021-05-02,72.0,72.0,1
2021-05-03,61.0,61.0,1
2021-05-04,67.0,67.0,1
2021-05-05,39.0,39.0,1
2021-05-06,60.0,60.0,1
2021-05-07,56.0,56.0,1
2021-05-08,48.0,48.0,1
2021-05-09,70.0,70.0,1
2021-05-10,58.0,58.0,1
2021-05-11,80.0,80.0,1
2021-05-12,68.0,68.0,1
2021-05-13,64.0,64.0,1
2021-05-14,75.0,75.0,1
