date,/g/1218rvfm_0,/g/1218rvfm,batch_id
2021-02-01,45.0,45.0,1
2021-02-02,36.0,36.0,1
2021-02-03,18.0,18.0,1
2021-02-04,19.0,19.0,1
2021-02-05,19.0,19.0,1
2021-02-06,20.0,20.0,1
2021-02-07,40.0,40.0,1
2021-02-08,18.0,18.0,1
2021-02-09,9.0,9.0,1
2021-02-10,54.0,54.0,1
2021-02-11,19.0,19.0,1
2021-02-12,47.0,47.0,1
2021-02-13,42.0,42.0,1
2021-02-14,42.0,42.0,1
2021-02-15,27.0,27.0,1
2021-02-16,9.0,9.0,1
2021-02-17,0.0,0.0,1
2021-02-18,9.0,9.0,1
2021-02-19,20.0,20.0,1
2021-02-20,33.0,33.0,1
2021-02-21,45.0,45.0,1
2021-02-22,35.0,35.0,1
2021-02-23,38.0,38.0,1
2021-02-24,19.0,19.0,1
2021-02-25,28.0,28.0,1
2021-02-26,9.0,9.0,1
2021-02-27,53.0,53.0,1
2021-02-28,31.0,31.0,1
2021-03-01,37.0,37.0,1
2021-03-02,47.0,47.0,1
2021-03-03,38.0,38.0,1
2021-03-04,18.0,18.0,1
2021-03-05,48.0,48.0,1
2021-03-06,74.0,74.0,1
2021-03-07,41.0,41.0,1
2021-03-08,18.0,18.0,1
2021-03-09,18.0,18.0,1
2021-03-10,18.0,18.0,1
2021-03-11,64.0,64.0,1
2021-03-12,28.0,28.0,1
2021-03-13,30.0,30.0,1
2021-03-14,29.0,29.0,1
2021-03-15,14.0,14.0,1
2021-03-16,71.0,71.0,1
2021-03-17,36.0,36.0,1
2021-03-18,18.0,18.0,1
2021-03-19,29.0,29.0,1
2021-03-20,0.0,0.0,1
2021-03-21,20.0,20.0,1
2021-03-22,37.0,37.0,1
2021-03-23,37.0,37.0,1
2021-03-24,37.0,37.0,1
2021-03-25,57.0,57.0,1
2021-03-26,39.0,39.0,1
2021-03-27,20.0,20.0,1
2021-03-28,33.0,33.0,1
2021-03-29,10.0,10.0,1
2021-03-30,50.0,50.0,1
2021-03-31,20.0,20.0,1
2021-04-01,58.0,58.0,1
2021-04-02,40.0,40.0,1
2021-04-03,0.0,0.0,1
2021-04-04,11.0,11.0,1
2021-04-05,19.0,19.0,1
2021-04-06,18.0,18.0,1
2021-04-07,27.0,27.0,1
2021-04-08,47.0,47.0,1
2021-04-09,29.0,29.0,1
2021-04-10,19.0,19.0,1
2021-04-11,0.0,0.0,1
2021-04-12,36.0,36.0,1
2021-04-13,57.0,57.0,1
2021-04-14,37.0,37.0,1
2021-04-15,19.0,19.0,1
2021-04-16,39.0,39.0,1
2021-04-17,32.0,32.0,1
2021-04-18,32.0,32.0,1
2021-04-19,45.0,45.0,1
2021-04-20,28.0,28.0,1
2021-04-21,19.0,19.0,1
2021-04-22,38.0,38.0,1
2021-04-23,60.0,60.0,1
2021-04-24,33.0,33.0,1
2021-04-25,42.0,42.0,1
2021-04-26,37.0,37.0,1
2021-04-27,76.0,76.0,1
2021-04-28,47.0,47.0,1
2021-04-29,72.0,72.0,1
2021-04-30,28.0,28.0,1
2021-05-01,41.0,41.0,1
2021-05-02,61.0,61.0,1
2021-05-03,27.0,27.0,1
2021-05-04,26.0,26.0,1
2021-05-05,79.0,79.0,1
2021-05-06,100.0,100.0,1
2021-05-07,38.0,38.0,1
2021-05-08,21.0,21.0,1
2021-05-09,55.0,55.0,1
2021-05-10,27.0,27.0,1
2021-05-11,27.0,27.0,1
2021-05-12,74.0,74.0,1
2021-05-13,29.0,29.0,1
2021-05-14,30.0,30.0,1
