date,/m/062t2_0,/m/062t2,batch_id
2021-02-01,86.0,86.0,1
2021-02-02,86.0,86.0,1
2021-02-03,82.0,82.0,1
2021-02-04,70.0,70.0,1
2021-02-05,71.0,71.0,1
2021-02-06,72.0,72.0,1
2021-02-07,81.0,81.0,1
2021-02-08,80.0,80.0,1
2021-02-09,70.0,70.0,1
2021-02-10,75.0,75.0,1
2021-02-11,49.0,49.0,1
2021-02-12,61.0,61.0,1
2021-02-13,54.0,54.0,1
2021-02-14,96.0,96.0,1
2021-02-15,73.0,73.0,1
2021-02-16,84.0,84.0,1
2021-02-17,68.0,68.0,1
2021-02-18,73.0,73.0,1
2021-02-19,55.0,55.0,1
2021-02-20,77.0,77.0,1
2021-02-21,87.0,87.0,1
2021-02-22,96.0,96.0,1
2021-02-23,92.0,92.0,1
2021-02-24,63.0,63.0,1
2021-02-25,63.0,63.0,1
2021-02-26,74.0,74.0,1
2021-02-27,51.0,51.0,1
2021-02-28,84.0,84.0,1
2021-03-01,77.0,77.0,1
2021-03-02,76.0,76.0,1
2021-03-03,83.0,83.0,1
2021-03-04,63.0,63.0,1
2021-03-05,59.0,59.0,1
2021-03-06,67.0,67.0,1
2021-03-07,84.0,84.0,1
2021-03-08,77.0,77.0,1
2021-03-09,68.0,68.0,1
2021-03-10,74.0,74.0,1
2021-03-11,64.0,64.0,1
2021-03-12,78.0,78.0,1
2021-03-13,73.0,73.0,1
2021-03-14,77.0,77.0,1
2021-03-15,78.0,78.0,1
2021-03-16,69.0,69.0,1
2021-03-17,87.0,87.0,1
2021-03-18,92.0,92.0,1
2021-03-19,70.0,70.0,1
2021-03-20,71.0,71.0,1
2021-03-21,71.0,71.0,1
2021-03-22,83.0,83.0,1
2021-03-23,68.0,68.0,1
2021-03-24,59.0,59.0,1
2021-03-25,67.0,67.0,1
2021-03-26,74.0,74.0,1
2021-03-27,63.0,63.0,1
2021-03-28,78.0,78.0,1
2021-03-29,64.0,64.0,1
2021-03-30,64.0,64.0,1
2021-03-31,50.0,50.0,1
2021-04-01,75.0,75.0,1
2021-04-02,64.0,64.0,1
2021-04-03,71.0,71.0,1
2021-04-04,93.0,93.0,1
2021-04-05,87.0,87.0,1
2021-04-06,93.0,93.0,1
2021-04-07,58.0,58.0,1
2021-04-08,73.0,73.0,1
2021-04-09,72.0,72.0,1
2021-04-10,86.0,86.0,1
2021-04-11,77.0,77.0,1
2021-04-12,69.0,69.0,1
2021-04-13,67.0,67.0,1
2021-04-14,81.0,81.0,1
2021-04-15,69.0,69.0,1
2021-04-16,81.0,81.0,1
2021-04-17,79.0,79.0,1
2021-04-18,88.0,88.0,1
2021-04-19,79.0,79.0,1
2021-04-20,74.0,74.0,1
2021-04-21,89.0,89.0,1
2021-04-22,79.0,79.0,1
2021-04-23,86.0,86.0,1
2021-04-24,71.0,71.0,1
2021-04-25,65.0,65.0,1
2021-04-26,90.0,90.0,1
2021-04-27,53.0,53.0,1
2021-04-28,58.0,58.0,1
2021-04-29,68.0,68.0,1
2021-04-30,57.0,57.0,1
2021-05-01,84.0,84.0,1
2021-05-02,86.0,86.0,1
2021-05-03,100.0,100.0,1
2021-05-04,67.0,67.0,1
2021-05-05,72.0,72.0,1
2021-05-06,49.0,49.0,1
2021-05-07,71.0,71.0,1
2021-05-08,80.0,80.0,1
2021-05-09,79.0,79.0,1
2021-05-10,79.0,79.0,1
2021-05-11,68.0,68.0,1
2021-05-12,64.0,64.0,1
2021-05-13,81.0,81.0,1
2021-05-14,83.0,83.0,1
