date,/m/08y7p8
2020-02-01,50
2020-02-02,57
2020-02-03,47
2020-02-04,70
2020-02-05,65
2020-02-06,74
2020-02-07,35
2020-02-08,35
2020-02-09,55
2020-02-10,58
2020-02-11,60
2020-02-12,41
2020-02-13,36
2020-02-14,57
2020-02-15,57
2020-02-16,54
2020-02-17,75
2020-02-18,50
2020-02-19,59
2020-02-20,29
2020-02-21,58
2020-02-22,66
2020-02-23,42
2020-02-24,58
2020-02-25,40
2020-02-26,41
2020-02-27,60
2020-02-28,48
2020-02-29,53
2020-03-01,50
2020-03-02,45
2020-03-03,40
2020-03-04,46
2020-03-05,63
2020-03-06,19
2020-03-07,34
2020-03-08,38
2020-03-09,54
2020-03-10,45
2020-03-11,33
2020-03-12,24
2020-03-13,25
2020-03-14,45
2020-03-15,42
2020-03-16,43
2020-03-17,43
2020-03-18,47
2020-03-19,35
2020-03-20,66
2020-03-21,43
2020-03-22,35
2020-03-23,21
2020-03-24,28
2020-03-25,61
2020-03-26,45
2020-03-27,61
2020-03-28,36
2020-03-29,61
2020-03-30,42
2020-03-31,49
2020-04-01,54
2020-04-02,47
2020-04-03,37
2020-04-04,69
2020-04-05,63
2020-04-06,49
2020-04-07,55
2020-04-08,46
2020-04-09,49
2020-04-10,50
2020-04-11,63
2020-04-12,91
2020-04-13,62
2020-04-14,56
2020-04-15,58
2020-04-16,51
2020-04-17,57
2020-04-18,45
2020-04-19,68
2020-04-20,64
2020-04-21,58
2020-04-22,56
2020-04-23,57
2020-04-24,80
2020-04-25,34
2020-04-26,80
2020-04-27,30
2020-04-28,54
2020-04-29,52
2020-04-30,58
2020-05-01,64
2020-05-02,83
2020-05-03,70
2020-05-04,43
2020-05-05,62
2020-05-06,44
2020-05-07,66
2020-05-08,40
2020-05-09,63
2020-05-10,38
2020-05-11,51
2020-05-12,75
2020-05-13,56
2020-05-14,49
2020-05-15,48
2020-05-16,66
2020-05-17,46
2020-05-18,58
2020-05-19,56
2020-05-20,37
2020-05-21,69
2020-05-22,59
2020-05-23,46
2020-05-24,75
2020-05-25,43
2020-05-26,42
2020-05-27,33
2020-05-28,63
2020-05-29,55
2020-05-30,73
2020-05-31,55
2020-06-01,56
2020-06-02,40
2020-06-03,51
2020-06-04,44
2020-06-05,48
2020-06-06,50
2020-06-07,71
2020-06-08,71
2020-06-09,29
2020-06-10,39
2020-06-11,57
2020-06-12,55
2020-06-13,57
2020-06-14,98
2020-06-15,58
2020-06-16,38
2020-06-17,72
2020-06-18,60
2020-06-19,37
2020-06-20,33
2020-06-21,50
2020-06-22,41
2020-06-23,41
2020-06-24,60
2020-06-25,51
2020-06-26,24
2020-06-27,69
2020-06-28,64
2020-06-29,63
2020-06-30,28
2020-07-01,62
2020-07-02,62
2020-07-03,54
2020-07-04,39
2020-07-05,39
2020-07-06,31
2020-07-07,47
2020-07-08,62
2020-07-09,64
2020-07-10,68
2020-07-11,98
2020-07-12,62
2020-07-13,70
2020-07-14,49
2020-07-15,30
2020-07-16,56
2020-07-17,65
2020-07-18,42
2020-07-19,73
2020-07-20,57
2020-07-21,32
2020-07-22,67
2020-07-23,45
2020-07-24,35
2020-07-25,65
2020-07-26,53
2020-07-27,100
2020-07-28,63
2020-07-29,57
2020-07-30,48
2020-07-31,55
2020-08-01,46
2020-08-02,63
2020-08-03,51
2020-08-04,62
2020-08-05,48
2020-08-06,62
2020-08-07,31
2020-08-08,30
2020-08-09,68
2020-08-10,57
2020-08-11,46
2020-08-12,56
2020-08-13,43
2020-08-14,73
2020-08-15,48
2020-08-16,76
2020-08-17,75
2020-08-18,73
2020-08-19,48
2020-08-20,44
2020-08-21,47
2020-08-22,65
2020-08-23,80
2020-08-24,33
2020-08-25,37
2020-08-26,38
2020-08-27,87
2020-08-28,29
2020-08-29,46
2020-08-30,43
2020-08-31,39
2020-09-01,50
2020-09-02,42
2020-09-03,30
2020-09-04,52
2020-09-05,31
2020-09-06,53
2020-09-07,54
2020-09-08,23
2020-09-09,59
2020-09-10,71
2020-09-11,35
2020-09-12,50
2020-09-13,47
2020-09-14,54
2020-09-15,52
2020-09-16,50
2020-09-17,36
2020-09-18,47
2020-09-19,33
2020-09-20,57
2020-09-21,47
2020-09-22,47
2020-09-23,70
2020-09-24,47
2020-09-25,44
2020-09-26,38
2020-09-27,69
2020-09-28,40
