date,/m/01hwqk
2020-02-01,46
2020-02-02,66
2020-02-03,45
2020-02-04,44
2020-02-05,30
2020-02-06,31
2020-02-07,70
2020-02-08,24
2020-02-09,28
2020-02-10,31
2020-02-11,22
2020-02-12,64
2020-02-13,22
2020-02-14,53
2020-02-15,32
2020-02-16,43
2020-02-17,21
2020-02-18,32
2020-02-19,0
2020-02-20,33
2020-02-21,23
2020-02-22,24
2020-02-23,37
2020-02-24,42
2020-02-25,32
2020-02-26,61
2020-02-27,41
2020-02-28,33
2020-02-29,23
2020-03-01,42
2020-03-02,51
2020-03-03,65
2020-03-04,21
2020-03-05,71
2020-03-06,65
2020-03-07,23
2020-03-08,22
2020-03-09,21
2020-03-10,21
2020-03-11,21
2020-03-12,20
2020-03-13,44
2020-03-14,22
2020-03-15,59
2020-03-16,19
2020-03-17,20
2020-03-18,40
2020-03-19,70
2020-03-20,50
2020-03-21,42
2020-03-22,43
2020-03-23,53
2020-03-24,45
2020-03-25,33
2020-03-26,38
2020-03-27,18
2020-03-28,34
2020-03-29,46
2020-03-30,24
2020-03-31,30
2020-04-01,43
2020-04-02,36
2020-04-03,36
2020-04-04,54
2020-04-05,92
2020-04-06,56
2020-04-07,86
2020-04-08,39
2020-04-09,39
2020-04-10,46
2020-04-11,65
2020-04-12,64
2020-04-13,84
2020-04-14,18
2020-04-15,38
2020-04-16,49
2020-04-17,39
2020-04-18,38
2020-04-19,58
2020-04-20,36
2020-04-21,57
2020-04-22,19
2020-04-23,25
2020-04-24,38
2020-04-25,63
2020-04-26,44
2020-04-27,37
2020-04-28,29
2020-04-29,18
2020-04-30,34
2020-05-01,55
2020-05-02,56
2020-05-03,40
2020-05-04,17
2020-05-05,17
2020-05-06,28
2020-05-07,89
2020-05-08,49
2020-05-09,43
2020-05-10,60
2020-05-11,40
2020-05-12,24
2020-05-13,49
2020-05-14,37
2020-05-15,58
2020-05-16,50
2020-05-17,37
2020-05-18,29
2020-05-19,64
2020-05-20,59
2020-05-21,58
2020-05-22,74
2020-05-23,52
2020-05-24,53
2020-05-25,100
2020-05-26,19
2020-05-27,51
2020-05-28,38
2020-05-29,29
2020-05-30,51
2020-05-31,59
2020-06-01,27
2020-06-02,31
2020-06-03,33
2020-06-04,27
2020-06-05,33
2020-06-06,44
2020-06-07,29
2020-06-08,16
2020-06-09,42
2020-06-10,30
2020-06-11,36
2020-06-12,38
2020-06-13,22
2020-06-14,49
2020-06-15,30
2020-06-16,53
2020-06-17,23
2020-06-18,31
2020-06-19,19
2020-06-20,53
2020-06-21,65
2020-06-22,19
2020-06-23,20
2020-06-24,51
2020-06-25,31
2020-06-26,20
2020-06-27,86
2020-06-28,53
2020-06-29,63
2020-06-30,19
2020-07-01,25
2020-07-02,39
2020-07-03,20
2020-07-04,56
2020-07-05,48
2020-07-06,19
2020-07-07,81
2020-07-08,0
2020-07-09,62
2020-07-10,21
2020-07-11,37
2020-07-12,24
2020-07-13,42
2020-07-14,20
2020-07-15,31
2020-07-16,40
2020-07-17,23
2020-07-18,52
2020-07-19,75
2020-07-20,43
2020-07-21,48
2020-07-22,29
2020-07-23,22
2020-07-24,58
2020-07-25,47
2020-07-26,60
2020-07-27,20
2020-07-28,28
2020-07-29,21
2020-07-30,22
2020-07-31,52
2020-08-01,80
2020-08-02,98
2020-08-03,71
2020-08-04,40
2020-08-05,52
2020-08-06,28
2020-08-07,43
2020-08-08,35
2020-08-09,66
2020-08-10,59
2020-08-11,39
2020-08-12,38
2020-08-13,59
2020-08-14,40
2020-08-15,27
2020-08-16,62
2020-08-17,32
2020-08-18,58
2020-08-19,59
2020-08-20,40
2020-08-21,47
2020-08-22,56
2020-08-23,54
2020-08-24,48
2020-08-25,88
2020-08-26,30
2020-08-27,21
2020-08-28,48
2020-08-29,37
2020-08-30,42
2020-08-31,19
2020-09-01,27
2020-09-02,41
2020-09-03,21
2020-09-04,56
2020-09-05,36
2020-09-06,22
2020-09-07,41
2020-09-08,30
2020-09-09,47
2020-09-10,64
2020-09-11,44
2020-09-12,47
2020-09-13,46
2020-09-14,0
2020-09-15,69
2020-09-16,47
2020-09-17,31
2020-09-18,21
2020-09-19,45
2020-09-20,36
2020-09-21,20
2020-09-22,30
2020-09-23,99
2020-09-24,20
2020-09-25,50
2020-09-26,22
2020-09-27,57
2020-09-28,59
2020-09-29,28
2020-09-30,20
