date,/m/065kcz
2020-02-01,0
2020-02-02,0
2020-02-03,22
2020-02-04,24
2020-02-05,49
2020-02-06,75
2020-02-07,39
2020-02-08,52
2020-02-09,46
2020-02-10,23
2020-02-11,36
2020-02-12,36
2020-02-13,24
2020-02-14,50
2020-02-15,40
2020-02-16,48
2020-02-17,71
2020-02-18,70
2020-02-19,35
2020-02-20,49
2020-02-21,26
2020-02-22,92
2020-02-23,75
2020-02-24,46
2020-02-25,0
2020-02-26,0
2020-02-27,45
2020-02-28,72
2020-02-29,25
2020-03-01,0
2020-03-02,23
2020-03-03,94
2020-03-04,47
2020-03-05,23
2020-03-06,48
2020-03-07,26
2020-03-08,60
2020-03-09,23
2020-03-10,45
2020-03-11,23
2020-03-12,0
2020-03-13,24
2020-03-14,25
2020-03-15,49
2020-03-16,22
2020-03-17,0
2020-03-18,22
2020-03-19,22
2020-03-20,21
2020-03-21,23
2020-03-22,24
2020-03-23,0
2020-03-24,21
2020-03-25,65
2020-03-26,0
2020-03-27,20
2020-03-28,0
2020-03-29,44
2020-03-30,20
2020-03-31,39
2020-04-01,41
2020-04-02,20
2020-04-03,0
2020-04-04,24
2020-04-05,25
2020-04-06,21
2020-04-07,42
2020-04-08,0
2020-04-09,22
2020-04-10,44
2020-04-11,0
2020-04-12,35
2020-04-13,21
2020-04-14,60
2020-04-15,21
2020-04-16,32
2020-04-17,21
2020-04-18,43
2020-04-19,43
2020-04-20,40
2020-04-21,0
2020-04-22,85
2020-04-23,21
2020-04-24,21
2020-04-25,23
2020-04-26,24
2020-04-27,0
2020-04-28,0
2020-04-29,20
2020-04-30,29
2020-05-01,40
2020-05-02,0
2020-05-03,0
2020-05-04,28
2020-05-05,19
2020-05-06,20
2020-05-07,22
2020-05-08,44
2020-05-09,0
2020-05-10,0
2020-05-11,19
2020-05-12,20
2020-05-13,41
2020-05-14,21
2020-05-15,43
2020-05-16,48
2020-05-17,100
2020-05-18,32
2020-05-19,21
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,22
2020-05-24,22
2020-05-25,0
2020-05-26,42
2020-05-27,42
2020-05-28,21
2020-05-29,22
2020-05-30,72
2020-05-31,36
