date,/m/01b92
2020-02-01,51
2020-02-02,37
2020-02-03,71
2020-02-04,43
2020-02-05,43
2020-02-06,56
2020-02-07,46
2020-02-08,46
2020-02-09,66
2020-02-10,41
2020-02-11,37
2020-02-12,47
2020-02-13,49
2020-02-14,68
2020-02-15,53
2020-02-16,37
2020-02-17,42
2020-02-18,78
2020-02-19,73
2020-02-20,65
2020-02-21,74
2020-02-22,70
2020-02-23,66
2020-02-24,23
2020-02-25,77
2020-02-26,74
2020-02-27,45
2020-02-28,64
2020-02-29,55
2020-03-01,79
2020-03-02,75
2020-03-03,63
2020-03-04,68
2020-03-05,39
2020-03-06,32
2020-03-07,63
2020-03-08,74
2020-03-09,30
2020-03-10,66
2020-03-11,50
2020-03-12,37
2020-03-13,32
2020-03-14,38
2020-03-15,43
2020-03-16,34
2020-03-17,53
2020-03-18,20
2020-03-19,24
2020-03-20,32
2020-03-21,72
2020-03-22,48
2020-03-23,65
2020-03-24,28
2020-03-25,34
2020-03-26,57
2020-03-27,26
2020-03-28,84
2020-03-29,54
2020-03-30,35
2020-03-31,61
2020-04-01,41
2020-04-02,27
2020-04-03,54
2020-04-04,58
2020-04-05,100
2020-04-06,50
2020-04-07,56
2020-04-08,39
2020-04-09,48
2020-04-10,44
2020-04-11,59
2020-04-12,52
2020-04-13,32
2020-04-14,58
2020-04-15,37
2020-04-16,33
2020-04-17,29
2020-04-18,33
2020-04-19,21
2020-04-20,60
2020-04-21,50
2020-04-22,52
2020-04-23,37
2020-04-24,46
2020-04-25,46
2020-04-26,33
2020-04-27,60
2020-04-28,39
2020-04-29,31
2020-04-30,76
2020-05-01,40
2020-05-02,37
2020-05-03,78
2020-05-04,38
2020-05-05,50
2020-05-06,55
2020-05-07,57
2020-05-08,48
2020-05-09,42
2020-05-10,49
2020-05-11,30
2020-05-12,40
2020-05-13,45
2020-05-14,28
2020-05-15,58
2020-05-16,53
2020-05-17,66
2020-05-18,42
2020-05-19,52
2020-05-20,34
2020-05-21,58
2020-05-22,41
2020-05-23,63
2020-05-24,48
2020-05-25,58
2020-05-26,56
2020-05-27,33
2020-05-28,63
2020-05-29,39
2020-05-30,64
2020-05-31,49
