date,/m/012lyw
2020-02-01,33
2020-02-02,37
2020-02-03,66
2020-02-04,50
2020-02-05,44
2020-02-06,59
2020-02-07,34
2020-02-08,27
2020-02-09,24
2020-02-10,54
2020-02-11,31
2020-02-12,37
2020-02-13,63
2020-02-14,49
2020-02-15,81
2020-02-16,55
2020-02-17,49
2020-02-18,55
2020-02-19,49
2020-02-20,75
2020-02-21,33
2020-02-22,75
2020-02-23,77
2020-02-24,72
2020-02-25,36
2020-02-26,58
2020-02-27,58
2020-02-28,50
2020-02-29,39
2020-03-01,37
2020-03-02,70
2020-03-03,42
2020-03-04,24
2020-03-05,49
2020-03-06,56
2020-03-07,53
2020-03-08,43
2020-03-09,47
2020-03-10,76
2020-03-11,35
2020-03-12,35
2020-03-13,47
2020-03-14,38
2020-03-15,44
2020-03-16,55
2020-03-17,45
2020-03-18,40
2020-03-19,57
2020-03-20,64
2020-03-21,71
2020-03-22,49
2020-03-23,20
2020-03-24,61
2020-03-25,28
2020-03-26,44
2020-03-27,41
2020-03-28,47
2020-03-29,73
2020-03-30,61
2020-03-31,61
2020-04-01,48
2020-04-02,56
2020-04-03,31
2020-04-04,83
2020-04-05,49
2020-04-06,32
2020-04-07,44
2020-04-08,39
2020-04-09,56
2020-04-10,34
2020-04-11,37
2020-04-12,28
2020-04-13,53
2020-04-14,55
2020-04-15,32
2020-04-16,55
2020-04-17,67
2020-04-18,49
2020-04-19,16
2020-04-20,36
2020-04-21,38
2020-04-22,55
2020-04-23,64
2020-04-24,40
2020-04-25,18
2020-04-26,28
2020-04-27,38
2020-04-28,25
2020-04-29,35
2020-04-30,39
2020-05-01,47
2020-05-02,48
2020-05-03,68
2020-05-04,39
2020-05-05,68
2020-05-06,63
2020-05-07,22
2020-05-08,28
2020-05-09,48
2020-05-10,51
2020-05-11,30
2020-05-12,42
2020-05-13,47
2020-05-14,48
2020-05-15,42
2020-05-16,31
2020-05-17,45
2020-05-18,38
2020-05-19,17
2020-05-20,50
2020-05-21,25
2020-05-22,26
2020-05-23,34
2020-05-24,34
2020-05-25,26
2020-05-26,27
2020-05-27,49
2020-05-28,27
2020-05-29,84
2020-05-30,66
2020-05-31,66
2020-06-01,23
2020-06-02,52
2020-06-03,71
2020-06-04,46
2020-06-05,65
2020-06-06,43
2020-06-07,50
2020-06-08,37
2020-06-09,33
2020-06-10,61
2020-06-11,26
2020-06-12,56
2020-06-13,18
2020-06-14,53
2020-06-15,41
2020-06-16,35
2020-06-17,45
2020-06-18,21
2020-06-19,61
2020-06-20,39
2020-06-21,80
2020-06-22,21
2020-06-23,45
2020-06-24,35
2020-06-25,65
2020-06-26,26
2020-06-27,37
2020-06-28,34
2020-06-29,16
2020-06-30,55
2020-07-01,48
2020-07-02,17
2020-07-03,52
2020-07-04,25
2020-07-05,35
2020-07-06,49
2020-07-07,63
2020-07-08,67
2020-07-09,54
2020-07-10,18
2020-07-11,21
2020-07-12,35
2020-07-13,30
2020-07-14,34
2020-07-15,35
2020-07-16,34
2020-07-17,48
2020-07-18,37
2020-07-19,54
2020-07-20,62
2020-07-21,75
2020-07-22,28
2020-07-23,44
2020-07-24,55
2020-07-25,54
2020-07-26,57
2020-07-27,58
2020-07-28,41
2020-07-29,18
2020-07-30,66
2020-07-31,32
2020-08-01,19
2020-08-02,37
2020-08-03,50
2020-08-04,51
2020-08-05,23
2020-08-06,30
2020-08-07,55
2020-08-08,26
2020-08-09,19
2020-08-10,39
2020-08-11,50
2020-08-12,41
2020-08-13,17
2020-08-14,23
2020-08-15,35
2020-08-16,35
2020-08-17,54
2020-08-18,33
2020-08-19,67
2020-08-20,57
2020-08-21,17
2020-08-22,29
2020-08-23,40
2020-08-24,43
2020-08-25,50
2020-08-26,51
2020-08-27,100
2020-08-28,58
2020-08-29,50
2020-08-30,59
2020-08-31,22
2020-09-01,74
2020-09-02,76
2020-09-03,47
2020-09-04,84
2020-09-05,93
2020-09-06,39
2020-09-07,35
2020-09-08,81
2020-09-09,46
2020-09-10,60
2020-09-11,50
2020-09-12,46
2020-09-13,78
2020-09-14,53
2020-09-15,35
2020-09-16,63
2020-09-17,41
2020-09-18,36
2020-09-19,45
2020-09-20,37
2020-09-21,45
2020-09-22,51
2020-09-23,67
2020-09-24,40
2020-09-25,37
2020-09-26,25
2020-09-27,55
2020-09-28,34
2020-09-29,36
2020-09-30,40
