date,/m/07mf1
2020-02-01,17
2020-02-02,16
2020-02-03,28
2020-02-04,37
2020-02-05,27
2020-02-06,51
2020-02-07,0
2020-02-08,18
2020-02-09,31
2020-02-10,16
2020-02-11,16
2020-02-12,16
2020-02-13,25
2020-02-14,25
2020-02-15,36
2020-02-16,24
2020-02-17,23
2020-02-18,0
2020-02-19,16
2020-02-20,16
2020-02-21,23
2020-02-22,17
2020-02-23,16
2020-02-24,16
2020-02-25,31
2020-02-26,30
2020-02-27,15
2020-02-28,33
2020-02-29,49
2020-03-01,0
2020-03-02,30
2020-03-03,31
2020-03-04,16
2020-03-05,43
2020-03-06,72
2020-03-07,70
2020-03-08,32
2020-03-09,54
2020-03-10,56
2020-03-11,85
2020-03-12,59
2020-03-13,59
2020-03-14,49
2020-03-15,43
2020-03-16,100
2020-03-17,53
2020-03-18,95
2020-03-19,49
2020-03-20,87
2020-03-21,31
2020-03-22,27
2020-03-23,44
2020-03-24,38
2020-03-25,82
2020-03-26,75
2020-03-27,53
2020-03-28,36
2020-03-29,58
2020-03-30,26
2020-03-31,66
2020-04-01,32
2020-04-02,26
2020-04-03,36
2020-04-04,26
2020-04-05,28
2020-04-06,37
2020-04-07,33
2020-04-08,39
2020-04-09,36
2020-04-10,34
2020-04-11,27
2020-04-12,42
2020-04-13,14
2020-04-14,27
2020-04-15,33
2020-04-16,38
2020-04-17,19
2020-04-18,24
2020-04-19,14
2020-04-20,31
2020-04-21,51
2020-04-22,28
2020-04-23,34
2020-04-24,37
2020-04-25,15
2020-04-26,16
2020-04-27,23
2020-04-28,17
2020-04-29,31
2020-04-30,25
2020-05-01,45
2020-05-02,21
2020-05-03,24
2020-05-04,46
2020-05-05,33
2020-05-06,48
2020-05-07,22
2020-05-08,29
2020-05-09,16
2020-05-10,15
2020-05-11,32
2020-05-12,27
2020-05-13,50
2020-05-14,46
2020-05-15,22
2020-05-16,42
2020-05-17,42
2020-05-18,33
2020-05-19,19
2020-05-20,39
2020-05-21,40
2020-05-22,27
2020-05-23,22
2020-05-24,29
2020-05-25,18
2020-05-26,14
2020-05-27,28
2020-05-28,14
2020-05-29,22
2020-05-30,24
2020-05-31,33
2020-06-01,20
2020-06-02,13
2020-06-03,37
2020-06-04,24
2020-06-05,12
2020-06-06,28
2020-06-07,14
2020-06-08,28
2020-06-09,33
2020-06-10,20
2020-06-11,14
2020-06-12,23
2020-06-13,39
2020-06-14,15
2020-06-15,13
2020-06-16,19
2020-06-17,32
2020-06-18,14
2020-06-19,29
2020-06-20,17
2020-06-21,16
2020-06-22,21
2020-06-23,44
2020-06-24,23
2020-06-25,45
2020-06-26,15
2020-06-27,24
2020-06-28,15
2020-06-29,41
2020-06-30,14
2020-07-01,23
2020-07-02,21
2020-07-03,15
2020-07-04,41
2020-07-05,23
2020-07-06,14
2020-07-07,15
2020-07-08,14
2020-07-09,15
2020-07-10,31
2020-07-11,27
2020-07-12,18
2020-07-13,15
2020-07-14,19
2020-07-15,20
2020-07-16,20
2020-07-17,33
2020-07-18,19
2020-07-19,37
2020-07-20,0
2020-07-21,18
2020-07-22,0
2020-07-23,25
2020-07-24,64
2020-07-25,17
2020-07-26,42
2020-07-27,15
2020-07-28,15
2020-07-29,32
2020-07-30,32
2020-07-31,49
2020-08-01,28
2020-08-02,16
2020-08-03,19
2020-08-04,22
2020-08-05,30
2020-08-06,24
2020-08-07,48
2020-08-08,34
2020-08-09,32
2020-08-10,19
2020-08-11,29
2020-08-12,28
2020-08-13,22
2020-08-14,22
2020-08-15,15
2020-08-16,0
2020-08-17,14
2020-08-18,14
2020-08-19,14
2020-08-20,20
2020-08-21,0
2020-08-22,16
2020-08-23,15
2020-08-24,28
2020-08-25,19
2020-08-26,19
2020-08-27,45
2020-08-28,30
2020-08-29,27
2020-08-30,47
2020-08-31,14
2020-09-01,15
2020-09-02,15
2020-09-03,20
2020-09-04,31
2020-09-05,26
2020-09-06,17
2020-09-07,20
2020-09-08,15
2020-09-09,15
2020-09-10,23
2020-09-11,22
2020-09-12,23
2020-09-13,17
2020-09-14,41
2020-09-15,15
2020-09-16,45
2020-09-17,31
2020-09-18,26
2020-09-19,17
2020-09-20,48
2020-09-21,58
2020-09-22,22
2020-09-23,15
2020-09-24,22
2020-09-25,40
2020-09-26,24
2020-09-27,39
2020-09-28,24
