date,/m/0fd23
2020-02-01,8.0
2020-02-02,39.0
2020-02-03,26.0
2020-02-04,18.0
2020-02-05,26.0
2020-02-06,52.0
2020-02-07,23.0
2020-02-08,25.0
2020-02-09,15.0
2020-02-10,14.0
2020-02-11,32.0
2020-02-12,31.0
2020-02-13,21.0
2020-02-14,27.0
2020-02-15,45.0
2020-02-16,38.0
2020-02-17,24.0
2020-02-18,45.0
2020-02-19,25.0
2020-02-20,54.0
2020-02-21,46.0
2020-02-22,21.0
2020-02-23,15.0
2020-02-24,36.0
2020-02-25,21.0
2020-02-26,17.0
2020-02-27,21.0
2020-02-28,19.0
2020-02-29,12.0
2020-03-01,19.0
2020-03-02,44.0
2020-03-03,38.0
2020-03-04,31.0
2020-03-05,24.0
2020-03-06,32.0
2020-03-07,12.0
2020-03-08,30.0
2020-03-09,30.0
2020-03-10,30.0
2020-03-11,23.0
2020-03-12,13.0
2020-03-13,29.0
2020-03-14,32.0
2020-03-15,51.0
2020-03-16,23.0
2020-03-17,36.0
2020-03-18,28.0
2020-03-19,45.0
2020-03-20,29.0
2020-03-21,54.0
2020-03-22,15.0
2020-03-23,34.0
2020-03-24,69.0
2020-03-25,42.0
2020-03-26,31.0
2020-03-27,47.0
2020-03-28,49.0
2020-03-29,68.0
2020-03-30,31.0
2020-03-31,35.0
2020-04-01,39.0
2020-04-02,44.0
2020-04-03,36.0
2020-04-04,59.0
2020-04-05,57.0
2020-04-06,42.0
2020-04-07,71.0
2020-04-08,69.0
2020-04-09,100.0
2020-04-10,71.0
2020-04-11,75.0
2020-04-12,75.0
2020-04-13,61.0
2020-04-14,32.0
2020-04-15,47.0
2020-04-16,69.0
2020-04-17,51.0
2020-04-18,44.0
2020-04-19,39.0
2020-04-20,60.0
2020-04-21,67.0
2020-04-22,85.0
2020-04-23,61.0
2020-04-24,48.0
2020-04-25,56.0
2020-04-26,41.0
2020-04-27,42.0
2020-04-28,42.0
2020-04-29,21.0
2020-04-30,41.0
2020-05-01,65.0
2020-05-02,37.0
2020-05-03,36.0
