date,/m/01c751
2020-02-01,7.0
2020-02-02,4.0
2020-02-03,3.0
2020-02-04,16.0
2020-02-05,3.0
2020-02-06,10.0
2020-02-07,4.0
2020-02-08,4.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,6.0
2020-02-12,0.0
2020-02-13,6.0
2020-02-14,7.0
2020-02-15,11.0
2020-02-16,14.0
2020-02-17,3.0
2020-02-18,3.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,11.0
2020-02-24,22.0
2020-02-25,26.0
2020-02-26,13.0
2020-02-27,9.0
2020-02-28,13.0
2020-02-29,11.0
2020-03-01,25.0
2020-03-02,24.0
2020-03-03,9.0
2020-03-04,22.0
2020-03-05,16.0
2020-03-06,23.0
2020-03-07,30.0
2020-03-08,17.0
2020-03-09,9.0
2020-03-10,18.0
2020-03-11,55.0
2020-03-12,56.0
2020-03-13,76.0
2020-03-14,80.0
2020-03-15,100.0
2020-03-16,66.0
2020-03-17,24.0
2020-03-18,48.0
2020-03-19,57.0
2020-03-20,62.0
2020-03-21,49.0
2020-03-22,53.0
2020-03-23,45.0
2020-03-24,25.0
2020-03-25,22.0
2020-03-26,37.0
2020-03-27,49.0
2020-03-28,52.0
2020-03-29,55.0
2020-03-30,46.0
2020-03-31,26.0
2020-04-01,15.0
2020-04-02,20.0
2020-04-03,33.0
2020-04-04,25.0
2020-04-05,41.0
2020-04-06,15.0
2020-04-07,9.0
2020-04-08,22.0
2020-04-09,22.0
2020-04-10,25.0
2020-04-11,11.0
2020-04-12,41.0
2020-04-13,25.0
2020-04-14,18.0
2020-04-15,9.0
2020-04-16,6.0
2020-04-17,9.0
2020-04-18,28.0
2020-04-19,16.0
2020-04-20,6.0
2020-04-21,17.0
2020-04-22,15.0
2020-04-23,17.0
2020-04-24,23.0
2020-04-25,24.0
2020-04-26,14.0
2020-04-27,3.0
2020-04-28,25.0
2020-04-29,11.0
2020-04-30,16.0
2020-05-01,15.0
2020-05-02,22.0
2020-05-03,13.0
2020-05-04,5.0
2020-05-05,8.0
2020-05-06,6.0
2020-05-07,9.0
2020-05-08,6.0
2020-05-09,0.0
2020-05-10,26.0
2020-05-11,22.0
2020-05-12,6.0
2020-05-13,9.0
2020-05-14,18.0
2020-05-15,9.0
2020-05-16,14.0
2020-05-17,7.0
2020-05-18,12.0
2020-05-19,9.0
2020-05-20,9.0
2020-05-21,10.0
2020-05-22,0.0
2020-05-23,6.0
2020-05-24,19.0
2020-05-25,0.0
2020-05-26,12.0
2020-05-27,0.0
2020-05-28,9.0
2020-05-29,6.0
2020-05-30,0.0
2020-05-31,11.0
2020-06-01,0.0
2020-06-02,17.0
2020-06-03,8.0
2020-06-04,8.0
2020-06-05,8.0
2020-06-06,0.0
2020-06-07,3.0
2020-06-08,3.0
2020-06-09,3.0
2020-06-10,0.0
2020-06-11,6.0
2020-06-12,0.0
2020-06-13,3.0
2020-06-14,0.0
2020-06-15,6.0
2020-06-16,0.0
2020-06-17,5.0
2020-06-18,9.0
2020-06-19,0.0
2020-06-20,4.0
2020-06-21,7.0
2020-06-22,3.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,16.0
2020-06-29,0.0
2020-06-30,3.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-04,0.0
2020-07-05,14.0
2020-07-06,6.0
2020-07-07,3.0
2020-07-08,9.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-11,0.0
2020-07-12,4.0
2020-07-13,3.0
2020-07-14,6.0
2020-07-15,7.0
2020-07-16,3.0
2020-07-17,7.0
2020-07-18,8.0
2020-07-19,12.0
2020-07-20,11.0
2020-07-21,12.0
2020-07-22,3.0
2020-07-23,4.0
2020-07-24,7.0
2020-07-25,0.0
2020-07-26,30.0
2020-07-27,0.0
2020-07-28,17.0
2020-07-29,7.0
2020-07-30,14.0
2020-07-31,4.0
2020-08-01,11.0
2020-08-02,18.0
2020-08-03,0.0
2020-08-04,19.0
2020-08-05,10.0
2020-08-06,10.0
2020-08-07,0.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,6.0
2020-08-13,3.0
2020-08-14,9.0
2020-08-15,10.0
2020-08-16,7.0
2020-08-17,9.0
2020-08-18,3.0
2020-08-19,6.0
2020-08-20,3.0
2020-08-21,6.0
2020-08-22,7.0
2020-08-23,7.0
2020-08-24,6.0
2020-08-25,3.0
2020-08-26,3.0
2020-08-27,3.0
2020-08-28,10.0
2020-08-29,4.0
2020-08-30,7.0
2020-08-31,0.0
2020-09-01,3.0
2020-09-02,3.0
2020-09-03,3.0
2020-09-04,3.0
2020-09-05,0.0
2020-09-06,4.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,3.0
2020-09-11,0.0
2020-09-12,0.0
2020-09-13,7.0
2020-09-14,3.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,3.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,3.0
2020-09-22,15.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,7.0
2020-09-26,11.0
2020-09-27,3.0
2020-09-28,3.0
2020-09-29,3.0
2020-09-30,3.0
2020-10-01,3.0
2020-10-02,0.0
2020-10-03,7.0
2020-10-04,0.0
2020-10-05,6.0
2020-10-06,9.0
2020-10-07,6.0
2020-10-08,6.0
2020-10-09,7.0
2020-10-10,4.0
2020-10-11,7.0
2020-10-12,10.0
2020-10-13,7.0
2020-10-14,10.0
2020-10-15,7.0
2020-10-16,10.0
2020-10-17,8.0
2020-10-18,11.0
2020-10-19,10.0
2020-10-20,7.0
2020-10-21,6.0
2020-10-22,10.0
2020-10-23,20.0
2020-10-24,36.0
2020-10-25,30.0
2020-10-26,16.0
2020-10-27,6.0
2020-10-28,13.33582206391575
2020-10-29,10.32450740432187
2020-10-30,30.113146595938787
2020-10-31,22.799953851210798
2020-11-01,43.01878085134113
2020-11-02,33.55464906404608
2020-11-03,3.44150246810729
2020-11-04,9.464131787295047
2020-11-05,6.022629319187757
2020-11-06,9.464131787295047
2020-11-07,3.44150246810729
2020-11-08,7.313192744727991
2020-11-09,9.89431959580846
2020-11-10,6.88300493621458
2020-11-11,6.88300493621458
2020-11-12,3.44150246810729
2020-11-13,6.88300493621458
2020-11-14,18.928263574590094
2020-11-15,3.44150246810729
2020-11-16,0.0
2020-11-17,3.44150246810729
2020-11-18,3.44150246810729
2020-11-19,0.0
2020-11-20,10.32450740432187
2020-11-21,3.8716902766207015
2020-11-22,0.0
2020-11-23,3.44150246810729
2020-11-24,9.89431959580846
2020-11-25,0.0
2020-11-26,3.44150246810729
2020-11-27,9.89431959580846
2020-11-28,41.29802961728748
2020-11-29,10.754695212835282
2020-11-30,0.0
2020-12-01,9.89431959580846
2020-12-02,6.452817127701169
2020-12-03,9.89431959580846
2020-12-04,3.44150246810729
2020-12-05,3.8716902766207015
2020-12-06,7.313192744727991
2020-12-07,3.44150246810729
2020-12-08,0.0
2020-12-09,6.88300493621458
2020-12-10,3.44150246810729
2020-12-11,10.32450740432187
2020-12-12,3.8716902766207015
2020-12-13,22.369766042697385
2020-12-14,3.44150246810729
2020-12-15,6.88300493621458
2020-12-16,3.44150246810729
2020-12-17,3.44150246810729
2020-12-18,3.44150246810729
