date,/m/0g9pc
2020-01-01,0.0
2020-01-02,2.0
2020-01-03,0.0
2020-01-04,0.9
2020-01-05,1.4
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,1.2
2020-01-09,1.7
2020-01-10,0.0
2020-01-11,1.2
2020-01-12,0.8
2020-01-13,2.2
2020-01-14,2.3
2020-01-15,0.0
2020-01-16,0.6
2020-01-17,0.6
2020-01-18,3.0
2020-01-19,0.8
2020-01-20,1.6
2020-01-21,1.4
2020-01-22,8.5
2020-01-23,9.6
2020-01-24,19.0
2020-01-25,17.1
2020-01-26,15.2
2020-01-27,13.2
2020-01-28,15.4
2020-01-29,15.8
2020-01-30,15.1
2020-01-31,25.4
2020-02-01,26.0
2020-02-02,11.3
2020-02-03,13.0
2020-02-04,10.5
2020-02-05,7.3
2020-02-06,6.2
2020-02-07,6.7
2020-02-08,3.6
2020-02-09,6.1
2020-02-10,12.0
2020-02-11,4.4
2020-02-12,7.1
2020-02-13,5.5
2020-02-14,6.6
2020-02-15,3.9
2020-02-16,6.1
2020-02-17,5.0
2020-02-18,2.5
2020-02-19,5.4
2020-02-20,3.9
2020-02-21,4.7
2020-02-22,19.8
2020-02-23,17.6
2020-02-24,15.6
2020-02-25,11.4
2020-02-26,31.2
2020-02-27,28.8
2020-02-28,15.4
2020-02-29,17.6
2020-03-01,7.3
2020-03-02,6.3
2020-03-03,12.7
2020-03-04,12.1
2020-03-05,14.3
2020-03-06,17.5
2020-03-07,9.8
2020-03-08,14.6
2020-03-09,36.6
2020-03-10,100.0
2020-03-11,61.5
2020-03-12,57.6
2020-03-13,66.2
2020-03-14,70.6
2020-03-15,62.3
2020-03-16,46.7
2020-03-17,42.3
2020-03-18,34.1
2020-03-19,45.6
2020-03-20,33.4
2020-03-21,33.7
2020-03-22,27.8
2020-03-23,27.3
2020-03-24,39.3
2020-03-25,34.1
2020-03-26,33.9
2020-03-27,33.0
2020-03-28,30.3
2020-03-29,27.0
2020-03-30,30.4
2020-03-31,20.6
2020-04-01,16.1
2020-04-02,20.0
2020-04-03,19.8
2020-04-04,18.1
2020-04-05,17.1
2020-04-06,14.8
2020-04-07,15.0
2020-04-08,14.8
2020-04-09,15.8
2020-04-10,15.8
2020-04-11,13.2
2020-04-12,10.2
2020-04-13,12.8
2020-04-14,15.2
2020-04-15,14.0
2020-04-16,13.8
2020-04-17,7.9
2020-04-18,11.9
2020-04-19,5.3
2020-04-20,13.7
2020-04-21,11.9
2020-04-22,10.4
2020-04-23,9.8
2020-04-24,9.4
2020-04-25,9.0
2020-04-26,7.6
2020-04-27,7.2
2020-04-28,9.0
2020-04-29,4.7
2020-04-30,6.8
2020-05-01,10.0
2020-05-02,9.9
2020-05-03,6.1
2020-05-04,7.4
