date,/m/0cjf0
2020-02-01,58.0
2020-02-02,100.0
2020-02-03,16.0
2020-02-04,6.0
2020-02-05,31.0
2020-02-06,31.0
2020-02-07,26.0
2020-02-08,80.0
2020-02-09,47.0
2020-02-10,34.0
2020-02-11,24.0
2020-02-12,30.0
2020-02-13,37.0
2020-02-14,13.0
2020-02-15,29.0
2020-02-16,27.0
2020-02-17,35.0
2020-02-18,41.0
2020-02-19,12.0
2020-02-20,31.0
2020-02-21,25.0
2020-02-22,21.0
2020-02-23,26.0
2020-02-24,29.0
2020-02-25,52.0
2020-02-26,29.0
2020-02-27,24.0
2020-02-28,38.0
2020-02-29,20.0
2020-03-01,32.0
2020-03-02,47.0
2020-03-03,57.0
2020-03-04,60.0
2020-03-05,43.0
2020-03-06,18.0
2020-03-07,26.0
2020-03-08,46.0
2020-03-09,23.0
2020-03-10,67.0
2020-03-11,22.0
2020-03-12,27.0
2020-03-13,40.0
2020-03-14,58.0
2020-03-15,54.0
2020-03-16,26.0
2020-03-17,39.0
2020-03-18,41.0
2020-03-19,41.0
2020-03-20,28.0
2020-03-21,41.0
2020-03-22,12.0
2020-03-23,35.0
2020-03-24,6.0
2020-03-25,33.0
2020-03-26,33.0
2020-03-27,11.0
2020-03-28,27.0
2020-03-29,23.0
2020-03-30,26.0
2020-03-31,41.0
2020-04-01,38.0
2020-04-02,22.0
2020-04-03,33.0
2020-04-04,20.0
2020-04-05,0.0
2020-04-06,27.0
2020-04-07,28.0
2020-04-08,6.0
2020-04-09,18.0
2020-04-10,33.0
2020-04-11,7.0
2020-04-12,14.0
2020-04-13,58.0
2020-04-14,20.0
2020-04-15,16.0
2020-04-16,22.0
2020-04-17,6.0
2020-04-18,14.0
2020-04-19,24.0
2020-04-20,21.0
2020-04-21,16.0
2020-04-22,11.0
2020-04-23,34.0
2020-04-24,24.0
2020-04-25,7.0
2020-04-26,19.0
2020-04-27,6.0
2020-04-28,28.0
2020-04-29,26.0
2020-04-30,11.0
2020-05-01,7.0
2020-05-02,6.0
2020-05-03,24.0
2020-05-04,11.0
2020-05-05,20.0
2020-05-06,5.0
2020-05-07,30.0
2020-05-08,7.0
2020-05-09,22.0
2020-05-10,13.0
2020-05-11,10.0
2020-05-12,22.0
2020-05-13,32.0
2020-05-14,11.0
2020-05-15,6.0
2020-05-16,30.0
2020-05-17,28.0
2020-05-18,0.0
2020-05-19,12.0
2020-05-20,0.0
2020-05-21,12.0
2020-05-22,18.0
2020-05-23,50.0
2020-05-24,25.0
2020-05-25,26.0
2020-05-26,33.0
2020-05-27,11.0
2020-05-28,5.0
2020-05-29,0.0
2020-05-30,35.0
2020-05-31,30.0
2020-06-01,28.0
2020-06-02,0.0
2020-06-03,11.0
2020-06-04,5.0
2020-06-05,21.0
2020-06-06,7.0
2020-06-07,6.0
2020-06-08,34.0
2020-06-09,10.0
2020-06-10,16.0
2020-06-11,22.0
2020-06-12,0.0
2020-06-13,15.0
2020-06-14,37.0
2020-06-15,11.0
2020-06-16,22.0
2020-06-17,6.0
2020-06-18,16.0
2020-06-19,23.0
2020-06-20,13.0
2020-06-21,19.0
2020-06-22,11.0
2020-06-23,18.0
2020-06-24,29.0
2020-06-25,12.0
2020-06-26,6.0
2020-06-27,47.0
2020-06-28,27.0
2020-06-29,22.0
2020-06-30,18.0
2020-07-01,19.0
2020-07-02,6.0
2020-07-03,0.0
2020-07-04,33.0
2020-07-05,31.0
2020-07-06,20.0
2020-07-07,36.0
2020-07-08,18.0
2020-07-09,0.0
2020-07-10,7.0
2020-07-11,14.0
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,45.0
2020-07-15,44.0
2020-07-16,24.0
2020-07-17,20.0
2020-07-18,7.0
2020-07-19,29.0
2020-07-20,0.0
2020-07-21,25.0
2020-07-22,13.0
2020-07-23,33.0
2020-07-24,34.0
2020-07-25,64.0
2020-07-26,36.0
2020-07-27,26.0
2020-07-28,39.0
2020-07-29,20.0
2020-07-30,40.0
2020-07-31,21.0
2020-08-01,16.0
2020-08-02,21.0
2020-08-03,6.0
2020-08-04,6.0
2020-08-05,19.0
2020-08-06,33.0
2020-08-07,0.0
2020-08-08,25.0
2020-08-09,37.0
2020-08-10,48.0
2020-08-11,18.0
2020-08-12,26.0
2020-08-13,26.0
2020-08-14,13.0
2020-08-15,51.0
2020-08-16,7.0
2020-08-17,30.0
2020-08-18,18.0
2020-08-19,25.0
2020-08-20,20.0
2020-08-21,21.0
2020-08-22,22.0
2020-08-23,21.0
2020-08-24,18.0
2020-08-25,13.0
2020-08-26,6.0
2020-08-27,25.0
2020-08-28,26.0
2020-08-29,57.0
2020-08-30,19.0
2020-08-31,40.0
2020-09-01,11.0
2020-09-02,25.0
2020-09-03,6.0
2020-09-04,13.0
2020-09-05,22.0
2020-09-06,20.0
2020-09-07,29.0
2020-09-08,12.0
2020-09-09,44.0
