date,/m/0lbt3
2020-02-01,0.0
2020-02-02,9.0
2020-02-03,7.0
2020-02-04,11.0
2020-02-05,7.0
2020-02-06,10.0
2020-02-07,9.0
2020-02-08,15.0
2020-02-09,2.0
2020-02-10,12.0
2020-02-11,8.0
2020-02-12,6.0
2020-02-13,8.0
2020-02-14,5.0
2020-02-15,2.0
2020-02-16,4.0
2020-02-17,9.0
2020-02-18,8.0
2020-02-19,5.0
2020-02-20,8.0
2020-02-21,13.0
2020-02-22,9.0
2020-02-23,7.0
2020-02-24,3.0
2020-02-25,14.0
2020-02-26,8.0
2020-02-27,16.0
2020-02-28,12.0
2020-02-29,4.0
2020-03-01,5.0
2020-03-02,11.0
2020-03-03,14.0
2020-03-04,5.0
2020-03-05,16.0
2020-03-06,6.0
2020-03-07,10.0
2020-03-08,7.0
2020-03-09,12.0
2020-03-10,18.0
2020-03-11,12.0
2020-03-12,12.0
2020-03-13,11.0
2020-03-14,14.0
2020-03-15,39.0
2020-03-16,28.0
2020-03-17,37.0
2020-03-18,71.0
2020-03-19,100.0
2020-03-20,64.0
2020-03-21,33.0
2020-03-22,33.0
2020-03-23,26.0
2020-03-24,25.0
2020-03-25,28.0
2020-03-26,18.0
2020-03-27,30.0
2020-03-28,18.0
2020-03-29,11.0
2020-03-30,18.0
2020-03-31,10.0
2020-04-01,16.0
2020-04-02,9.0
2020-04-03,15.0
2020-04-04,12.0
2020-04-05,12.0
2020-04-06,17.0
2020-04-07,9.0
2020-04-08,9.0
2020-04-09,3.0
2020-04-10,5.0
2020-04-11,4.0
2020-04-12,4.0
2020-04-13,3.0
2020-04-14,3.0
2020-04-15,4.0
2020-04-16,4.0
2020-04-17,0.0
2020-04-18,2.0
2020-04-19,0.0
2020-04-20,3.0
2020-04-21,3.0
2020-04-22,4.0
2020-04-23,3.0
2020-04-24,2.0
2020-04-25,5.0
2020-04-26,8.0
2020-04-27,4.0
2020-04-28,4.0
2020-04-29,6.0
2020-04-30,3.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,3.0
2020-05-04,4.0
2020-05-05,1.0
2020-05-06,3.0
2020-05-07,0.0
2020-05-08,4.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,4.0
2020-05-13,6.0
2020-05-14,3.0
2020-05-15,2.0
2020-05-16,6.0
2020-05-17,2.0
2020-05-18,2.0
2020-05-19,3.0
2020-05-20,3.0
2020-05-21,2.0
2020-05-22,5.0
2020-05-23,2.0
2020-05-24,2.0
2020-05-25,3.0
2020-05-26,1.0
2020-05-27,3.0
2020-05-28,4.0
2020-05-29,3.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,1.0
2020-06-02,7.0
2020-06-03,6.0
2020-06-04,4.0
2020-06-05,10.0
2020-06-06,5.0
2020-06-07,0.0
2020-06-08,3.0
2020-06-09,4.0
2020-06-10,1.0
2020-06-11,3.0
2020-06-12,3.0
2020-06-13,0.0
2020-06-14,3.0
2020-06-15,0.0
2020-06-16,1.0
2020-06-17,7.0
2020-06-18,3.0
2020-06-19,2.0
2020-06-20,0.0
2020-06-21,7.0
2020-06-22,5.0
2020-06-23,2.0
2020-06-24,8.0
2020-06-25,8.0
2020-06-26,2.0
2020-06-27,8.0
2020-06-28,2.0
2020-06-29,3.0
2020-06-30,5.0
2020-07-01,3.0
2020-07-02,3.0
2020-07-03,0.0
2020-07-04,2.0
2020-07-05,4.0
2020-07-06,2.0
2020-07-07,6.0
2020-07-08,3.0
2020-07-09,2.0
2020-07-10,2.0
2020-07-11,6.0
2020-07-12,0.0
2020-07-13,2.0
2020-07-14,2.0
2020-07-15,8.0
2020-07-16,3.0
2020-07-17,0.0
2020-07-18,6.0
2020-07-19,8.0
2020-07-20,8.0
2020-07-21,3.0
2020-07-22,5.0
2020-07-23,5.0
2020-07-24,9.0
2020-07-25,4.0
2020-07-26,6.0
2020-07-27,2.0
2020-07-28,9.0
2020-07-29,0.0
2020-07-30,5.0
2020-07-31,4.0
2020-08-01,2.0
2020-08-02,4.0
2020-08-03,3.0
2020-08-04,5.0
2020-08-05,5.0
2020-08-06,9.0
2020-08-07,4.0
2020-08-08,9.0
2020-08-09,10.0
2020-08-10,8.0
2020-08-11,8.0
2020-08-12,2.0
2020-08-13,2.0
2020-08-14,8.0
2020-08-15,8.0
2020-08-16,6.0
2020-08-17,6.0
2020-08-18,6.0
2020-08-19,8.0
2020-08-20,0.0
2020-08-21,4.0
2020-08-22,2.0
2020-08-23,4.0
2020-08-24,6.0
2020-08-25,8.0
2020-08-26,7.0
2020-08-27,12.0
2020-08-28,3.0
2020-08-29,4.0
2020-08-30,7.0
2020-08-31,11.0
2020-09-01,4.0
2020-09-02,2.0
2020-09-03,2.0
2020-09-04,4.0
2020-09-05,10.0
2020-09-06,5.0
2020-09-07,8.0
2020-09-08,5.0
2020-09-09,3.0
2020-09-10,7.0
2020-09-11,12.0
2020-09-12,8.0
2020-09-13,11.0
2020-09-14,11.0
2020-09-15,11.0
2020-09-16,13.0
2020-09-17,8.0
2020-09-18,3.0
2020-09-19,10.0
2020-09-20,9.0
2020-09-21,12.0
2020-09-22,8.0
2020-09-23,6.0
2020-09-24,10.0
2020-09-25,8.0
2020-09-26,11.0
2020-09-27,11.0
2020-09-28,6.0
2020-09-29,3.0
2020-09-30,2.0
2020-10-01,3.0
2020-10-02,10.0
2020-10-03,6.0
2020-10-04,5.0
2020-10-05,9.0
2020-10-06,9.0
2020-10-07,11.0
2020-10-08,3.0
2020-10-09,5.0
2020-10-10,9.0
2020-10-11,16.0
2020-10-12,5.0
2020-10-13,6.0
2020-10-14,13.0
2020-10-15,5.0
2020-10-16,11.0
2020-10-17,4.0
2020-10-18,9.0
2020-10-19,12.0
2020-10-20,3.0
2020-10-21,6.0
2020-10-22,5.0
2020-10-23,3.0
2020-10-24,15.0
2020-10-25,5.0
2020-10-26,3.0
2020-10-27,8.0
2020-10-28,5.288971730105834
2020-10-29,6.6112146626322925
2020-10-30,3.3056073313161463
2020-10-31,11.07378455990909
2020-11-01,6.6112146626322925
2020-11-02,1.4875232990922658
2020-11-03,9.090420161119402
2020-11-04,7.272336128895521
2020-11-05,4.462569897276797
2020-11-06,4.793130630408411
2020-11-07,10.908504193343282
2020-11-08,8.429298694856172
2020-11-09,5.950093196369063
2020-11-10,8.925139794553594
2020-11-11,2.9750465981845315
2020-11-12,1.4875232990922658
2020-11-13,8.098737961724558
2020-11-14,5.619532463237448
2020-11-15,3.3056073313161463
2020-11-16,2.9750465981845315
2020-11-17,4.958410996974219
2020-11-18,4.627850263842604
2020-11-19,7.602896862027136
2020-11-20,3.1403269647503387
2020-11-21,3.6361680644477605
2020-11-22,5.1236913635400265
2020-11-23,0.0
2020-11-24,5.950093196369063
2020-11-25,1.4875232990922658
2020-11-26,6.11537356293487
2020-11-27,1.6528036656580731
2020-11-28,1.8180840322238803
2020-11-29,3.4708876978819534
2020-11-30,1.4875232990922658
2020-12-01,1.6528036656580731
2020-12-02,3.1403269647503387
2020-12-03,4.958410996974219
2020-12-04,3.4708876978819534
2020-12-05,3.9667287975793752
2020-12-06,5.454252096671641
2020-12-07,0.0
2020-12-08,4.958410996974219
2020-12-09,6.4459342960664845
2020-12-10,8.264018328290366
2020-12-11,3.4708876978819534
2020-12-12,9.75154162738263
2020-12-13,1.8180840322238803
2020-12-14,1.6528036656580731
2020-12-15,4.958410996974219
2020-12-16,0.0
2020-12-17,3.4708876978819534
2020-12-18,7.437616495461328
2020-12-19,3.9667287975793752
2020-12-20,3.9667287975793752
2020-12-21,7.437616495461328
2020-12-22,3.801448431013568
2020-12-23,6.280653929500677
2020-12-24,0.0
2020-12-25,5.950093196369063
2020-12-26,11.734906026172318
2020-12-27,5.619532463237448
2020-12-28,3.4708876978819534
2020-12-29,9.090420161119402
2020-12-30,3.6361680644477605
2020-12-31,16.52803665658073
2021-01-01,1.9833643987896876
2021-01-02,12.891868592132969
2021-01-03,12.23074712586974
2021-01-04,10.577943460211667
2021-01-05,6.11537356293487
2021-01-06,3.1403269647503387
2021-01-07,4.627850263842604
2021-01-08,4.793130630408411
2021-01-09,7.602896862027136
2021-01-10,1.8180840322238803
2021-01-11,8.925139794553594
2021-01-12,2.9750465981845315
