date,/m/01b_06
2020-02-01,20.0
2020-02-02,18.0
2020-02-03,15.0
2020-02-04,14.0
2020-02-05,13.0
2020-02-06,12.0
2020-02-07,11.0
2020-02-08,13.0
2020-02-09,16.0
2020-02-10,16.0
2020-02-11,16.0
2020-02-12,14.0
2020-02-13,13.0
2020-02-14,12.0
2020-02-15,13.0
2020-02-16,14.0
2020-02-17,13.0
2020-02-18,13.0
2020-02-19,12.0
2020-02-20,11.0
2020-02-21,12.0
2020-02-22,11.0
2020-02-23,21.0
2020-02-24,27.0
2020-02-25,48.0
2020-02-26,34.0
2020-02-27,27.0
2020-02-28,25.0
2020-02-29,21.0
2020-03-01,22.0
2020-03-02,25.0
2020-03-03,25.0
2020-03-04,27.0
2020-03-05,25.0
2020-03-06,22.0
2020-03-07,25.0
2020-03-08,29.0
2020-03-09,55.0
2020-03-10,69.0
2020-03-11,70.0
2020-03-12,100.0
2020-03-13,88.0
2020-03-14,71.0
2020-03-15,60.0
2020-03-16,55.0
2020-03-17,46.0
2020-03-18,45.0
2020-03-19,45.0
2020-03-20,42.0
2020-03-21,46.0
2020-03-22,39.0
2020-03-23,35.0
2020-03-24,33.0
2020-03-25,34.0
2020-03-26,29.0
2020-03-27,27.0
2020-03-28,27.0
2020-03-29,21.0
2020-03-30,21.0
2020-03-31,20.0
2020-04-01,18.0
2020-04-02,19.0
2020-04-03,16.0
2020-04-04,18.0
2020-04-05,16.0
2020-04-06,16.0
2020-04-07,15.0
2020-04-08,14.0
2020-04-09,15.0
2020-04-10,17.0
2020-04-11,15.0
2020-04-12,16.0
2020-04-13,17.0
2020-04-14,15.0
2020-04-15,14.0
2020-04-16,13.0
2020-04-17,15.0
2020-04-18,14.0
2020-04-19,14.0
2020-04-20,12.0
2020-04-21,12.0
2020-04-22,12.0
2020-04-23,11.0
2020-04-24,12.0
2020-04-25,15.0
2020-04-26,14.0
2020-04-27,14.0
2020-04-28,14.0
2020-04-29,13.0
2020-04-30,11.0
2020-05-01,12.0
2020-05-02,15.0
2020-05-03,13.0
2020-05-04,13.0
2020-05-05,11.0
2020-05-06,12.0
2020-05-07,13.0
2020-05-08,13.0
2020-05-09,14.0
2020-05-10,14.0
2020-05-11,13.0
2020-05-12,13.0
2020-05-13,14.0
2020-05-14,14.0
2020-05-15,12.0
2020-05-16,15.0
2020-05-17,15.0
2020-05-18,10.0
2020-05-19,14.0
2020-05-20,11.0
2020-05-21,13.0
2020-05-22,11.0
2020-05-23,13.0
2020-05-24,14.0
2020-05-25,13.0
2020-05-26,12.0
2020-05-27,13.0
2020-05-28,12.0
2020-05-29,12.0
2020-05-30,13.0
2020-05-31,13.0
2020-06-01,12.0
2020-06-02,11.0
2020-06-03,12.0
2020-06-04,11.0
2020-06-05,10.0
2020-06-06,14.0
2020-06-07,11.0
2020-06-08,10.0
2020-06-09,12.0
2020-06-10,13.0
2020-06-11,12.0
2020-06-12,10.0
2020-06-13,11.0
2020-06-14,12.0
2020-06-15,12.0
2020-06-16,13.0
2020-06-17,13.0
2020-06-18,17.0
2020-06-19,11.0
2020-06-20,12.0
2020-06-21,13.0
2020-06-22,13.0
2020-06-23,14.0
2020-06-24,14.0
2020-06-25,14.0
2020-06-26,12.0
2020-06-27,15.0
2020-06-28,13.0
2020-06-29,12.0
2020-06-30,12.0
2020-07-01,10.0
2020-07-02,10.0
2020-07-03,12.0
2020-07-04,13.0
2020-07-05,15.0
2020-07-06,15.0
2020-07-07,14.0
2020-07-08,12.0
2020-07-09,12.0
2020-07-10,14.0
