date,/m/0g9pc
2020-02-01,28.0
2020-02-02,17.0
2020-02-03,16.0
2020-02-04,14.0
2020-02-05,8.0
2020-02-06,12.0
2020-02-07,19.0
2020-02-08,13.0
2020-02-09,20.0
2020-02-10,23.0
2020-02-11,14.0
2020-02-12,11.0
2020-02-13,14.0
2020-02-14,17.0
2020-02-15,7.0
2020-02-16,22.0
2020-02-17,4.0
2020-02-18,10.0
2020-02-19,10.0
2020-02-20,8.0
2020-02-21,10.0
2020-02-22,18.0
2020-02-23,19.0
2020-02-24,26.0
2020-02-25,35.0
2020-02-26,53.0
2020-02-27,41.0
2020-02-28,62.0
2020-02-29,61.0
2020-03-01,49.0
2020-03-02,64.0
2020-03-03,58.0
2020-03-04,51.0
2020-03-05,64.0
2020-03-06,88.0
2020-03-07,74.0
2020-03-08,61.0
2020-03-09,86.0
2020-03-10,55.0
2020-03-11,36.0
2020-03-12,64.0
2020-03-13,74.0
2020-03-14,94.0
2020-03-15,90.0
2020-03-16,100.0
2020-03-17,89.0
2020-03-18,79.0
2020-03-19,57.0
2020-03-20,61.0
2020-03-21,81.0
2020-03-22,67.0
2020-03-23,45.0
2020-03-24,55.0
2020-03-25,69.0
2020-03-26,45.0
2020-03-27,52.0
2020-03-28,36.0
2020-03-29,55.0
2020-03-30,27.0
2020-03-31,44.0
2020-04-01,32.0
2020-04-02,27.0
2020-04-03,24.0
2020-04-04,43.0
2020-04-05,24.0
2020-04-06,22.0
2020-04-07,9.0
2020-04-08,24.0
2020-04-09,10.0
2020-04-10,21.0
2020-04-11,17.0
2020-04-12,17.0
2020-04-13,14.0
2020-04-14,26.0
2020-04-15,23.0
2020-04-16,27.0
2020-04-17,29.0
2020-04-18,23.0
2020-04-19,18.0
2020-04-20,9.0
2020-04-21,19.0
2020-04-22,14.0
2020-04-23,9.0
2020-04-24,27.0
2020-04-25,17.0
2020-04-26,10.0
2020-04-27,16.0
2020-04-28,21.0
2020-04-29,23.0
2020-04-30,15.0
2020-05-01,28.0
2020-05-02,15.0
2020-05-03,6.0
2020-05-04,12.0
2020-05-05,8.0
2020-05-06,11.0
2020-05-07,16.0
2020-05-08,16.0
2020-05-09,4.0
2020-05-10,8.0
2020-05-11,14.0
2020-05-12,13.0
2020-05-13,9.0
2020-05-14,18.0
2020-05-15,10.0
2020-05-16,14.0
2020-05-17,11.0
2020-05-18,12.0
2020-05-19,6.0
2020-05-20,8.0
2020-05-21,11.0
2020-05-22,8.0
2020-05-23,6.0
2020-05-24,11.0
2020-05-25,9.0
2020-05-26,17.0
2020-05-27,4.0
2020-05-28,9.0
2020-05-29,6.0
2020-05-30,7.0
2020-05-31,9.0
2020-06-01,12.0
2020-06-02,2.0
2020-06-03,4.0
2020-06-04,10.0
2020-06-05,2.0
2020-06-06,4.0
2020-06-07,11.0
2020-06-08,3.0
2020-06-09,5.0
2020-06-10,4.0
2020-06-11,2.0
2020-06-12,4.0
2020-06-13,9.0
2020-06-14,8.0
2020-06-15,11.0
2020-06-16,9.0
2020-06-17,11.0
2020-06-18,2.0
2020-06-19,4.0
2020-06-20,9.0
2020-06-21,2.0
2020-06-22,0.0
2020-06-23,2.0
2020-06-24,4.0
2020-06-25,2.0
2020-06-26,4.0
2020-06-27,0.0
2020-06-28,4.0
2020-06-29,2.0
2020-06-30,4.0
2020-07-01,6.0
2020-07-02,8.0
2020-07-03,6.0
2020-07-04,9.0
2020-07-05,2.0
2020-07-06,6.0
2020-07-07,4.0
2020-07-08,4.0
2020-07-09,2.0
2020-07-10,2.0
2020-07-11,2.0
2020-07-12,8.0
2020-07-13,8.0
2020-07-14,7.0
2020-07-15,0.0
2020-07-16,6.0
2020-07-17,4.0
2020-07-18,5.0
2020-07-19,2.0
2020-07-20,8.0
2020-07-21,0.0
2020-07-22,6.0
2020-07-23,2.0
2020-07-24,10.0
2020-07-25,2.0
2020-07-26,8.0
2020-07-27,4.0
2020-07-28,4.0
2020-07-29,0.0
2020-07-30,6.0
2020-07-31,6.0
2020-08-01,15.0
2020-08-02,6.0
2020-08-03,4.0
2020-08-04,5.0
2020-08-05,2.0
2020-08-06,4.0
2020-08-07,0.0
2020-08-08,9.0
2020-08-09,2.0
2020-08-10,2.0
2020-08-11,4.0
2020-08-12,5.0
2020-08-13,2.0
2020-08-14,2.0
2020-08-15,13.0
2020-08-16,4.0
2020-08-17,8.0
2020-08-18,7.0
2020-08-19,2.0
2020-08-20,0.0
2020-08-21,2.0
2020-08-22,8.0
2020-08-23,4.0
2020-08-24,3.0
2020-08-25,3.0
2020-08-26,3.0
2020-08-27,3.0
2020-08-28,7.0
