date,/m/05sfr2
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,1.0
2020-02-04,2.0
2020-02-05,2.0
2020-02-06,0.0
2020-02-07,2.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,3.0
2020-02-13,8.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,3.0
2020-02-17,0.0
2020-02-18,1.0
2020-02-19,2.0
2020-02-20,2.0
2020-02-21,0.0
2020-02-22,3.0
2020-02-23,5.0
2020-02-24,2.0
2020-02-25,1.0
2020-02-26,4.0
2020-02-27,1.0
2020-02-28,3.0
2020-02-29,2.0
2020-03-01,2.0
2020-03-02,0.0
2020-03-03,1.0
2020-03-04,0.0
2020-03-05,3.0
2020-03-06,0.0
2020-03-07,2.0
2020-03-08,0.0
2020-03-09,4.0
2020-03-10,0.0
2020-03-11,3.0
2020-03-12,3.0
2020-03-13,2.0
2020-03-14,0.0
2020-03-15,7.0
2020-03-16,4.0
2020-03-17,7.0
2020-03-18,13.0
2020-03-19,19.0
2020-03-20,43.0
2020-03-21,50.0
2020-03-22,100.0
2020-03-23,65.0
2020-03-24,39.0
2020-03-25,36.0
2020-03-26,27.0
2020-03-27,24.0
2020-03-28,28.0
2020-03-29,33.0
2020-03-30,26.0
2020-03-31,22.0
2020-04-01,20.0
2020-04-02,25.0
2020-04-03,20.0
2020-04-04,19.0
2020-04-05,21.0
2020-04-06,6.0
2020-04-07,12.0
2020-04-08,9.0
2020-04-09,11.0
2020-04-10,8.0
2020-04-11,8.0
2020-04-12,5.0
2020-04-13,7.0
2020-04-14,11.0
2020-04-15,8.0
2020-04-16,8.0
2020-04-17,7.0
2020-04-18,7.0
2020-04-19,4.0
2020-04-20,5.0
2020-04-21,5.0
2020-04-22,4.0
2020-04-23,7.0
2020-04-24,4.0
2020-04-25,3.0
2020-04-26,5.0
2020-04-27,4.0
2020-04-28,8.0
2020-04-29,4.0
2020-04-30,4.0
2020-05-01,4.0
2020-05-02,5.0
2020-05-03,6.0
2020-05-04,3.0
2020-05-05,2.0
2020-05-06,6.0
2020-05-07,4.0
2020-05-08,0.0
2020-05-09,3.0
2020-05-10,8.0
2020-05-11,10.0
2020-05-12,1.0
2020-05-13,8.0
2020-05-14,7.0
2020-05-15,9.0
2020-05-16,3.0
2020-05-17,7.0
2020-05-18,3.0
2020-05-19,5.0
2020-05-20,7.0
2020-05-21,0.0
2020-05-22,1.0
2020-05-23,6.0
2020-05-24,3.0
2020-05-25,4.0
2020-05-26,4.0
2020-05-27,6.0
2020-05-28,5.0
2020-05-29,3.0
2020-05-30,3.0
2020-05-31,7.0
2020-06-01,3.0
2020-06-02,6.0
2020-06-03,1.0
2020-06-04,1.0
2020-06-05,4.0
2020-06-06,3.0
2020-06-07,2.0
2020-06-08,5.0
2020-06-09,1.0
2020-06-10,4.0
2020-06-11,4.0
2020-06-12,3.0
2020-06-13,0.0
2020-06-14,2.0
2020-06-15,0.0
2020-06-16,1.0
2020-06-17,3.0
2020-06-18,1.0
2020-06-19,6.0
2020-06-20,0.0
2020-06-21,3.0
2020-06-22,0.0
2020-06-23,1.0
2020-06-24,2.0
2020-06-25,1.0
2020-06-26,1.0
2020-06-27,3.0
2020-06-28,1.0
2020-06-29,4.0
2020-06-30,1.0
2020-07-01,0.0
2020-07-02,3.0
2020-07-03,3.0
2020-07-04,3.0
2020-07-05,2.0
2020-07-06,4.0
2020-07-07,6.0
2020-07-08,3.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-11,5.0
2020-07-12,2.0
2020-07-13,5.0
2020-07-14,2.0
2020-07-15,1.0
2020-07-16,7.0
2020-07-17,2.0
2020-07-18,2.0
2020-07-19,11.0
2020-07-20,6.0
2020-07-21,2.0
2020-07-22,6.0
2020-07-23,3.0
2020-07-24,3.0
2020-07-25,2.0
2020-07-26,2.0
2020-07-27,3.0
2020-07-28,8.0
2020-07-29,5.0
2020-07-30,3.0
2020-07-31,2.0
2020-08-01,7.0
2020-08-02,0.0
2020-08-03,6.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,2.0
