date,/m/02gy9_
2020-03-01,34
2020-03-02,0
2020-03-03,8
2020-03-04,8
2020-03-05,8
2020-03-06,39
2020-03-07,26
2020-03-08,40
2020-03-09,15
2020-03-10,8
2020-03-11,23
2020-03-12,15
2020-03-13,32
2020-03-14,17
2020-03-15,30
2020-03-16,34
2020-03-17,42
2020-03-18,37
2020-03-19,100
2020-03-20,45
2020-03-21,8
2020-03-22,41
2020-03-23,53
2020-03-24,58
2020-03-25,7
2020-03-26,43
2020-03-27,28
2020-03-28,56
2020-03-29,54
2020-03-30,33
2020-03-31,27
2020-04-01,35
2020-04-02,49
2020-04-03,29
2020-04-04,25
2020-04-05,65
2020-04-06,45
2020-04-07,41
2020-04-08,36
2020-04-09,14
2020-04-10,14
2020-04-11,15
2020-04-12,23
2020-04-13,30
2020-04-14,27
2020-04-15,28
2020-04-16,28
2020-04-17,21
2020-04-18,38
2020-04-19,30
2020-04-20,34
2020-04-21,34
2020-04-22,0
2020-04-23,28
2020-04-24,8
2020-04-25,23
2020-04-26,0
2020-04-27,27
2020-04-28,13
2020-04-29,21
2020-04-30,13
2020-05-01,40
2020-05-02,7
2020-05-03,8
2020-05-04,7
2020-05-05,13
2020-05-06,14
2020-05-07,0
2020-05-08,0
2020-05-09,0
2020-05-10,35
2020-05-11,33
2020-05-12,42
2020-05-13,21
2020-05-14,14
2020-05-15,15
2020-05-16,35
2020-05-17,9
2020-05-18,7
2020-05-19,15
2020-05-20,15
2020-05-21,8
2020-05-22,8
2020-05-23,31
2020-05-24,0
2020-05-25,22
2020-05-26,14
2020-05-27,29
2020-05-28,7
2020-05-29,8
2020-05-30,17
2020-05-31,9
2020-06-01,29
2020-06-02,14
2020-06-03,7
2020-06-04,39
2020-06-05,13
2020-06-06,16
2020-06-07,0
2020-06-08,0
2020-06-09,20
2020-06-10,22
2020-06-11,27
2020-06-12,7
2020-06-13,16
2020-06-14,42
2020-06-15,14
2020-06-16,14
2020-06-17,14
2020-06-18,0
2020-06-19,8
2020-06-20,9
2020-06-21,9
2020-06-22,29
2020-06-23,8
2020-06-24,22
2020-06-25,14
2020-06-26,15
2020-06-27,8
2020-06-28,7
2020-06-29,21
2020-06-30,7
2020-07-01,7
2020-07-02,21
2020-07-03,23
2020-07-04,26
2020-07-05,34
2020-07-06,14
2020-07-07,7
2020-07-08,22
2020-07-09,15
2020-07-10,8
2020-07-11,9
2020-07-12,8
2020-07-13,15
2020-07-14,8
2020-07-15,0
2020-07-16,14
2020-07-17,14
2020-07-18,0
2020-07-19,32
2020-07-20,35
2020-07-21,7
2020-07-22,0
2020-07-23,23
2020-07-24,31
2020-07-25,0
2020-07-26,16
2020-07-27,0
2020-07-28,7
2020-07-29,14
2020-07-30,7
2020-07-31,29
2020-08-01,23
2020-08-02,0
2020-08-03,14
2020-08-04,7
2020-08-05,7
2020-08-06,0
2020-08-07,36
2020-08-08,8
2020-08-09,22
2020-08-10,20
2020-08-11,7
2020-08-12,6
2020-08-13,0
2020-08-14,7
2020-08-15,7
2020-08-16,8
2020-08-17,7
2020-08-18,33
2020-08-19,7
2020-08-20,21
2020-08-21,13
2020-08-22,23
2020-08-23,23
2020-08-24,14
2020-08-25,21
2020-08-26,21
2020-08-27,7
2020-08-28,7
2020-08-29,30
2020-08-30,32
2020-08-31,15
2020-09-01,30
2020-09-02,22
2020-09-03,8
2020-09-04,15
2020-09-05,24
2020-09-06,24
2020-09-07,21
2020-09-08,22
2020-09-09,36
2020-09-10,14
2020-09-11,0
2020-09-12,8
2020-09-13,32
2020-09-14,14
2020-09-15,15
2020-09-16,0
2020-09-17,29
2020-09-18,22
2020-09-19,8
2020-09-20,23
2020-09-21,49
2020-09-22,29
2020-09-23,22
2020-09-24,7
2020-09-25,8
2020-09-26,0
2020-09-27,0
2020-09-28,16
2020-09-29,24
2020-09-30,0
2020-10-01,0
2020-10-02,31
2020-10-03,23
2020-10-04,8
2020-10-05,22
2020-10-06,0
2020-10-07,15
2020-10-08,0
2020-10-09,26
2020-10-10,18
2020-10-11,26
2020-10-12,8
2020-10-13,33
2020-10-14,24
2020-10-15,17
2020-10-16,26
2020-10-17,9
2020-10-18,28
