date,/m/0g9pc,isPartial
2020-03-01,33,False
2020-03-02,36,False
2020-03-03,36,False
2020-03-04,30,False
2020-03-05,35,False
2020-03-06,31,False
2020-03-07,31,False
2020-03-08,41,False
2020-03-09,33,False
2020-03-10,37,False
2020-03-11,43,False
2020-03-12,84,False
2020-03-13,91,False
2020-03-14,98,False
2020-03-15,100,False
2020-03-16,83,False
2020-03-17,79,False
2020-03-18,85,False
2020-03-19,77,False
2020-03-20,62,False
2020-03-21,65,False
2020-03-22,61,False
2020-03-23,45,False
2020-03-24,40,False
2020-03-25,50,False
2020-03-26,41,False
2020-03-27,39,False
2020-03-28,38,False
2020-03-29,31,False
2020-03-30,25,False
2020-03-31,25,False
2020-04-01,32,False
2020-04-02,26,False
2020-04-03,22,False
2020-04-04,22,False
2020-04-05,27,False
2020-04-06,23,False
2020-04-07,14,False
2020-04-08,19,False
2020-04-09,19,False
2020-04-10,13,False
2020-04-11,13,False
2020-04-12,20,False
2020-04-13,20,False
2020-04-14,12,False
2020-04-15,16,False
2020-04-16,20,False
2020-04-17,21,False
2020-04-18,15,False
2020-04-19,12,False
2020-04-20,13,False
2020-04-21,10,False
2020-04-22,11,False
2020-04-23,10,False
2020-04-24,13,False
2020-04-25,11,False
2020-04-26,7,False
2020-04-27,12,False
2020-04-28,12,False
2020-04-29,11,False
2020-04-30,11,False
2020-05-01,12,False
2020-05-02,5,False
2020-05-03,12,False
2020-05-04,12,False
2020-05-05,11,False
2020-05-06,10,False
2020-05-07,9,False
2020-05-08,11,False
2020-05-09,10,False
2020-05-10,12,False
2020-05-11,6,False
2020-05-12,12,False
2020-05-13,9,False
2020-05-14,11,False
2020-05-15,9,False
2020-05-16,7,False
2020-05-17,8,False
2020-05-18,9,False
2020-05-19,6,False
2020-05-20,6,False
2020-05-21,7,False
2020-05-22,6,False
2020-05-23,7,False
2020-05-24,7,False
2020-05-25,4,False
2020-05-26,6,False
2020-05-27,2,False
2020-05-28,4,False
2020-05-29,4,False
2020-05-30,2,False
2020-05-31,5,False
2020-06-01,6,False
2020-06-02,2,False
2020-06-03,6,False
2020-06-04,6,False
2020-06-05,4,False
2020-06-06,4,False
2020-06-07,5,False
2020-06-08,3,False
2020-06-09,3,False
2020-06-10,4,False
2020-06-11,3,False
2020-06-12,2,False
2020-06-13,3,False
2020-06-14,2,False
2020-06-15,5,False
2020-06-16,6,False
2020-06-17,4,False
2020-06-18,2,False
2020-06-19,2,False
2020-06-20,3,False
2020-06-21,2,False
2020-06-22,4,False
2020-06-23,5,False
2020-06-24,3,False
2020-06-25,3,False
2020-06-26,4,False
2020-06-27,2,False
2020-06-28,4,False
2020-06-29,3,False
2020-06-30,5,False
2020-07-01,3,False
2020-07-02,7,False
2020-07-03,2,False
2020-07-04,5,False
2020-07-05,2,False
2020-07-06,3,False
2020-07-07,1,False
2020-07-08,1,False
2020-07-09,5,False
2020-07-10,2,False
2020-07-11,4,False
2020-07-12,4,False
2020-07-13,4,False
2020-07-14,4,False
2020-07-15,2,False
2020-07-16,4,False
2020-07-17,5,False
2020-07-18,4,False
2020-07-19,1,False
2020-07-20,5,False
2020-07-21,4,False
2020-07-22,4,False
2020-07-23,4,False
2020-07-24,7,False
2020-07-25,5,False
2020-07-26,6,False
2020-07-27,4,False
2020-07-28,2,False
2020-07-29,6,False
2020-07-30,4,False
2020-07-31,5,False
2020-08-01,3,False
2020-08-02,3,False
2020-08-03,4,False
2020-08-04,2,False
2020-08-05,2,False
2020-08-06,4,False
2020-08-07,4,False
2020-08-08,2,False
2020-08-09,4,False
2020-08-10,3,False
2020-08-11,2,False
2020-08-12,3,False
2020-08-13,4,False
2020-08-14,5,False
2020-08-15,3,False
2020-08-16,2,False
2020-08-17,4,False
2020-08-18,3,False
2020-08-19,2,False
2020-08-20,3,False
2020-08-21,2,False
2020-08-22,4,False
2020-08-23,3,False
2020-08-24,1,False
2020-08-25,4,False
2020-08-26,4,False
2020-08-27,4,False
2020-08-28,3,False
2020-08-29,4,False
2020-08-30,3,False
2020-08-31,6,False
2020-09-01,4,False
2020-09-02,5,False
2020-09-03,5,False
2020-09-04,4,False
2020-09-05,3,False
2020-09-06,4,False
2020-09-07,3,False
2020-09-08,4,False
2020-09-09,5,False
2020-09-10,6,False
2020-09-11,5,False
2020-09-12,4,False
2020-09-13,5,False
2020-09-14,3,False
2020-09-15,4,False
2020-09-16,4,False
2020-09-17,2,False
2020-09-18,3,False
2020-09-19,4,False
2020-09-20,4,False
2020-09-21,3,False
2020-09-22,3,False
2020-09-23,3,False
2020-09-24,6,False
2020-09-25,2,False
2020-09-26,5,False
2020-09-27,5,False
2020-09-28,4,False
2020-09-29,2,False
2020-09-30,4,False
2020-10-01,4,False
2020-10-02,5,False
2020-10-03,4,False
2020-10-04,2,False
2020-10-05,1,False
2020-10-06,3,False
2020-10-07,3,False
2020-10-08,5,False
2020-10-09,3,False
2020-10-10,3,False
2020-10-11,2,False
2020-10-12,5,False
2020-10-13,5,False
2020-10-14,3,False
