date,/m/0hn9s,isPartial
2020-03-01,37,False
2020-03-02,11,False
2020-03-03,12,False
2020-03-04,24,False
2020-03-05,57,False
2020-03-06,12,False
2020-03-07,25,False
2020-03-08,71,False
2020-03-09,0,False
2020-03-10,11,False
2020-03-11,57,False
2020-03-12,81,False
2020-03-13,36,False
2020-03-14,100,False
2020-03-15,88,False
2020-03-16,90,False
2020-03-17,49,False
2020-03-18,32,False
2020-03-19,65,False
2020-03-20,42,False
2020-03-21,80,False
2020-03-22,33,False
2020-03-23,46,False
2020-03-24,20,False
2020-03-25,10,False
2020-03-26,62,False
2020-03-27,38,False
2020-03-28,45,False
2020-03-29,63,False
2020-03-30,28,False
2020-03-31,38,False
2020-04-01,20,False
2020-04-02,30,False
2020-04-03,30,False
2020-04-04,46,False
2020-04-05,46,False
2020-04-06,28,False
2020-04-07,20,False
2020-04-08,20,False
2020-04-09,21,False
2020-04-10,10,False
2020-04-11,11,False
2020-04-12,11,False
2020-04-13,11,False
2020-04-14,0,False
2020-04-15,20,False
2020-04-16,0,False
2020-04-17,0,False
2020-04-18,22,False
2020-04-19,0,False
2020-04-20,10,False
2020-04-21,10,False
2020-04-22,11,False
2020-04-23,10,False
2020-04-24,11,False
2020-04-25,0,False
2020-04-26,0,False
2020-04-27,0,False
2020-04-28,19,False
2020-04-29,10,False
2020-04-30,19,False
2020-05-01,10,False
2020-05-02,31,False
2020-05-03,10,False
2020-05-04,10,False
2020-05-05,0,False
2020-05-06,0,False
2020-05-07,0,False
2020-05-08,11,False
2020-05-09,0,False
2020-05-10,10,False
2020-05-11,18,False
2020-05-12,0,False
2020-05-13,10,False
2020-05-14,31,False
2020-05-15,22,False
2020-05-16,0,False
2020-05-17,13,False
2020-05-18,21,False
2020-05-19,32,False
2020-05-20,0,False
2020-05-21,36,False
2020-05-22,11,False
2020-05-23,21,False
2020-05-24,0,False
2020-05-25,11,False
2020-05-26,0,False
2020-05-27,11,False
2020-05-28,10,False
2020-05-29,11,False
2020-05-30,12,False
2020-05-31,50,False
2020-06-01,0,False
2020-06-02,10,False
2020-06-03,28,False
2020-06-04,0,False
2020-06-05,0,False
2020-06-06,33,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,0,False
2020-06-10,0,False
2020-06-11,11,False
2020-06-12,10,False
2020-06-13,0,False
2020-06-14,0,False
2020-06-15,10,False
2020-06-16,10,False
2020-06-17,0,False
2020-06-18,0,False
2020-06-19,0,False
2020-06-20,13,False
2020-06-21,13,False
2020-06-22,11,False
2020-06-23,0,False
2020-06-24,0,False
2020-06-25,12,False
2020-06-26,0,False
2020-06-27,13,False
2020-06-28,0,False
2020-06-29,0,False
2020-06-30,22,False
2020-07-01,11,False
2020-07-02,0,False
2020-07-03,0,False
2020-07-04,13,False
2020-07-05,0,False
2020-07-06,0,False
2020-07-07,0,False
2020-07-08,12,False
2020-07-09,0,False
2020-07-10,0,False
2020-07-11,0,False
2020-07-12,0,False
2020-07-13,13,False
2020-07-14,0,False
2020-07-15,0,False
2020-07-16,0,False
2020-07-17,0,False
2020-07-18,14,False
2020-07-19,0,False
2020-07-20,0,False
2020-07-21,0,False
2020-07-22,0,False
2020-07-23,0,False
2020-07-24,0,False
2020-07-25,14,False
2020-07-26,0,False
2020-07-27,0,False
2020-07-28,0,False
2020-07-29,0,False
2020-07-30,0,False
2020-07-31,12,False
2020-08-01,0,False
2020-08-02,0,False
2020-08-03,12,False
2020-08-04,0,False
2020-08-05,0,False
2020-08-06,0,False
2020-08-07,0,False
2020-08-08,0,False
2020-08-09,0,False
2020-08-10,0,False
2020-08-11,0,False
2020-08-12,0,False
2020-08-13,0,False
2020-08-14,12,False
2020-08-15,0,False
2020-08-16,0,False
2020-08-17,0,False
2020-08-18,0,False
2020-08-19,0,False
2020-08-20,0,False
2020-08-21,0,False
2020-08-22,0,False
2020-08-23,13,False
2020-08-24,12,False
2020-08-25,0,False
2020-08-26,12,False
2020-08-27,0,False
2020-08-28,0,False
2020-08-29,0,False
2020-08-30,12,False
2020-08-31,0,False
2020-09-01,24,False
2020-09-02,0,False
2020-09-03,0,False
2020-09-04,0,False
2020-09-05,0,False
2020-09-06,13,False
2020-09-07,12,False
2020-09-08,0,False
2020-09-09,0,False
2020-09-10,0,False
2020-09-11,13,False
2020-09-12,0,False
2020-09-13,0,False
2020-09-14,0,False
2020-09-15,0,False
2020-09-16,0,False
2020-09-17,0,False
2020-09-18,0,False
2020-09-19,0,False
2020-09-20,0,False
2020-09-21,0,False
2020-09-22,12,False
2020-09-23,0,False
2020-09-24,0,False
2020-09-25,0,False
2020-09-26,13,False
2020-09-27,0,False
2020-09-28,0,False
2020-09-29,0,False
2020-09-30,0,False
2020-10-01,0,False
2020-10-02,0,False
2020-10-03,0,False
2020-10-04,0,False
2020-10-05,0,False
2020-10-06,12,False
2020-10-07,12,False
2020-10-08,0,False
2020-10-09,0,False
2020-10-10,0,False
2020-10-11,0,False
2020-10-12,0,False
2020-10-13,0,False
2020-10-14,0,False
