date,/m/01b_21
2020-03-01,26
2020-03-02,35
2020-03-03,48
2020-03-04,44
2020-03-05,22
2020-03-06,46
2020-03-07,20
2020-03-08,35
2020-03-09,22
2020-03-10,27
2020-03-11,31
2020-03-12,71
2020-03-13,43
2020-03-14,55
2020-03-15,80
2020-03-16,69
2020-03-17,73
2020-03-18,94
2020-03-19,76
2020-03-20,100
2020-03-21,95
2020-03-22,69
2020-03-23,55
2020-03-24,52
2020-03-25,69
2020-03-26,34
2020-03-27,82
2020-03-28,97
2020-03-29,36
2020-03-30,42
2020-03-31,38
2020-04-01,40
2020-04-02,29
2020-04-03,45
2020-04-04,26
2020-04-05,26
2020-04-06,17
2020-04-07,32
2020-04-08,28
2020-04-09,28
2020-04-10,31
2020-04-11,62
2020-04-12,17
2020-04-13,12
2020-04-14,18
2020-04-15,19
2020-04-16,18
2020-04-17,15
2020-04-18,31
2020-04-19,18
2020-04-20,11
2020-04-21,11
2020-04-22,20
2020-04-23,26
2020-04-24,23
2020-04-25,29
2020-04-26,13
2020-04-27,21
2020-04-28,15
2020-04-29,10
2020-04-30,20
2020-05-01,33
2020-05-02,17
2020-05-03,23
2020-05-04,14
2020-05-05,9
2020-05-06,11
2020-05-07,11
2020-05-08,23
2020-05-09,30
2020-05-10,17
2020-05-11,24
2020-05-12,22
2020-05-13,15
2020-05-14,17
2020-05-15,37
2020-05-16,43
2020-05-17,14
2020-05-18,12
2020-05-19,16
2020-05-20,12
2020-05-21,22
2020-05-22,25
2020-05-23,13
2020-05-24,14
2020-05-25,23
2020-05-26,24
2020-05-27,24
2020-05-28,19
2020-05-29,16
2020-05-30,14
2020-05-31,14
2020-06-01,24
2020-06-02,23
2020-06-03,10
2020-06-04,16
2020-06-05,11
2020-06-06,13
2020-06-07,13
2020-06-08,11
2020-06-09,22
2020-06-10,12
2020-06-11,23
2020-06-12,32
2020-06-13,41
2020-06-14,13
2020-06-15,11
2020-06-16,0
2020-06-17,12
2020-06-18,0
2020-06-19,13
2020-06-20,0
2020-06-21,0
2020-06-22,13
2020-06-23,22
2020-06-24,13
2020-06-25,13
2020-06-26,13
2020-06-27,14
2020-06-28,12
2020-06-29,0
2020-06-30,19
2020-07-01,12
2020-07-02,17
2020-07-03,13
2020-07-04,22
2020-07-05,14
2020-07-06,26
2020-07-07,0
2020-07-08,0
2020-07-09,0
2020-07-10,14
2020-07-11,24
2020-07-12,33
2020-07-13,15
2020-07-14,15
2020-07-15,27
2020-07-16,18
2020-07-17,15
2020-07-18,25
2020-07-19,21
2020-07-20,35
2020-07-21,28
2020-07-22,29
2020-07-23,22
2020-07-24,15
2020-07-25,26
2020-07-26,31
2020-07-27,0
2020-07-28,14
2020-07-29,36
2020-07-30,15
2020-07-31,19
2020-08-01,64
2020-08-02,46
2020-08-03,42
2020-08-04,15
2020-08-05,15
2020-08-06,30
2020-08-07,0
2020-08-08,0
2020-08-09,16
2020-08-10,14
2020-08-11,14
2020-08-12,14
2020-08-13,43
2020-08-14,20
2020-08-15,16
2020-08-16,31
2020-08-17,21
2020-08-18,14
2020-08-19,28
2020-08-20,0
2020-08-21,22
2020-08-22,16
2020-08-23,15
2020-08-24,21
2020-08-25,14
2020-08-26,23
2020-08-27,14
2020-08-28,20
2020-08-29,14
2020-08-30,22
2020-08-31,14
2020-09-01,19
2020-09-02,28
2020-09-03,22
2020-09-04,0
2020-09-05,14
2020-09-06,43
2020-09-07,69
2020-09-08,35
2020-09-09,18
2020-09-10,35
2020-09-11,42
2020-09-12,53
2020-09-13,43
2020-09-14,36
2020-09-15,21
2020-09-16,40
2020-09-17,18
2020-09-18,14
2020-09-19,33
2020-09-20,22
2020-09-21,33
2020-09-22,41
2020-09-23,33
2020-09-24,14
2020-09-25,14
2020-09-26,22
2020-09-27,34
2020-09-28,14
2020-09-29,14
2020-09-30,21
2020-10-01,14
2020-10-02,21
2020-10-03,19
2020-10-04,27
2020-10-05,13
2020-10-06,27
2020-10-07,27
2020-10-08,19
2020-10-09,0
2020-10-10,31
2020-10-11,43
2020-10-12,29
2020-10-13,33
2020-10-14,18
2020-10-15,29
2020-10-16,35
2020-10-17,26
2020-10-18,32
2020-10-19,28
2020-10-20,23
2020-10-21,36
2020-10-22,14
2020-10-23,34
