date,/m/07mf1,isPartial
2020-03-01,21,False
2020-03-02,39,False
2020-03-03,42,False
2020-03-04,62,False
2020-03-05,61,False
2020-03-06,21,False
2020-03-07,48,False
2020-03-08,41,False
2020-03-09,31,False
2020-03-10,21,False
2020-03-11,21,False
2020-03-12,0,False
2020-03-13,79,False
2020-03-14,44,False
2020-03-15,72,False
2020-03-16,45,False
2020-03-17,27,False
2020-03-18,75,False
2020-03-19,88,False
2020-03-20,28,False
2020-03-21,50,False
2020-03-22,41,False
2020-03-23,67,False
2020-03-24,72,False
2020-03-25,100,False
2020-03-26,27,False
2020-03-27,36,False
2020-03-28,41,False
2020-03-29,78,False
2020-03-30,44,False
2020-03-31,17,False
2020-04-01,18,False
2020-04-02,62,False
2020-04-03,0,False
2020-04-04,0,False
2020-04-05,21,False
2020-04-06,25,False
2020-04-07,26,False
2020-04-08,55,False
2020-04-09,27,False
2020-04-10,19,False
2020-04-11,0,False
2020-04-12,21,False
2020-04-13,39,False
2020-04-14,27,False
2020-04-15,38,False
2020-04-16,19,False
2020-04-17,19,False
2020-04-18,40,False
2020-04-19,20,False
2020-04-20,0,False
2020-04-21,19,False
2020-04-22,19,False
2020-04-23,38,False
2020-04-24,0,False
2020-04-25,21,False
2020-04-26,20,False
2020-04-27,18,False
2020-04-28,17,False
2020-04-29,17,False
2020-04-30,24,False
2020-05-01,18,False
2020-05-02,28,False
2020-05-03,19,False
2020-05-04,42,False
2020-05-05,23,False
2020-05-06,52,False
2020-05-07,18,False
2020-05-08,19,False
2020-05-09,57,False
2020-05-10,19,False
2020-05-11,34,False
2020-05-12,27,False
2020-05-13,19,False
2020-05-14,38,False
2020-05-15,20,False
2020-05-16,24,False
2020-05-17,23,False
2020-05-18,38,False
2020-05-19,48,False
2020-05-20,30,False
2020-05-21,22,False
2020-05-22,40,False
2020-05-23,0,False
2020-05-24,0,False
2020-05-25,0,False
2020-05-26,19,False
2020-05-27,20,False
2020-05-28,18,False
2020-05-29,0,False
2020-05-30,0,False
2020-05-31,0,False
2020-06-01,40,False
2020-06-02,18,False
2020-06-03,17,False
2020-06-04,25,False
2020-06-05,18,False
2020-06-06,21,False
2020-06-07,0,False
2020-06-08,0,False
2020-06-09,18,False
2020-06-10,19,False
2020-06-11,19,False
2020-06-12,19,False
2020-06-13,22,False
2020-06-14,22,False
2020-06-15,0,False
2020-06-16,19,False
2020-06-17,0,False
2020-06-18,19,False
2020-06-19,0,False
2020-06-20,24,False
2020-06-21,0,False
2020-06-22,0,False
2020-06-23,21,False
2020-06-24,65,False
2020-06-25,21,False
2020-06-26,21,False
2020-06-27,23,False
2020-06-28,20,False
2020-06-29,0,False
2020-06-30,0,False
2020-07-01,20,False
2020-07-02,20,False
2020-07-03,0,False
2020-07-04,0,False
2020-07-05,22,False
2020-07-06,41,False
2020-07-07,21,False
2020-07-08,0,False
2020-07-09,22,False
2020-07-10,22,False
2020-07-11,27,False
2020-07-12,26,False
2020-07-13,23,False
2020-07-14,0,False
2020-07-15,0,False
2020-07-16,22,False
2020-07-17,46,False
2020-07-18,53,False
2020-07-19,0,False
2020-07-20,0,False
2020-07-21,0,False
2020-07-22,35,False
2020-07-23,24,False
2020-07-24,24,False
2020-07-25,26,False
2020-07-26,0,False
2020-07-27,23,False
2020-07-28,0,False
2020-07-29,23,False
2020-07-30,24,False
2020-07-31,0,False
2020-08-01,0,False
2020-08-02,0,False
2020-08-03,0,False
2020-08-04,0,False
2020-08-05,23,False
2020-08-06,24,False
2020-08-07,49,False
2020-08-08,0,False
2020-08-09,0,False
2020-08-10,23,False
2020-08-11,23,False
2020-08-12,22,False
2020-08-13,24,False
2020-08-14,24,False
2020-08-15,76,False
2020-08-16,26,False
2020-08-17,0,False
2020-08-18,0,False
2020-08-19,0,False
2020-08-20,0,False
2020-08-21,0,False
2020-08-22,26,False
2020-08-23,23,False
2020-08-24,22,False
2020-08-25,0,False
2020-08-26,23,False
2020-08-27,23,False
2020-08-28,23,False
2020-08-29,0,False
2020-08-30,0,False
2020-08-31,22,False
2020-09-01,0,False
2020-09-02,46,False
2020-09-03,94,False
2020-09-04,23,False
2020-09-05,0,False
2020-09-06,23,False
2020-09-07,45,False
2020-09-08,22,False
2020-09-09,0,False
2020-09-10,22,False
2020-09-11,0,False
2020-09-12,24,False
2020-09-13,0,False
2020-09-14,64,False
2020-09-15,22,False
2020-09-16,22,False
2020-09-17,22,False
2020-09-18,22,False
2020-09-19,0,False
2020-09-20,0,False
2020-09-21,21,False
2020-09-22,43,False
2020-09-23,21,False
2020-09-24,0,False
2020-09-25,23,False
2020-09-26,46,False
2020-09-27,0,False
2020-09-28,21,False
2020-09-29,21,False
2020-09-30,41,False
2020-10-01,41,False
2020-10-02,22,False
2020-10-03,23,False
2020-10-04,53,False
2020-10-05,21,False
2020-10-06,22,False
2020-10-07,0,False
2020-10-08,44,False
2020-10-09,0,False
2020-10-10,49,False
2020-10-11,23,False
2020-10-12,0,False
2020-10-13,23,False
2020-10-14,0,False
