date,/m/0cjf0
2020-02-01,27.0
2020-02-02,27.0
2020-02-03,20.0
2020-02-04,20.0
2020-02-05,21.0
2020-02-06,24.0
2020-02-07,19.0
2020-02-08,25.0
2020-02-09,32.0
2020-02-10,17.0
2020-02-11,22.0
2020-02-12,21.0
2020-02-13,19.0
2020-02-14,24.0
2020-02-15,11.0
2020-02-16,21.0
2020-02-17,20.0
2020-02-18,17.0
2020-02-19,21.0
2020-02-20,15.0
2020-02-21,15.0
2020-02-22,18.0
2020-02-23,12.0
2020-02-24,25.0
2020-02-25,12.0
2020-02-26,22.0
2020-02-27,28.0
2020-02-28,21.0
2020-02-29,37.0
2020-03-01,39.0
2020-03-02,29.0
2020-03-03,23.0
2020-03-04,23.0
2020-03-05,28.0
2020-03-06,33.0
2020-03-07,30.0
2020-03-08,40.0
2020-03-09,33.0
2020-03-10,35.0
2020-03-11,37.0
2020-03-12,46.0
2020-03-13,69.0
2020-03-14,70.0
2020-03-15,100.0
2020-03-16,84.0
2020-03-17,72.0
2020-03-18,70.0
2020-03-19,75.0
2020-03-20,72.0
2020-03-21,77.0
2020-03-22,81.0
2020-03-23,63.0
2020-03-24,54.0
2020-03-25,50.0
2020-03-26,43.0
2020-03-27,54.0
2020-03-28,56.0
2020-03-29,49.0
2020-03-30,37.0
2020-03-31,43.0
2020-04-01,34.0
2020-04-02,27.0
2020-04-03,29.0
2020-04-04,24.0
2020-04-05,29.0
2020-04-06,21.0
2020-04-07,29.0
2020-04-08,25.0
2020-04-09,27.0
2020-04-10,18.0
2020-04-11,20.0
2020-04-12,16.0
2020-04-13,20.0
2020-04-14,16.0
2020-04-15,12.0
2020-04-16,18.0
2020-04-17,10.0
2020-04-18,15.0
2020-04-19,16.0
2020-04-20,20.0
2020-04-21,13.0
2020-04-22,14.0
2020-04-23,16.0
2020-04-24,16.0
2020-04-25,12.0
2020-04-26,14.0
2020-04-27,12.0
2020-04-28,4.0
2020-04-29,19.0
2020-04-30,11.0
2020-05-01,11.0
2020-05-02,15.0
2020-05-03,11.0
2020-05-04,20.0
2020-05-05,9.0
2020-05-06,10.0
2020-05-07,13.0
2020-05-08,9.0
2020-05-09,8.0
2020-05-10,13.0
2020-05-11,10.0
2020-05-12,13.0
2020-05-13,19.0
2020-05-14,19.0
2020-05-15,13.0
2020-05-16,16.0
2020-05-17,13.0
2020-05-18,11.0
2020-05-19,15.0
2020-05-20,15.0
2020-05-21,23.0
2020-05-22,19.0
2020-05-23,11.0
2020-05-24,15.0
2020-05-25,6.0
2020-05-26,12.0
2020-05-27,13.0
2020-05-28,11.0
2020-05-29,12.0
2020-05-30,15.0
2020-05-31,10.0
2020-06-01,12.0
2020-06-02,13.0
2020-06-03,6.0
2020-06-04,7.0
2020-06-05,12.0
2020-06-06,17.0
2020-06-07,9.0
2020-06-08,9.0
2020-06-09,10.0
2020-06-10,13.0
2020-06-11,11.0
2020-06-12,14.0
2020-06-13,12.0
2020-06-14,9.0
2020-06-15,10.0
2020-06-16,9.0
2020-06-17,9.0
2020-06-18,8.0
2020-06-19,12.0
2020-06-20,13.0
2020-06-21,12.0
2020-06-22,13.0
2020-06-23,11.0
2020-06-24,14.0
2020-06-25,19.0
2020-06-26,10.0
2020-06-27,12.0
2020-06-28,10.0
2020-06-29,15.0
2020-06-30,11.0
2020-07-01,14.0
2020-07-02,13.0
2020-07-03,14.0
2020-07-04,12.0
2020-07-05,13.0
2020-07-06,9.0
2020-07-07,15.0
2020-07-08,12.0
2020-07-09,14.0
2020-07-10,9.0
2020-07-11,6.0
2020-07-12,15.0
2020-07-13,10.0
2020-07-14,21.0
2020-07-15,16.0
2020-07-16,10.0
2020-07-17,22.0
2020-07-18,22.0
2020-07-19,9.0
2020-07-20,10.0
2020-07-21,4.0
2020-07-22,4.0
2020-07-23,11.0
2020-07-24,19.0
2020-07-25,15.0
2020-07-26,25.0
2020-07-27,9.0
2020-07-28,13.0
2020-07-29,12.0
2020-07-30,5.0
2020-07-31,4.0
2020-08-01,14.0
2020-08-02,19.0
2020-08-03,9.0
2020-08-04,12.0
2020-08-05,12.0
2020-08-06,9.0
2020-08-07,17.0
2020-08-08,10.0
2020-08-09,26.0
2020-08-10,14.0
2020-08-11,17.0
2020-08-12,13.0
2020-08-13,16.0
2020-08-14,13.0
2020-08-15,22.0
2020-08-16,16.0
2020-08-17,15.0
2020-08-18,9.0
2020-08-19,8.0
2020-08-20,22.0
2020-08-21,7.0
2020-08-22,8.0
2020-08-23,17.0
2020-08-24,15.0
2020-08-25,11.0
2020-08-26,12.0
2020-08-27,19.0
2020-08-28,11.0
2020-08-29,20.0
2020-08-30,13.0
2020-08-31,7.0
2020-09-01,12.0
2020-09-02,11.0
2020-09-03,13.0
2020-09-04,15.0
2020-09-05,15.0
2020-09-06,23.0
2020-09-07,22.0
2020-09-08,31.0
2020-09-09,26.0
2020-09-10,17.0
2020-09-11,16.0
2020-09-12,21.0
2020-09-13,20.0
2020-09-14,26.0
2020-09-15,27.0
2020-09-16,25.0
2020-09-17,20.0
2020-09-18,22.0
2020-09-19,15.0
2020-09-20,19.0
2020-09-21,13.0
2020-09-22,17.0
2020-09-23,24.0
2020-09-24,16.0
2020-09-25,11.0
2020-09-26,9.0
2020-09-27,8.0
2020-09-28,15.0
2020-09-29,22.0
2020-09-30,17.0
2020-10-01,15.0
2020-10-02,13.0
2020-10-03,13.0
2020-10-04,9.0
2020-10-05,16.0
2020-10-06,19.0
2020-10-07,23.0
2020-10-08,21.0
2020-10-09,15.0
2020-10-10,18.0
2020-10-11,17.0
2020-10-12,14.0
2020-10-13,9.0
2020-10-14,12.0
2020-10-15,21.0
2020-10-16,21.0
2020-10-17,22.0
2020-10-18,16.0
2020-10-19,12.0
2020-10-20,18.0
2020-10-21,26.0
2020-10-22,17.0
2020-10-23,23.0
2020-10-24,21.0
2020-10-25,30.0
2020-10-26,11.0
2020-10-27,16.0
2020-10-28,19.002554899359414
2020-10-29,17.470090794572364
2020-10-30,12.566205659253805
2020-10-31,8.888291807764887
2020-11-01,26.05188978137984
2020-11-02,13.792176943083444
2020-11-03,22.98696157180574
2020-11-04,11.646727196381574
2020-11-05,11.953220017338985
2020-11-06,20.535019004146463
2020-11-07,14.711655405955675
2020-11-08,27.584353886166888
2020-11-09,17.470090794572364
2020-11-10,17.776583615529773
2020-11-11,18.083076436487183
