date,/m/0b76bty,isPartial
2020-03-01,24,False
2020-03-02,39,False
2020-03-03,54,False
2020-03-04,27,False
2020-03-05,56,False
2020-03-06,35,False
2020-03-07,44,False
2020-03-08,29,False
2020-03-09,51,False
2020-03-10,57,False
2020-03-11,59,False
2020-03-12,61,False
2020-03-13,57,False
2020-03-14,97,False
2020-03-15,100,False
2020-03-16,99,False
2020-03-17,87,False
2020-03-18,82,False
2020-03-19,98,False
2020-03-20,72,False
2020-03-21,85,False
2020-03-22,64,False
2020-03-23,78,False
2020-03-24,80,False
2020-03-25,60,False
2020-03-26,65,False
2020-03-27,69,False
2020-03-28,70,False
2020-03-29,34,False
2020-03-30,61,False
2020-03-31,27,False
2020-04-01,57,False
2020-04-02,32,False
2020-04-03,30,False
2020-04-04,36,False
2020-04-05,30,False
2020-04-06,31,False
2020-04-07,22,False
2020-04-08,36,False
2020-04-09,24,False
2020-04-10,23,False
2020-04-11,48,False
2020-04-12,14,False
2020-04-13,38,False
2020-04-14,15,False
2020-04-15,28,False
2020-04-16,26,False
2020-04-17,33,False
2020-04-18,31,False
2020-04-19,22,False
2020-04-20,17,False
2020-04-21,17,False
2020-04-22,15,False
2020-04-23,19,False
2020-04-24,10,False
2020-04-25,11,False
2020-04-26,26,False
2020-04-27,14,False
2020-04-28,28,False
2020-04-29,9,False
2020-04-30,23,False
2020-05-01,21,False
2020-05-02,19,False
2020-05-03,16,False
2020-05-04,12,False
2020-05-05,19,False
2020-05-06,13,False
2020-05-07,20,False
2020-05-08,8,False
2020-05-09,10,False
2020-05-10,16,False
2020-05-11,18,False
2020-05-12,24,False
2020-05-13,24,False
2020-05-14,27,False
2020-05-15,17,False
2020-05-16,12,False
2020-05-17,15,False
2020-05-18,28,False
2020-05-19,10,False
2020-05-20,22,False
2020-05-21,20,False
2020-05-22,10,False
2020-05-23,11,False
2020-05-24,29,False
2020-05-25,14,False
2020-05-26,12,False
2020-05-27,19,False
2020-05-28,16,False
2020-05-29,10,False
2020-05-30,23,False
2020-05-31,23,False
2020-06-01,23,False
2020-06-02,19,False
2020-06-03,29,False
2020-06-04,15,False
2020-06-05,16,False
2020-06-06,6,False
2020-06-07,23,False
2020-06-08,9,False
2020-06-09,13,False
2020-06-10,19,False
2020-06-11,9,False
2020-06-12,12,False
2020-06-13,9,False
2020-06-14,11,False
2020-06-15,9,False
2020-06-16,13,False
2020-06-17,21,False
2020-06-18,19,False
2020-06-19,10,False
2020-06-20,18,False
2020-06-21,15,False
2020-06-22,5,False
2020-06-23,29,False
2020-06-24,17,False
2020-06-25,15,False
2020-06-26,10,False
2020-06-27,17,False
2020-06-28,8,False
2020-06-29,14,False
2020-06-30,7,False
2020-07-01,7,False
2020-07-02,24,False
2020-07-03,5,False
2020-07-04,6,False
2020-07-05,20,False
2020-07-06,20,False
2020-07-07,21,False
2020-07-08,30,False
2020-07-09,28,False
2020-07-10,35,False
2020-07-11,34,False
2020-07-12,46,False
2020-07-13,26,False
2020-07-14,27,False
2020-07-15,28,False
2020-07-16,26,False
2020-07-17,27,False
2020-07-18,43,False
2020-07-19,37,False
2020-07-20,18,False
2020-07-21,21,False
2020-07-22,24,False
2020-07-23,24,False
2020-07-24,31,False
2020-07-25,40,False
2020-07-26,17,False
2020-07-27,43,False
2020-07-28,19,False
2020-07-29,19,False
2020-07-30,29,False
2020-07-31,18,False
2020-08-01,7,False
2020-08-02,11,False
2020-08-03,20,False
2020-08-04,38,False
2020-08-05,42,False
2020-08-06,21,False
2020-08-07,16,False
2020-08-08,26,False
2020-08-09,15,False
2020-08-10,9,False
2020-08-11,28,False
2020-08-12,18,False
2020-08-13,16,False
2020-08-14,13,False
2020-08-15,29,False
2020-08-16,11,False
2020-08-17,21,False
2020-08-18,33,False
2020-08-19,30,False
2020-08-20,12,False
2020-08-21,16,False
2020-08-22,25,False
2020-08-23,17,False
2020-08-24,23,False
2020-08-25,14,False
2020-08-26,28,False
2020-08-27,19,False
2020-08-28,16,False
2020-08-29,21,False
2020-08-30,15,False
2020-08-31,18,False
2020-09-01,40,False
2020-09-02,20,False
2020-09-03,32,False
2020-09-04,23,False
2020-09-05,35,False
2020-09-06,26,False
2020-09-07,46,False
2020-09-08,55,False
2020-09-09,60,False
2020-09-10,46,False
2020-09-11,66,False
2020-09-12,53,False
2020-09-13,43,False
2020-09-14,62,False
2020-09-15,45,False
2020-09-16,40,False
2020-09-17,38,False
2020-09-18,37,False
2020-09-19,26,False
2020-09-20,42,False
2020-09-21,47,False
2020-09-22,23,False
2020-09-23,23,False
2020-09-24,50,False
2020-09-25,28,False
2020-09-26,21,False
2020-09-27,38,False
2020-09-28,30,False
2020-09-29,35,False
2020-09-30,19,False
2020-10-01,36,False
2020-10-02,25,False
2020-10-03,18,False
2020-10-04,42,False
2020-10-05,27,False
2020-10-06,30,False
2020-10-07,30,False
2020-10-08,23,False
2020-10-09,35,False
2020-10-10,41,False
2020-10-11,18,False
2020-10-12,42,False
2020-10-13,31,False
2020-10-14,21,False
2020-10-15,40,False
2020-10-16,37,False
2020-10-17,16,False
