date,/m/0lbt3
2020-03-01,11
2020-03-02,14
2020-03-03,14
2020-03-04,10
2020-03-05,16
2020-03-06,10
2020-03-07,14
2020-03-08,10
2020-03-09,12
2020-03-10,12
2020-03-11,10
2020-03-12,13
2020-03-13,17
2020-03-14,100
2020-03-15,53
2020-03-16,47
2020-03-17,57
2020-03-18,42
2020-03-19,31
2020-03-20,29
2020-03-21,30
2020-03-22,27
2020-03-23,23
2020-03-24,21
2020-03-25,21
2020-03-26,22
2020-03-27,15
2020-03-28,21
2020-03-29,23
2020-03-30,15
2020-03-31,17
2020-04-01,9
2020-04-02,16
2020-04-03,15
2020-04-04,11
2020-04-05,16
2020-04-06,11
2020-04-07,12
2020-04-08,12
2020-04-09,9
2020-04-10,14
2020-04-11,16
2020-04-12,10
2020-04-13,12
2020-04-14,11
2020-04-15,13
2020-04-16,11
2020-04-17,9
2020-04-18,13
2020-04-19,10
2020-04-20,8
2020-04-21,6
2020-04-22,10
2020-04-23,11
2020-04-24,13
2020-04-25,12
2020-04-26,10
2020-04-27,6
2020-04-28,10
2020-04-29,7
2020-04-30,7
2020-05-01,10
2020-05-02,9
2020-05-03,9
2020-05-04,8
2020-05-05,10
2020-05-06,9
2020-05-07,9
2020-05-08,10
2020-05-09,8
2020-05-10,9
2020-05-11,3
2020-05-12,6
2020-05-13,8
2020-05-14,10
2020-05-15,10
2020-05-16,10
2020-05-17,9
2020-05-18,7
2020-05-19,9
2020-05-20,10
2020-05-21,8
2020-05-22,11
2020-05-23,6
2020-05-24,12
2020-05-25,8
2020-05-26,12
2020-05-27,8
2020-05-28,7
2020-05-29,8
2020-05-30,8
2020-05-31,10
2020-06-01,9
2020-06-02,8
2020-06-03,11
2020-06-04,10
2020-06-05,7
2020-06-06,10
2020-06-07,9
2020-06-08,7
2020-06-09,10
2020-06-10,8
2020-06-11,6
2020-06-12,11
2020-06-13,7
2020-06-14,8
2020-06-15,10
2020-06-16,8
2020-06-17,6
2020-06-18,10
2020-06-19,12
2020-06-20,11
2020-06-21,11
2020-06-22,6
2020-06-23,8
2020-06-24,8
2020-06-25,7
2020-06-26,10
2020-06-27,7
2020-06-28,9
2020-06-29,8
2020-06-30,9
2020-07-01,9
2020-07-02,10
2020-07-03,8
2020-07-04,10
2020-07-05,6
2020-07-06,6
2020-07-07,7
2020-07-08,9
2020-07-09,10
2020-07-10,8
2020-07-11,9
2020-07-12,9
2020-07-13,11
2020-07-14,13
2020-07-15,9
2020-07-16,6
2020-07-17,7
2020-07-18,7
2020-07-19,8
2020-07-20,9
2020-07-21,9
2020-07-22,11
2020-07-23,12
2020-07-24,10
2020-07-25,13
2020-07-26,9
2020-07-27,9
2020-07-28,11
2020-07-29,10
2020-07-30,5
2020-07-31,8
2020-08-01,10
2020-08-02,11
2020-08-03,10
2020-08-04,10
2020-08-05,6
2020-08-06,8
2020-08-07,11
2020-08-08,13
2020-08-09,13
2020-08-10,9
2020-08-11,6
2020-08-12,8
2020-08-13,11
2020-08-14,8
2020-08-15,12
2020-08-16,12
2020-08-17,9
2020-08-18,13
2020-08-19,10
2020-08-20,15
2020-08-21,10
2020-08-22,11
2020-08-23,8
2020-08-24,11
2020-08-25,9
2020-08-26,10
2020-08-27,11
2020-08-28,11
2020-08-29,11
2020-08-30,8
2020-08-31,6
2020-09-01,7
2020-09-02,11
2020-09-03,10
2020-09-04,13
2020-09-05,8
2020-09-06,12
2020-09-07,11
2020-09-08,11
2020-09-09,12
2020-09-10,7
2020-09-11,13
2020-09-12,13
2020-09-13,11
2020-09-14,15
2020-09-15,8
2020-09-16,11
2020-09-17,15
2020-09-18,12
2020-09-19,9
2020-09-20,12
2020-09-21,12
2020-09-22,9
2020-09-23,9
2020-09-24,18
2020-09-25,8
2020-09-26,10
2020-09-27,13
2020-09-28,11
2020-09-29,10
2020-09-30,10
2020-10-01,9
2020-10-02,12
2020-10-03,13
2020-10-04,13
2020-10-05,13
2020-10-06,12
2020-10-07,13
2020-10-08,10
2020-10-09,13
2020-10-10,13
2020-10-11,11
2020-10-12,11
2020-10-13,11
2020-10-14,13
2020-10-15,9
2020-10-16,9
2020-10-17,9
2020-10-18,11
2020-10-19,11
2020-10-20,11
2020-10-21,13
2020-10-22,7
2020-10-23,12
