date,/m/02gy9_
2020-03-01,20
2020-03-02,27
2020-03-03,19
2020-03-04,22
2020-03-05,20
2020-03-06,22
2020-03-07,23
2020-03-08,26
2020-03-09,18
2020-03-10,16
2020-03-11,27
2020-03-12,34
2020-03-13,26
2020-03-14,37
2020-03-15,62
2020-03-16,49
2020-03-17,45
2020-03-18,48
2020-03-19,64
2020-03-20,60
2020-03-21,58
2020-03-22,68
2020-03-23,62
2020-03-24,43
2020-03-25,55
2020-03-26,49
2020-03-27,100
2020-03-28,79
2020-03-29,67
2020-03-30,55
2020-03-31,58
2020-04-01,49
2020-04-02,52
2020-04-03,47
2020-04-04,35
2020-04-05,41
2020-04-06,51
2020-04-07,36
2020-04-08,40
2020-04-09,38
2020-04-10,30
2020-04-11,38
2020-04-12,32
2020-04-13,37
2020-04-14,27
2020-04-15,40
2020-04-16,27
2020-04-17,25
2020-04-18,37
2020-04-19,23
2020-04-20,32
2020-04-21,22
2020-04-22,23
2020-04-23,25
2020-04-24,26
2020-04-25,27
2020-04-26,23
2020-04-27,26
2020-04-28,25
2020-04-29,17
2020-04-30,32
2020-05-01,20
2020-05-02,23
2020-05-03,27
2020-05-04,21
2020-05-05,25
2020-05-06,23
2020-05-07,26
2020-05-08,23
2020-05-09,19
2020-05-10,27
2020-05-11,26
2020-05-12,22
2020-05-13,21
2020-05-14,27
2020-05-15,16
2020-05-16,14
2020-05-17,27
2020-05-18,15
2020-05-19,19
2020-05-20,17
2020-05-21,11
2020-05-22,24
2020-05-23,15
2020-05-24,17
2020-05-25,16
2020-05-26,16
2020-05-27,20
2020-05-28,13
2020-05-29,17
2020-05-30,15
2020-05-31,10
2020-06-01,25
2020-06-02,21
2020-06-03,24
2020-06-04,23
2020-06-05,23
2020-06-06,17
2020-06-07,21
2020-06-08,15
2020-06-09,16
2020-06-10,13
2020-06-11,17
2020-06-12,19
2020-06-13,22
2020-06-14,20
2020-06-15,21
2020-06-16,20
2020-06-17,14
2020-06-18,14
2020-06-19,18
2020-06-20,13
2020-06-21,10
2020-06-22,11
2020-06-23,20
2020-06-24,20
2020-06-25,12
2020-06-26,17
2020-06-27,15
2020-06-28,15
2020-06-29,16
2020-06-30,16
2020-07-01,16
2020-07-02,8
2020-07-03,10
2020-07-04,19
2020-07-05,17
2020-07-06,9
2020-07-07,12
2020-07-08,9
2020-07-09,13
2020-07-10,13
2020-07-11,15
2020-07-12,22
2020-07-13,21
2020-07-14,13
2020-07-15,16
2020-07-16,21
2020-07-17,16
2020-07-18,15
2020-07-19,16
2020-07-20,21
2020-07-21,15
2020-07-22,16
2020-07-23,19
2020-07-24,19
2020-07-25,15
2020-07-26,20
2020-07-27,10
2020-07-28,12
2020-07-29,7
2020-07-30,16
2020-07-31,17
2020-08-01,9
2020-08-02,16
2020-08-03,12
2020-08-04,13
2020-08-05,27
2020-08-06,19
2020-08-07,11
2020-08-08,17
2020-08-09,16
2020-08-10,19
2020-08-11,16
2020-08-12,14
2020-08-13,10
2020-08-14,16
2020-08-15,22
2020-08-16,14
2020-08-17,20
2020-08-18,15
2020-08-19,12
2020-08-20,22
2020-08-21,15
2020-08-22,14
2020-08-23,13
2020-08-24,13
2020-08-25,17
2020-08-26,12
2020-08-27,10
2020-08-28,15
2020-08-29,19
2020-08-30,11
2020-08-31,19
2020-09-01,19
2020-09-02,14
2020-09-03,11
2020-09-04,13
2020-09-05,11
2020-09-06,11
2020-09-07,12
2020-09-08,19
2020-09-09,17
2020-09-10,17
2020-09-11,13
2020-09-12,22
2020-09-13,26
2020-09-14,21
2020-09-15,22
2020-09-16,16
2020-09-17,19
2020-09-18,20
2020-09-19,19
2020-09-20,19
2020-09-21,22
2020-09-22,15
2020-09-23,22
2020-09-24,18
2020-09-25,13
2020-09-26,20
2020-09-27,17
2020-09-28,12
2020-09-29,19
2020-09-30,30
2020-10-01,21
2020-10-02,18
2020-10-03,19
2020-10-04,14
2020-10-05,17
2020-10-06,16
2020-10-07,17
2020-10-08,18
2020-10-09,8
2020-10-10,9
2020-10-11,18
2020-10-12,14
2020-10-13,14
2020-10-14,16
2020-10-15,12
2020-10-16,18
2020-10-17,29
2020-10-18,16
2020-10-19,20
2020-10-20,15
2020-10-21,17
2020-10-22,22
2020-10-23,19
