date,/m/01b_06
2020-03-01,42
2020-03-02,40
2020-03-03,42
2020-03-04,24
2020-03-05,31
2020-03-06,34
2020-03-07,31
2020-03-08,37
2020-03-09,43
2020-03-10,39
2020-03-11,54
2020-03-12,76
2020-03-13,74
2020-03-14,97
2020-03-15,100
2020-03-16,86
2020-03-17,66
2020-03-18,65
2020-03-19,65
2020-03-20,43
2020-03-21,58
2020-03-22,54
2020-03-23,42
2020-03-24,46
2020-03-25,43
2020-03-26,32
2020-03-27,41
2020-03-28,38
2020-03-29,38
2020-03-30,36
2020-03-31,25
2020-04-01,22
2020-04-02,23
2020-04-03,22
2020-04-04,24
2020-04-05,21
2020-04-06,23
2020-04-07,23
2020-04-08,25
2020-04-09,23
2020-04-10,15
2020-04-11,14
2020-04-12,21
2020-04-13,15
2020-04-14,22
2020-04-15,11
2020-04-16,18
2020-04-17,11
2020-04-18,17
2020-04-19,15
2020-04-20,16
2020-04-21,13
2020-04-22,15
2020-04-23,14
2020-04-24,12
2020-04-25,16
2020-04-26,7
2020-04-27,16
2020-04-28,12
2020-04-29,22
2020-04-30,12
2020-05-01,15
2020-05-02,15
2020-05-03,19
2020-05-04,18
2020-05-05,13
2020-05-06,19
2020-05-07,14
2020-05-08,14
2020-05-09,14
2020-05-10,16
2020-05-11,13
2020-05-12,11
2020-05-13,17
2020-05-14,15
2020-05-15,15
2020-05-16,24
2020-05-17,19
2020-05-18,20
2020-05-19,15
2020-05-20,19
2020-05-21,16
2020-05-22,14
2020-05-23,16
2020-05-24,9
2020-05-25,12
2020-05-26,15
2020-05-27,9
2020-05-28,12
2020-05-29,15
2020-05-30,19
2020-05-31,20
2020-06-01,12
2020-06-02,7
2020-06-03,15
2020-06-04,10
2020-06-05,8
2020-06-06,15
2020-06-07,7
2020-06-08,12
2020-06-09,16
2020-06-10,12
2020-06-11,9
2020-06-12,10
2020-06-13,10
2020-06-14,13
2020-06-15,18
2020-06-16,11
2020-06-17,14
2020-06-18,21
2020-06-19,11
2020-06-20,11
2020-06-21,11
2020-06-22,13
2020-06-23,10
2020-06-24,12
2020-06-25,11
2020-06-26,12
2020-06-27,12
2020-06-28,14
2020-06-29,14
2020-06-30,11
2020-07-01,8
2020-07-02,15
2020-07-03,9
2020-07-04,17
2020-07-05,15
2020-07-06,10
2020-07-07,18
2020-07-08,19
2020-07-09,14
2020-07-10,19
2020-07-11,20
2020-07-12,14
2020-07-13,14
2020-07-14,15
2020-07-15,11
2020-07-16,21
2020-07-17,15
2020-07-18,14
2020-07-19,17
2020-07-20,19
2020-07-21,11
2020-07-22,11
2020-07-23,15
2020-07-24,13
2020-07-25,18
2020-07-26,18
2020-07-27,20
2020-07-28,20
2020-07-29,12
2020-07-30,19
2020-07-31,12
2020-08-01,16
2020-08-02,16
2020-08-03,14
2020-08-04,21
2020-08-05,18
2020-08-06,14
2020-08-07,18
2020-08-08,15
2020-08-09,15
2020-08-10,14
2020-08-11,13
2020-08-12,12
2020-08-13,13
2020-08-14,11
2020-08-15,16
2020-08-16,14
2020-08-17,11
2020-08-18,18
2020-08-19,25
2020-08-20,23
2020-08-21,20
2020-08-22,20
2020-08-23,30
2020-08-24,20
2020-08-25,18
2020-08-26,15
2020-08-27,19
2020-08-28,15
2020-08-29,24
2020-08-30,19
2020-08-31,19
2020-09-01,17
2020-09-02,16
2020-09-03,18
2020-09-04,25
2020-09-05,26
2020-09-06,16
2020-09-07,28
2020-09-08,32
2020-09-09,21
2020-09-10,29
2020-09-11,17
2020-09-12,25
2020-09-13,28
2020-09-14,23
2020-09-15,27
2020-09-16,18
2020-09-17,22
2020-09-18,18
2020-09-19,15
2020-09-20,20
2020-09-21,19
2020-09-22,22
2020-09-23,22
2020-09-24,24
2020-09-25,14
2020-09-26,18
2020-09-27,15
2020-09-28,13
2020-09-29,18
2020-09-30,21
2020-10-01,14
2020-10-02,11
2020-10-03,21
2020-10-04,21
2020-10-05,22
2020-10-06,18
2020-10-07,19
2020-10-08,21
2020-10-09,12
2020-10-10,19
2020-10-11,27
2020-10-12,17
2020-10-13,21
2020-10-14,21
2020-10-15,22
2020-10-16,23
2020-10-17,17
2020-10-18,25
