date,/m/0g9pc
2020-02-01,10
2020-02-02,14
2020-02-03,8
2020-02-04,15
2020-02-05,10
2020-02-06,7
2020-02-07,10
2020-02-08,10
2020-02-09,6
2020-02-10,8
2020-02-11,12
2020-02-12,9
2020-02-13,10
2020-02-14,8
2020-02-15,5
2020-02-16,5
2020-02-17,4
2020-02-18,6
2020-02-19,6
2020-02-20,8
2020-02-21,8
2020-02-22,7
2020-02-23,20
2020-02-24,27
2020-02-25,36
2020-02-26,26
2020-02-27,26
2020-02-28,29
2020-02-29,27
2020-03-01,40
2020-03-02,41
2020-03-03,45
2020-03-04,31
2020-03-05,43
2020-03-06,42
2020-03-07,33
2020-03-08,31
2020-03-09,38
2020-03-10,47
2020-03-11,54
2020-03-12,100
2020-03-13,100
2020-03-14,90
2020-03-15,94
2020-03-16,84
2020-03-17,75
2020-03-18,61
2020-03-19,75
2020-03-20,51
2020-03-21,59
2020-03-22,72
2020-03-23,55
2020-03-24,49
2020-03-25,53
2020-03-26,55
2020-03-27,46
2020-03-28,35
2020-03-29,33
2020-03-30,29
2020-03-31,36
2020-04-01,30
2020-04-02,30
2020-04-03,30
2020-04-04,24
2020-04-05,18
2020-04-06,21
2020-04-07,21
2020-04-08,17
2020-04-09,16
2020-04-10,23
2020-04-11,20
2020-04-12,20
2020-04-13,30
2020-04-14,20
2020-04-15,19
2020-04-16,13
2020-04-17,21
2020-04-18,17
2020-04-19,17
2020-04-20,16
2020-04-21,12
2020-04-22,11
2020-04-23,17
2020-04-24,19
2020-04-25,18
2020-04-26,20
2020-04-27,17
2020-04-28,16
2020-04-29,19
2020-04-30,20
2020-05-01,8
2020-05-02,11
2020-05-03,15
2020-05-04,13
2020-05-05,9
2020-05-06,10
2020-05-07,14
2020-05-08,11
2020-05-09,8
2020-05-10,11
2020-05-11,11
2020-05-12,10
2020-05-13,10
2020-05-14,11
2020-05-15,8
2020-05-16,9
2020-05-17,11
2020-05-18,9
2020-05-19,10
2020-05-20,4
2020-05-21,9
2020-05-22,6
2020-05-23,4
2020-05-24,7
2020-05-25,9
2020-05-26,8
2020-05-27,1
2020-05-28,8
2020-05-29,5
2020-05-30,5
2020-05-31,7
