date,/m/02gy9_
2020-03-01,0
2020-03-02,0
2020-03-03,21
2020-03-04,0
2020-03-05,21
2020-03-06,22
2020-03-07,24
2020-03-08,0
2020-03-09,20
2020-03-10,21
2020-03-11,0
2020-03-12,21
2020-03-13,23
2020-03-14,0
2020-03-15,22
2020-03-16,27
2020-03-17,0
2020-03-18,19
2020-03-19,0
2020-03-20,20
2020-03-21,22
2020-03-22,21
2020-03-23,26
2020-03-24,18
2020-03-25,19
2020-03-26,39
2020-03-27,36
2020-03-28,21
2020-03-29,100
2020-03-30,18
2020-03-31,18
2020-04-01,18
2020-04-02,55
2020-04-03,19
2020-04-04,64
2020-04-05,21
2020-04-06,17
2020-04-07,27
2020-04-08,39
2020-04-09,0
2020-04-10,19
2020-04-11,0
2020-04-12,40
2020-04-13,21
2020-04-14,18
2020-04-15,0
2020-04-16,0
2020-04-17,19
2020-04-18,21
2020-04-19,19
2020-04-20,0
2020-04-21,18
2020-04-22,0
2020-04-23,0
2020-04-24,19
2020-04-25,0
2020-04-26,21
2020-04-27,18
2020-04-28,18
2020-04-29,27
2020-04-30,17
2020-05-01,0
2020-05-02,0
2020-05-03,0
2020-05-04,19
2020-05-05,33
2020-05-06,18
2020-05-07,57
2020-05-08,0
2020-05-09,20
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,27
2020-05-14,19
2020-05-15,30
2020-05-16,49
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,0
2020-05-21,0
2020-05-22,0
2020-05-23,0
2020-05-24,35
2020-05-25,19
2020-05-26,20
2020-05-27,20
2020-05-28,20
2020-05-29,0
2020-05-30,23
2020-05-31,23
2020-06-01,0
2020-06-02,0
2020-06-03,36
2020-06-04,0
2020-06-05,0
2020-06-06,21
2020-06-07,0
2020-06-08,0
2020-06-09,0
2020-06-10,29
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,22
2020-06-15,19
2020-06-16,19
2020-06-17,0
2020-06-18,20
2020-06-19,22
2020-06-20,0
2020-06-21,0
2020-06-22,21
2020-06-23,0
2020-06-24,22
2020-06-25,22
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,20
2020-06-30,0
2020-07-01,20
2020-07-02,0
2020-07-03,22
2020-07-04,25
2020-07-05,0
2020-07-06,0
2020-07-07,32
2020-07-08,22
2020-07-09,23
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,0
2020-07-16,0
2020-07-17,23
2020-07-18,0
2020-07-19,0
2020-07-20,67
2020-07-21,23
2020-07-22,23
2020-07-23,0
2020-07-24,23
2020-07-25,0
2020-07-26,0
2020-07-27,22
2020-07-28,43
2020-07-29,23
2020-07-30,0
2020-07-31,24
2020-08-01,24
2020-08-02,24
2020-08-03,21
2020-08-04,0
2020-08-05,0
2020-08-06,0
2020-08-07,0
2020-08-08,0
2020-08-09,23
2020-08-10,0
2020-08-11,21
2020-08-12,0
2020-08-13,21
2020-08-14,22
2020-08-15,0
2020-08-16,0
2020-08-17,21
2020-08-18,0
2020-08-19,22
2020-08-20,0
2020-08-21,0
2020-08-22,0
2020-08-23,23
2020-08-24,0
2020-08-25,0
2020-08-26,21
2020-08-27,42
2020-08-28,21
2020-08-29,0
2020-08-30,0
2020-08-31,0
2020-09-01,0
2020-09-02,0
2020-09-03,0
2020-09-04,0
2020-09-05,0
2020-09-06,0
2020-09-07,0
2020-09-08,0
2020-09-09,0
2020-09-10,0
2020-09-11,0
2020-09-12,0
2020-09-13,23
2020-09-14,0
2020-09-15,0
2020-09-16,20
2020-09-17,21
2020-09-18,43
2020-09-19,23
2020-09-20,22
2020-09-21,40
2020-09-22,20
2020-09-23,21
2020-09-24,22
2020-09-25,0
2020-09-26,0
2020-09-27,45
2020-09-28,0
2020-09-29,47
2020-09-30,0
2020-10-01,21
2020-10-02,0
2020-10-03,0
2020-10-04,22
2020-10-05,21
2020-10-06,50
2020-10-07,21
2020-10-08,22
2020-10-09,23
2020-10-10,0
2020-10-11,22
2020-10-12,0
2020-10-13,0
2020-10-14,0
2020-10-15,0
2020-10-16,0
2020-10-17,0
2020-10-18,26
