date,/m/0cjf0
2020-02-01,30
2020-02-02,34
2020-02-03,33
2020-02-04,13
2020-02-05,29
2020-02-06,13
2020-02-07,28
2020-02-08,15
2020-02-09,22
2020-02-10,33
2020-02-11,34
2020-02-12,28
2020-02-13,29
2020-02-14,30
2020-02-15,15
2020-02-16,25
2020-02-17,17
2020-02-18,33
2020-02-19,20
2020-02-20,17
2020-02-21,24
2020-02-22,12
2020-02-23,32
2020-02-24,12
2020-02-25,25
2020-02-26,37
2020-02-27,29
2020-02-28,9
2020-02-29,38
2020-03-01,22
2020-03-02,24
2020-03-03,39
2020-03-04,36
2020-03-05,42
2020-03-06,51
2020-03-07,46
2020-03-08,48
2020-03-09,51
2020-03-10,59
2020-03-11,61
2020-03-12,73
2020-03-13,100
2020-03-14,70
2020-03-15,79
2020-03-16,96
2020-03-17,75
2020-03-18,79
2020-03-19,93
2020-03-20,84
2020-03-21,60
2020-03-22,65
2020-03-23,63
2020-03-24,40
2020-03-25,51
2020-03-26,50
2020-03-27,47
2020-03-28,54
2020-03-29,47
2020-03-30,45
2020-03-31,35
2020-04-01,46
2020-04-02,45
2020-04-03,38
2020-04-04,42
2020-04-05,48
2020-04-06,44
2020-04-07,30
2020-04-08,38
2020-04-09,28
2020-04-10,15
2020-04-11,23
2020-04-12,22
2020-04-13,15
2020-04-14,21
2020-04-15,26
2020-04-16,23
2020-04-17,23
2020-04-18,40
2020-04-19,18
2020-04-20,21
2020-04-21,20
2020-04-22,23
2020-04-23,24
2020-04-24,11
2020-04-25,22
2020-04-26,20
2020-04-27,27
2020-04-28,12
2020-04-29,14
2020-04-30,18
2020-05-01,19
2020-05-02,15
2020-05-03,21
2020-05-04,20
2020-05-05,22
2020-05-06,15
2020-05-07,23
2020-05-08,13
2020-05-09,50
2020-05-10,26
2020-05-11,18
2020-05-12,14
2020-05-13,10
2020-05-14,7
2020-05-15,10
2020-05-16,17
2020-05-17,26
2020-05-18,7
2020-05-19,23
2020-05-20,15
2020-05-21,23
2020-05-22,22
2020-05-23,15
2020-05-24,15
2020-05-25,21
2020-05-26,28
2020-05-27,15
2020-05-28,17
2020-05-29,13
2020-05-30,21
2020-05-31,14
