date,/m/01b_06,isPartial
2020-03-01,35,False
2020-03-02,50,False
2020-03-03,44,False
2020-03-04,33,False
2020-03-05,38,False
2020-03-06,40,False
2020-03-07,26,False
2020-03-08,33,False
2020-03-09,29,False
2020-03-10,57,False
2020-03-11,58,False
2020-03-12,68,False
2020-03-13,92,False
2020-03-14,100,False
2020-03-15,86,False
2020-03-16,76,False
2020-03-17,76,False
2020-03-18,83,False
2020-03-19,62,False
2020-03-20,62,False
2020-03-21,67,False
2020-03-22,51,False
2020-03-23,42,False
2020-03-24,45,False
2020-03-25,48,False
2020-03-26,43,False
2020-03-27,40,False
2020-03-28,43,False
2020-03-29,46,False
2020-03-30,26,False
2020-03-31,23,False
2020-04-01,31,False
2020-04-02,25,False
2020-04-03,25,False
2020-04-04,41,False
2020-04-05,21,False
2020-04-06,13,False
2020-04-07,25,False
2020-04-08,24,False
2020-04-09,26,False
2020-04-10,29,False
2020-04-11,19,False
2020-04-12,21,False
2020-04-13,19,False
2020-04-14,21,False
2020-04-15,21,False
2020-04-16,18,False
2020-04-17,24,False
2020-04-18,18,False
2020-04-19,22,False
2020-04-20,16,False
2020-04-21,13,False
2020-04-22,23,False
2020-04-23,15,False
2020-04-24,11,False
2020-04-25,11,False
2020-04-26,13,False
2020-04-27,17,False
2020-04-28,15,False
2020-04-29,20,False
2020-04-30,8,False
2020-05-01,13,False
2020-05-02,15,False
2020-05-03,12,False
2020-05-04,13,False
2020-05-05,20,False
2020-05-06,10,False
2020-05-07,12,False
2020-05-08,17,False
2020-05-09,18,False
2020-05-10,17,False
2020-05-11,21,False
2020-05-12,21,False
2020-05-13,16,False
2020-05-14,20,False
2020-05-15,16,False
2020-05-16,20,False
2020-05-17,19,False
2020-05-18,12,False
2020-05-19,12,False
2020-05-20,16,False
2020-05-21,23,False
2020-05-22,17,False
2020-05-23,19,False
2020-05-24,14,False
2020-05-25,12,False
2020-05-26,9,False
2020-05-27,8,False
2020-05-28,11,False
2020-05-29,9,False
2020-05-30,11,False
2020-05-31,12,False
2020-06-01,18,False
2020-06-02,10,False
2020-06-03,15,False
2020-06-04,14,False
2020-06-05,11,False
2020-06-06,13,False
2020-06-07,9,False
2020-06-08,7,False
2020-06-09,12,False
2020-06-10,15,False
2020-06-11,15,False
2020-06-12,12,False
2020-06-13,8,False
2020-06-14,19,False
2020-06-15,15,False
2020-06-16,17,False
2020-06-17,13,False
2020-06-18,7,False
2020-06-19,7,False
2020-06-20,8,False
2020-06-21,11,False
2020-06-22,18,False
2020-06-23,17,False
2020-06-24,10,False
2020-06-25,10,False
2020-06-26,16,False
2020-06-27,15,False
2020-06-28,12,False
2020-06-29,19,False
2020-06-30,20,False
2020-07-01,16,False
2020-07-02,17,False
2020-07-03,13,False
2020-07-04,11,False
2020-07-05,11,False
2020-07-06,11,False
2020-07-07,21,False
2020-07-08,13,False
2020-07-09,16,False
2020-07-10,19,False
2020-07-11,19,False
2020-07-12,12,False
2020-07-13,13,False
2020-07-14,12,False
2020-07-15,10,False
2020-07-16,15,False
2020-07-17,16,False
2020-07-18,17,False
2020-07-19,12,False
2020-07-20,15,False
2020-07-21,9,False
2020-07-22,19,False
2020-07-23,21,False
2020-07-24,15,False
2020-07-25,15,False
2020-07-26,22,False
2020-07-27,17,False
2020-07-28,18,False
2020-07-29,13,False
2020-07-30,18,False
2020-07-31,16,False
2020-08-01,9,False
2020-08-02,11,False
2020-08-03,15,False
2020-08-04,19,False
2020-08-05,17,False
2020-08-06,23,False
2020-08-07,21,False
2020-08-08,21,False
2020-08-09,17,False
2020-08-10,17,False
2020-08-11,13,False
2020-08-12,16,False
2020-08-13,12,False
2020-08-14,25,False
2020-08-15,15,False
2020-08-16,17,False
2020-08-17,16,False
2020-08-18,13,False
2020-08-19,14,False
2020-08-20,21,False
2020-08-21,16,False
2020-08-22,14,False
2020-08-23,19,False
2020-08-24,21,False
2020-08-25,20,False
2020-08-26,18,False
2020-08-27,14,False
2020-08-28,19,False
2020-08-29,26,False
2020-08-30,26,False
2020-08-31,15,False
2020-09-01,19,False
2020-09-02,24,False
2020-09-03,18,False
2020-09-04,24,False
2020-09-05,16,False
2020-09-06,22,False
2020-09-07,27,False
2020-09-08,28,False
2020-09-09,34,False
2020-09-10,15,False
2020-09-11,31,False
2020-09-12,31,False
2020-09-13,29,False
2020-09-14,41,False
2020-09-15,22,False
2020-09-16,22,False
2020-09-17,15,False
2020-09-18,21,False
2020-09-19,24,False
2020-09-20,14,False
2020-09-21,22,False
2020-09-22,23,False
2020-09-23,19,False
2020-09-24,20,False
2020-09-25,16,False
2020-09-26,17,False
2020-09-27,13,False
2020-09-28,27,False
2020-09-29,16,False
2020-09-30,8,False
2020-10-01,19,False
2020-10-02,19,False
2020-10-03,13,False
2020-10-04,16,False
2020-10-05,21,False
2020-10-06,20,False
2020-10-07,12,False
2020-10-08,24,False
2020-10-09,32,False
2020-10-10,14,False
2020-10-11,22,False
2020-10-12,21,False
2020-10-13,23,False
2020-10-14,21,False
