date,/m/0g9pc
2020-03-01,34
2020-03-02,47
2020-03-03,39
2020-03-04,37
2020-03-05,35
2020-03-06,31
2020-03-07,31
2020-03-08,33
2020-03-09,32
2020-03-10,40
2020-03-11,45
2020-03-12,63
2020-03-13,71
2020-03-14,75
2020-03-15,88
2020-03-16,100
2020-03-17,77
2020-03-18,73
2020-03-19,62
2020-03-20,52
2020-03-21,50
2020-03-22,53
2020-03-23,38
2020-03-24,53
2020-03-25,38
2020-03-26,30
2020-03-27,40
2020-03-28,39
2020-03-29,29
2020-03-30,26
2020-03-31,28
2020-04-01,28
2020-04-02,23
2020-04-03,19
2020-04-04,21
2020-04-05,20
2020-04-06,17
2020-04-07,17
2020-04-08,16
2020-04-09,15
2020-04-10,14
2020-04-11,14
2020-04-12,15
2020-04-13,12
2020-04-14,18
2020-04-15,16
2020-04-16,16
2020-04-17,14
2020-04-18,14
2020-04-19,12
2020-04-20,13
2020-04-21,12
2020-04-22,8
2020-04-23,5
2020-04-24,8
2020-04-25,12
2020-04-26,9
2020-04-27,7
2020-04-28,15
2020-04-29,16
2020-04-30,13
2020-05-01,11
2020-05-02,10
2020-05-03,9
2020-05-04,10
2020-05-05,11
2020-05-06,8
2020-05-07,10
2020-05-08,5
2020-05-09,9
2020-05-10,12
2020-05-11,8
2020-05-12,10
2020-05-13,11
2020-05-14,8
2020-05-15,9
2020-05-16,9
2020-05-17,7
2020-05-18,5
2020-05-19,3
2020-05-20,7
2020-05-21,7
2020-05-22,9
2020-05-23,5
2020-05-24,5
2020-05-25,7
2020-05-26,5
2020-05-27,4
2020-05-28,5
2020-05-29,3
2020-05-30,2
2020-05-31,5
2020-06-01,1
2020-06-02,4
2020-06-03,4
2020-06-04,3
2020-06-05,4
2020-06-06,2
2020-06-07,4
2020-06-08,3
2020-06-09,2
2020-06-10,3
2020-06-11,5
2020-06-12,5
2020-06-13,2
2020-06-14,3
2020-06-15,6
2020-06-16,4
2020-06-17,3
2020-06-18,2
2020-06-19,3
2020-06-20,2
2020-06-21,3
2020-06-22,3
2020-06-23,2
2020-06-24,2
2020-06-25,2
2020-06-26,3
2020-06-27,2
2020-06-28,5
2020-06-29,3
2020-06-30,3
2020-07-01,4
2020-07-02,4
2020-07-03,2
2020-07-04,4
2020-07-05,5
2020-07-06,1
2020-07-07,3
2020-07-08,4
2020-07-09,2
2020-07-10,3
2020-07-11,4
2020-07-12,4
2020-07-13,5
2020-07-14,4
2020-07-15,4
2020-07-16,2
2020-07-17,6
2020-07-18,3
2020-07-19,4
2020-07-20,3
2020-07-21,4
2020-07-22,4
2020-07-23,2
2020-07-24,5
2020-07-25,3
2020-07-26,4
2020-07-27,3
2020-07-28,3
2020-07-29,3
2020-07-30,2
2020-07-31,4
2020-08-01,4
2020-08-02,4
2020-08-03,5
2020-08-04,1
2020-08-05,2
2020-08-06,5
2020-08-07,4
2020-08-08,2
2020-08-09,3
2020-08-10,3
2020-08-11,5
2020-08-12,2
2020-08-13,2
2020-08-14,3
2020-08-15,3
2020-08-16,2
2020-08-17,2
2020-08-18,4
2020-08-19,2
2020-08-20,3
2020-08-21,3
2020-08-22,5
2020-08-23,3
2020-08-24,3
2020-08-25,3
2020-08-26,3
2020-08-27,3
2020-08-28,3
2020-08-29,3
2020-08-30,3
2020-08-31,2
2020-09-01,6
2020-09-02,1
2020-09-03,4
2020-09-04,3
2020-09-05,2
2020-09-06,5
2020-09-07,4
2020-09-08,1
2020-09-09,4
2020-09-10,3
2020-09-11,5
2020-09-12,2
2020-09-13,5
2020-09-14,3
2020-09-15,2
2020-09-16,6
2020-09-17,3
2020-09-18,6
2020-09-19,5
2020-09-20,4
2020-09-21,3
2020-09-22,5
2020-09-23,3
2020-09-24,4
2020-09-25,5
2020-09-26,2
2020-09-27,4
2020-09-28,2
2020-09-29,5
2020-09-30,3
2020-10-01,3
2020-10-02,4
2020-10-03,3
2020-10-04,4
2020-10-05,2
2020-10-06,3
2020-10-07,3
2020-10-08,4
2020-10-09,4
2020-10-10,4
2020-10-11,4
2020-10-12,3
2020-10-13,4
2020-10-14,4
2020-10-15,2
2020-10-16,2
2020-10-17,5
2020-10-18,6
