date,/m/0hn9s
2020-02-01,13.0
2020-02-02,8.0
2020-02-03,4.0
2020-02-04,8.0
2020-02-05,0.0
2020-02-06,9.0
2020-02-07,9.0
2020-02-08,4.0
2020-02-09,12.0
2020-02-10,4.0
2020-02-11,0.0
2020-02-12,8.0
2020-02-13,4.0
2020-02-14,4.0
2020-02-15,0.0
2020-02-16,4.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,4.0
2020-02-20,9.0
2020-02-21,4.0
2020-02-22,9.0
2020-02-23,18.0
2020-02-24,4.0
2020-02-25,21.0
2020-02-26,8.0
2020-02-27,21.0
2020-02-28,40.0
2020-02-29,37.0
2020-03-01,22.0
2020-03-02,46.0
2020-03-03,56.0
2020-03-04,28.0
2020-03-05,57.0
2020-03-06,21.0
2020-03-07,27.0
2020-03-08,21.0
2020-03-09,32.0
2020-03-10,23.0
2020-03-11,56.0
2020-03-12,100.0
2020-03-13,82.0
2020-03-14,74.0
2020-03-15,79.0
2020-03-16,99.0
2020-03-17,48.0
2020-03-18,53.0
2020-03-19,42.0
2020-03-20,32.0
2020-03-21,50.0
2020-03-22,17.0
2020-03-23,27.0
2020-03-24,29.0
2020-03-25,29.0
2020-03-26,66.0
2020-03-27,59.0
2020-03-28,40.0
2020-03-29,56.0
2020-03-30,28.0
2020-03-31,14.0
2020-04-01,4.0
2020-04-02,28.0
2020-04-03,18.0
2020-04-04,29.0
2020-04-05,34.0
2020-04-06,7.0
2020-04-07,25.0
2020-04-08,30.0
2020-04-09,15.0
2020-04-10,15.0
2020-04-11,4.0
2020-04-12,21.0
2020-04-13,11.0
2020-04-14,7.0
2020-04-15,15.0
2020-04-16,11.0
2020-04-17,11.0
2020-04-18,4.0
2020-04-19,4.0
2020-04-20,11.0
2020-04-21,15.0
2020-04-22,7.0
2020-04-23,11.0
2020-04-24,11.0
2020-04-25,12.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,20.0
2020-04-29,17.0
2020-04-30,10.0
2020-05-01,7.0
2020-05-02,7.0
2020-05-03,12.0
2020-05-04,10.0
2020-05-05,9.0
2020-05-06,10.0
2020-05-07,7.0
2020-05-08,4.0
2020-05-09,19.0
2020-05-10,18.0
2020-05-11,7.0
2020-05-12,4.0
2020-05-13,15.0
2020-05-14,19.0
2020-05-15,11.0
2020-05-16,4.0
2020-05-17,22.0
2020-05-18,4.0
2020-05-19,0.0
2020-05-20,15.0
2020-05-21,17.0
2020-05-22,0.0
2020-05-23,4.0
2020-05-24,8.0
2020-05-25,0.0
2020-05-26,11.0
2020-05-27,8.0
2020-05-28,0.0
2020-05-29,15.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,22.0
2020-06-03,3.0
2020-06-04,7.0
2020-06-05,7.0
2020-06-06,0.0
2020-06-07,4.0
2020-06-08,3.0
2020-06-09,3.0
2020-06-10,7.0
2020-06-11,7.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,4.0
2020-06-16,7.0
2020-06-17,14.0
2020-06-18,0.0
2020-06-19,8.0
2020-06-20,4.0
2020-06-21,0.0
2020-06-22,4.0
2020-06-23,4.0
2020-06-24,0.0
2020-06-25,8.0
2020-06-26,0.0
2020-06-27,4.0
2020-06-28,0.0
2020-06-29,4.0
2020-06-30,4.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-04,4.0
2020-07-05,4.0
2020-07-06,8.0
2020-07-07,0.0
2020-07-08,8.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-11,0.0
2020-07-12,0.0
2020-07-13,0.0
2020-07-14,4.0
2020-07-15,4.0
2020-07-16,0.0
2020-07-17,5.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,0.0
2020-07-21,5.0
2020-07-22,9.0
2020-07-23,0.0
2020-07-24,0.0
2020-07-25,10.0
2020-07-26,0.0
2020-07-27,5.0
2020-07-28,5.0
2020-07-29,0.0
2020-07-30,5.0
2020-07-31,0.0
2020-08-01,11.0
2020-08-02,11.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,5.0
2020-08-08,0.0
2020-08-09,6.0
2020-08-10,5.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,5.0
2020-08-14,0.0
2020-08-15,10.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,10.0
2020-08-21,5.0
2020-08-22,5.0
2020-08-23,5.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,5.0
2020-08-27,0.0
2020-08-28,5.0
2020-08-29,5.0
2020-08-30,0.0
2020-08-31,5.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,14.0
2020-09-05,0.0
2020-09-06,10.0
2020-09-07,4.0
2020-09-08,0.0
2020-09-09,4.0
2020-09-10,0.0
2020-09-11,4.0
2020-09-12,9.0
2020-09-13,5.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,5.0
2020-09-20,0.0
2020-09-21,8.0
2020-09-22,0.0
2020-09-23,4.0
2020-09-24,13.0
2020-09-25,9.0
2020-09-26,0.0
2020-09-27,9.0
2020-09-28,4.0
2020-09-29,4.0
2020-09-30,0.0
2020-10-01,4.0
2020-10-02,0.0
2020-10-03,4.0
2020-10-04,8.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,5.0
2020-10-10,0.0
2020-10-11,5.0
2020-10-12,0.0
2020-10-13,4.0
2020-10-14,4.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-17,0.0
2020-10-18,5.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,4.0
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,8.0
2020-10-26,8.0
2020-10-27,0.0
2020-10-28,4.5457714678821315
2020-10-29,4.408020817340248
2020-10-30,0.0
2020-10-31,3.9947688657146
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,3.9947688657146
2020-11-04,10.882301392808738
2020-11-05,7.438535129261669
2020-11-06,3.8570182151727175
2020-11-07,3.9947688657146
2020-11-08,8.127288381971082
2020-11-09,0.0
2020-11-10,3.9947688657146
2020-11-11,7.714036430345435
2020-11-12,3.9947688657146
2020-11-13,0.0
2020-11-14,3.9947688657146
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,3.8570182151727175
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,8.265039032512966
2020-11-21,3.9947688657146
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,4.132519516256483
2020-11-30,12.122057247685683
2020-12-01,0.0
2020-12-02,7.9895377314292
2020-12-03,3.9947688657146
2020-12-04,7.9895377314292
2020-12-05,0.0
2020-12-06,4.132519516256483
2020-12-07,4.270270166798365
2020-12-08,4.408020817340248
2020-12-09,0.0
2020-12-10,4.5457714678821315
2020-12-11,4.270270166798365
2020-12-12,0.0
2020-12-13,4.270270166798365
2020-12-14,4.132519516256483
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,4.270270166798365
2020-12-18,0.0
2020-12-19,4.408020817340248
2020-12-20,4.5457714678821315
2020-12-21,4.270270166798365
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,5.372275371133428
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,5.51002602167531
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,8.402789683054849
2021-01-05,8.816041634680497
2021-01-06,4.270270166798365
2021-01-07,4.270270166798365
2021-01-08,4.408020817340248
2021-01-09,0.0
2021-01-10,4.683522118424014
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-16,0.0
2021-01-17,4.408020817340248
2021-01-18,0.0
2021-01-19,4.132519516256483
2021-01-20,7.576285779803552
2021-01-21,8.127288381971082
2021-01-22,4.270270166798365
2021-01-23,0.0
2021-01-24,8.678290984138615
2021-01-25,8.402789683054849
2021-01-26,8.54054033359673
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,4.408020817340248
2021-01-30,4.408020817340248
2021-01-31,0.0
2021-02-01,0.0
2021-02-02,0.0
2021-02-03,0.0
2021-02-04,0.0
2021-02-05,4.408020817340248
2021-02-06,13.637314403646393
2021-02-07,8.54054033359673
2021-02-08,8.265039032512966
2021-02-09,4.270270166798365
2021-02-10,8.402789683054849
2021-02-11,0.0
2021-02-12,4.408020817340248
2021-02-13,0.0
2021-02-14,4.5457714678821315
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,0.0
2021-02-18,0.0
2021-02-19,0.0
2021-02-20,0.0
2021-02-21,0.0
2021-02-22,4.132519516256483
2021-02-23,0.0
2021-02-24,9.091542935764263
2021-02-25,4.5457714678821315
2021-02-26,0.0
2021-02-27,0.0
2021-02-28,0.0
2021-03-01,0.0
2021-03-02,4.5457714678821315
2021-03-03,0.0
2021-03-04,4.408020817340248
2021-03-05,9.229293586306145
2021-03-06,0.0
2021-03-07,4.5457714678821315
2021-03-08,4.408020817340248
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-13,0.0
2021-03-14,4.270270166798365
2021-03-15,0.0
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,4.408020817340248
2021-03-19,4.408020817340248
2021-03-20,4.270270166798365
2021-03-21,0.0
2021-03-22,4.270270166798365
2021-03-23,4.408020817340248
2021-03-24,4.408020817340248
2021-03-25,0.0
2021-03-26,0.0
2021-03-27,4.5457714678821315
2021-03-28,0.0
2021-03-29,8.953792285222379
2021-03-30,9.229293586306145
2021-03-31,9.091542935764263
2021-04-01,0.0
2021-04-02,0.0
2021-04-03,4.683522118424014
2021-04-04,0.0
2021-04-05,0.0
2021-04-06,0.0
2021-04-07,0.0
2021-04-08,0.0
2021-04-09,4.132519516256483
2021-04-10,4.408020817340248
2021-04-11,0.0
2021-04-12,0.0
2021-04-13,0.0
2021-04-14,0.0
2021-04-15,9.367044236848027
2021-04-16,0.0
2021-04-17,0.0
2021-04-18,0.0
2021-04-19,0.0
2021-04-20,13.775065054188277
2021-04-21,4.5457714678821315
2021-04-22,4.683522118424014
2021-04-23,0.0
2021-04-24,4.95902341950778
2021-04-25,0.0
2021-04-26,0.0
2021-04-27,0.0
2021-04-28,0.0
2021-04-29,4.132519516256483
2021-04-30,8.54054033359673
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,4.270270166798365
2021-05-04,3.9947688657146
2021-05-05,8.402789683054849
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,8.953792285222379
2021-05-09,0.0
2021-05-10,4.270270166798365
2021-05-11,4.270270166798365
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,4.209259209900804
2021-05-16,4.503841891775666
