date,/m/01b_06
2020-02-01,11.0
2020-02-02,13.0
2020-02-03,20.0
2020-02-04,11.0
2020-02-05,16.0
2020-02-06,11.0
2020-02-07,11.0
2020-02-08,14.0
2020-02-09,23.0
2020-02-10,23.0
2020-02-11,33.0
2020-02-12,15.0
2020-02-13,28.0
2020-02-14,21.0
2020-02-15,26.0
2020-02-16,21.0
2020-02-17,13.0
2020-02-18,8.0
2020-02-19,8.0
2020-02-20,13.0
2020-02-21,22.0
2020-02-22,20.0
2020-02-23,17.0
2020-02-24,21.0
2020-02-25,32.0
2020-02-26,42.0
2020-02-27,31.0
2020-02-28,39.0
2020-02-29,41.0
2020-03-01,31.0
2020-03-02,50.0
2020-03-03,55.0
2020-03-04,44.0
2020-03-05,33.0
2020-03-06,42.0
2020-03-07,37.0
2020-03-08,36.0
2020-03-09,22.0
2020-03-10,45.0
2020-03-11,32.0
2020-03-12,60.0
2020-03-13,52.0
2020-03-14,68.0
2020-03-15,74.0
2020-03-16,100.0
2020-03-17,62.0
2020-03-18,61.0
2020-03-19,68.0
2020-03-20,43.0
2020-03-21,41.0
2020-03-22,46.0
2020-03-23,46.0
2020-03-24,29.0
2020-03-25,41.0
2020-03-26,32.0
2020-03-27,31.0
2020-03-28,45.0
2020-03-29,35.0
2020-03-30,21.0
2020-03-31,24.0
2020-04-01,13.0
2020-04-02,14.0
2020-04-03,23.0
2020-04-04,20.0
2020-04-05,26.0
2020-04-06,17.0
2020-04-07,21.0
2020-04-08,17.0
2020-04-09,13.0
2020-04-10,16.0
2020-04-11,22.0
2020-04-12,20.0
2020-04-13,20.0
2020-04-14,17.0
2020-04-15,20.0
2020-04-16,16.0
2020-04-17,22.0
2020-04-18,19.0
2020-04-19,29.0
2020-04-20,15.0
2020-04-21,13.0
2020-04-22,14.0
2020-04-23,22.0
2020-04-24,9.0
2020-04-25,12.0
2020-04-26,7.0
2020-04-27,8.0
2020-04-28,8.0
2020-04-29,10.0
2020-04-30,15.0
2020-05-01,15.0
2020-05-02,11.0
2020-05-03,24.0
2020-05-04,14.0
2020-05-05,16.0
2020-05-06,10.0
2020-05-07,8.0
2020-05-08,9.0
2020-05-09,11.0
2020-05-10,24.0
2020-05-11,20.0
2020-05-12,9.0
2020-05-13,4.0
2020-05-14,11.0
2020-05-15,14.0
2020-05-16,24.0
2020-05-17,14.0
2020-05-18,29.0
2020-05-19,14.0
2020-05-20,10.0
2020-05-21,3.0
2020-05-22,14.0
2020-05-23,13.0
2020-05-24,26.0
2020-05-25,29.0
2020-05-26,7.0
2020-05-27,7.0
2020-05-28,11.0
2020-05-29,5.0
2020-05-30,10.0
2020-05-31,16.0
2020-06-01,12.0
2020-06-02,11.0
2020-06-03,12.0
2020-06-04,10.0
2020-06-05,15.0
2020-06-06,25.0
2020-06-07,10.0
2020-06-08,10.0
2020-06-09,13.0
2020-06-10,13.0
2020-06-11,16.0
2020-06-12,2.0
2020-06-13,3.0
2020-06-14,23.0
2020-06-15,15.0
2020-06-16,7.0
2020-06-17,18.0
2020-06-18,16.0
2020-06-19,15.0
2020-06-20,6.0
2020-06-21,10.0
2020-06-22,12.0
2020-06-23,20.0
2020-06-24,10.0
2020-06-25,12.0
2020-06-26,15.0
2020-06-27,13.0
2020-06-28,17.0
2020-06-29,18.0
2020-06-30,7.0
2020-07-01,12.0
2020-07-02,7.0
2020-07-03,25.0
2020-07-04,22.0
2020-07-05,8.0
2020-07-06,10.0
2020-07-07,13.0
2020-07-08,13.0
2020-07-09,16.0
2020-07-10,11.0
2020-07-11,3.0
2020-07-12,22.0
2020-07-13,17.0
2020-07-14,22.0
2020-07-15,10.0
2020-07-16,19.0
2020-07-17,26.0
2020-07-18,3.0
2020-07-19,22.0
2020-07-20,11.0
2020-07-21,14.0
2020-07-22,17.0
2020-07-23,8.0
2020-07-24,11.0
2020-07-25,24.0
2020-07-26,6.0
2020-07-27,22.0
2020-07-28,13.0
2020-07-29,6.0
2020-07-30,6.0
2020-07-31,8.0
2020-08-01,16.0
2020-08-02,18.0
2020-08-03,3.0
2020-08-04,6.0
2020-08-05,9.0
2020-08-06,12.0
2020-08-07,9.0
2020-08-08,3.0
2020-08-09,22.0
2020-08-10,17.0
2020-08-11,24.0
2020-08-12,19.0
2020-08-13,19.0
2020-08-14,16.0
2020-08-15,9.0
2020-08-16,15.0
2020-08-17,17.0
2020-08-18,16.0
2020-08-19,11.0
2020-08-20,23.0
2020-08-21,6.0
2020-08-22,25.0
2020-08-23,3.0
2020-08-24,8.0
2020-08-25,13.0
2020-08-26,19.0
2020-08-27,14.0
2020-08-28,21.0
2020-08-29,25.0
2020-08-30,24.0
2020-08-31,18.0
2020-09-01,21.0
2020-09-02,38.0
2020-09-03,19.0
2020-09-04,19.0
2020-09-05,14.0
2020-09-06,22.0
2020-09-07,26.0
2020-09-08,21.0
2020-09-09,21.0
2020-09-10,34.0
2020-09-11,36.0
2020-09-12,21.0
2020-09-13,23.0
2020-09-14,18.0
2020-09-15,29.0
2020-09-16,28.0
2020-09-17,32.0
2020-09-18,17.0
2020-09-19,22.0
2020-09-20,29.0
2020-09-21,31.0
2020-09-22,21.0
2020-09-23,29.0
2020-09-24,26.0
2020-09-25,5.0
2020-09-26,9.0
2020-09-27,23.0
2020-09-28,20.0
2020-09-29,26.0
2020-09-30,18.0
2020-10-01,23.0
2020-10-02,16.0
2020-10-03,11.0
2020-10-04,15.0
2020-10-05,17.0
2020-10-06,25.0
2020-10-07,18.0
2020-10-08,35.0
2020-10-09,11.0
2020-10-10,21.0
2020-10-11,11.0
2020-10-12,16.0
2020-10-13,21.0
2020-10-14,11.0
2020-10-15,20.0
2020-10-16,28.0
2020-10-17,9.0
2020-10-18,17.0
2020-10-19,19.0
2020-10-20,37.0
2020-10-21,13.0
2020-10-22,25.0
2020-10-23,25.0
2020-10-24,19.0
2020-10-25,8.0
2020-10-26,23.0
2020-10-27,34.0
2020-10-28,22.17855318861575
2020-10-29,29.941046804631263
2020-10-30,27.168727656054294
2020-10-31,25.505336166908112
2020-11-01,27.72319148576969
2020-11-02,45.466034036662286
2020-11-03,40.47585956922374
2020-11-04,15.524987232031025
2020-11-05,27.168727656054294
2020-11-06,24.95087233719272
2020-11-07,19.406234040038782
2020-11-08,28.832119145200476
2020-11-09,22.733017018331143
2020-11-10,31.04997446406205
2020-11-11,18.851770210323387
2020-11-12,22.733017018331143
2020-11-13,13.861595742884845
2020-11-14,11.089276594307876
2020-11-15,16.633914891461814
2020-11-16,19.406234040038782
2020-11-17,19.960697869754174
2020-11-18,17.188378721177205
2020-11-19,19.960697869754174
2020-11-20,17.188378721177205
2020-11-21,2.772319148576969
2020-11-22,14.416059572600238
2020-11-23,14.416059572600238
2020-11-24,19.406234040038782
2020-11-25,16.633914891461814
2020-11-26,5.544638297153938
2020-11-27,17.7428425508926
2020-11-28,5.544638297153938
2020-11-29,19.960697869754174
2020-11-30,13.861595742884845
2020-12-01,17.188378721177205
2020-12-02,17.188378721177205
2020-12-03,8.316957445730907
2020-12-04,11.089276594307876
2020-12-05,11.64374042402327
2020-12-06,20.51516169946957
2020-12-07,26.059799996623507
2020-12-08,14.416059572600238
2020-12-09,17.188378721177205
2020-12-10,14.970523402315632
2020-12-11,21.624089358900356
2020-12-12,8.8714212754463
2020-12-13,11.64374042402327
2020-12-14,14.416059572600238
2020-12-15,24.95087233719272
2020-12-16,14.970523402315632
2020-12-17,36.040148931500596
2020-12-18,19.960697869754174
2020-12-19,13.30713191316945
2020-12-20,30.495510634346658
2020-12-21,27.72319148576969
2020-12-22,25.505336166908112
2020-12-23,13.30713191316945
2020-12-24,18.851770210323387
2020-12-25,15.524987232031025
2020-12-26,13.861595742884845
2020-12-27,31.04997446406205
2020-12-28,30.495510634346658
2020-12-29,24.95087233719272
2020-12-30,26.059799996623507
2020-12-31,3.8812468080077562
2021-01-01,7.7624936160155125
2021-01-02,9.980348934877087
2021-01-03,29.386582974915868
2021-01-04,14.970523402315632
2021-01-05,21.069625529184965
2021-01-06,12.198204253738663
2021-01-07,14.970523402315632
2021-01-08,31.04997446406205
2021-01-09,34.37675744235441
2021-01-10,39.92139573950835
2021-01-11,39.92139573950835
2021-01-12,30.495510634346658
2021-01-13,14.970523402315632
2021-01-14,12.198204253738663
2021-01-15,16.07945106174642
2021-01-16,22.17855318861575
2021-01-17,22.733017018331143
2021-01-18,8.8714212754463
2021-01-19,31.04997446406205
2021-01-20,17.188378721177205
2021-01-21,23.841944677761933
2021-01-22,12.752668083454056
2021-01-23,12.752668083454056
2021-01-24,24.95087233719272
2021-01-25,17.7428425508926
2021-01-26,12.198204253738663
2021-01-27,24.396408507477325
2021-01-28,18.297306380607996
2021-01-29,15.524987232031025
2021-01-30,29.386582974915868
2021-01-31,37.703540420646775
2021-02-01,23.28748084804654
2021-02-02,23.841944677761933
2021-02-03,20.51516169946957
2021-02-04,18.297306380607996
2021-02-05,34.931221272069806
2021-02-06,28.832119145200476
2021-02-07,24.396408507477325
2021-02-08,23.28748084804654
2021-02-09,15.524987232031025
2021-02-10,23.841944677761933
2021-02-11,21.624089358900356
2021-02-12,21.624089358900356
2021-02-13,22.733017018331143
2021-02-14,15.524987232031025
2021-02-15,23.28748084804654
2021-02-16,11.64374042402327
2021-02-17,21.069625529184965
2021-02-18,30.495510634346658
2021-02-19,15.524987232031025
2021-02-20,9.980348934877087
2021-02-21,13.861595742884845
2021-02-22,34.931221272069806
2021-02-23,29.386582974915868
2021-02-24,16.633914891461814
2021-02-25,16.633914891461814
2021-02-26,12.752668083454056
2021-02-27,26.059799996623507
2021-02-28,27.72319148576969
2021-03-01,32.71336595320823
2021-03-02,13.30713191316945
2021-03-03,23.28748084804654
2021-03-04,22.17855318861575
2021-03-05,22.733017018331143
2021-03-06,24.95087233719272
2021-03-07,10.534812764592482
2021-03-08,24.95087233719272
2021-03-09,22.17855318861575
2021-03-10,17.188378721177205
2021-03-11,34.931221272069806
2021-03-12,28.27765531548508
2021-03-13,16.07945106174642
2021-03-14,21.624089358900356
2021-03-15,18.851770210323387
2021-03-16,18.851770210323387
2021-03-17,24.396408507477325
2021-03-18,29.941046804631263
2021-03-19,12.198204253738663
2021-03-20,2.772319148576969
2021-03-21,18.297306380607996
2021-03-22,20.51516169946957
2021-03-23,24.95087233719272
2021-03-24,32.71336595320823
2021-03-25,21.069625529184965
2021-03-26,18.297306380607996
2021-03-27,30.495510634346658
2021-03-28,46.02049786637768
2021-03-29,34.931221272069806
2021-03-30,28.27765531548508
2021-03-31,22.17855318861575
2021-04-01,18.851770210323387
2021-04-02,15.524987232031025
2021-04-03,34.931221272069806
2021-04-04,13.30713191316945
2021-04-05,29.941046804631263
2021-04-06,18.297306380607996
2021-04-07,24.396408507477325
2021-04-08,27.72319148576969
