date,/m/0cycc
2020-02-01,24
2020-02-02,16
2020-02-03,15
2020-02-04,26
2020-02-05,21
2020-02-06,21
2020-02-07,20
2020-02-08,14
2020-02-09,6
2020-02-10,18
2020-02-11,22
2020-02-12,13
2020-02-13,17
2020-02-14,15
2020-02-15,13
2020-02-16,16
2020-02-17,11
2020-02-18,12
2020-02-19,12
2020-02-20,15
2020-02-21,10
2020-02-22,13
2020-02-23,24
2020-02-24,40
2020-02-25,40
2020-02-26,43
2020-02-27,42
2020-02-28,28
2020-02-29,40
2020-03-01,49
2020-03-02,61
2020-03-03,44
2020-03-04,37
2020-03-05,43
2020-03-06,45
2020-03-07,33
2020-03-08,47
2020-03-09,48
2020-03-10,51
2020-03-11,57
2020-03-12,73
2020-03-13,72
2020-03-14,65
2020-03-15,100
2020-03-16,53
2020-03-17,49
2020-03-18,45
2020-03-19,55
2020-03-20,62
2020-03-21,63
2020-03-22,65
2020-03-23,33
2020-03-24,36
2020-03-25,38
2020-03-26,36
2020-03-27,42
2020-03-28,36
2020-03-29,41
2020-03-30,26
2020-03-31,28
2020-04-01,31
2020-04-02,39
2020-04-03,24
2020-04-04,35
2020-04-05,17
2020-04-06,22
2020-04-07,20
2020-04-08,15
2020-04-09,29
2020-04-10,31
2020-04-11,29
2020-04-12,34
2020-04-13,27
2020-04-14,16
2020-04-15,16
2020-04-16,13
2020-04-17,14
2020-04-18,21
2020-04-19,17
2020-04-20,20
2020-04-21,10
2020-04-22,13
2020-04-23,13
2020-04-24,19
2020-04-25,15
2020-04-26,10
2020-04-27,12
2020-04-28,18
2020-04-29,15
2020-04-30,9
2020-05-01,18
2020-05-02,11
2020-05-03,17
2020-05-04,6
2020-05-05,11
2020-05-06,9
2020-05-07,9
2020-05-08,9
2020-05-09,9
2020-05-10,18
2020-05-11,24
2020-05-12,13
2020-05-13,9
2020-05-14,7
2020-05-15,7
2020-05-16,10
2020-05-17,10
2020-05-18,11
2020-05-19,3
2020-05-20,6
2020-05-21,7
2020-05-22,11
2020-05-23,8
2020-05-24,16
2020-05-25,3
2020-05-26,6
2020-05-27,9
2020-05-28,8
2020-05-29,6
2020-05-30,8
2020-05-31,13
