date,/m/01b_06
2020-02-01,7.0
2020-02-02,19.0
2020-02-03,38.0
2020-02-04,30.0
2020-02-05,20.0
2020-02-06,21.0
2020-02-07,29.0
2020-02-08,20.0
2020-02-09,34.0
2020-02-10,12.0
2020-02-11,23.0
2020-02-12,13.0
2020-02-13,20.0
2020-02-14,28.0
2020-02-15,11.0
2020-02-16,26.0
2020-02-17,18.0
2020-02-18,16.0
2020-02-19,20.0
2020-02-20,10.0
2020-02-21,11.0
2020-02-22,18.0
2020-02-23,27.0
2020-02-24,23.0
2020-02-25,40.0
2020-02-26,100.0
2020-02-27,69.0
2020-02-28,67.0
2020-02-29,77.0
2020-03-01,54.0
2020-03-02,79.0
2020-03-03,76.0
2020-03-04,40.0
2020-03-05,63.0
2020-03-06,64.0
2020-03-07,23.0
2020-03-08,48.0
2020-03-09,61.0
2020-03-10,55.0
2020-03-11,49.0
2020-03-12,55.0
2020-03-13,67.0
2020-03-14,93.0
2020-03-15,73.0
2020-03-16,90.0
2020-03-17,69.0
2020-03-18,65.0
2020-03-19,49.0
2020-03-20,56.0
2020-03-21,36.0
2020-03-22,47.0
2020-03-23,64.0
2020-03-24,43.0
2020-03-25,51.0
2020-03-26,44.0
2020-03-27,52.0
2020-03-28,42.0
2020-03-29,50.0
2020-03-30,29.0
2020-03-31,26.0
2020-04-01,40.0
2020-04-02,35.0
2020-04-03,27.0
2020-04-04,19.0
2020-04-05,44.0
2020-04-06,24.0
2020-04-07,52.0
2020-04-08,35.0
2020-04-09,19.0
2020-04-10,24.0
2020-04-11,15.0
2020-04-12,34.0
2020-04-13,14.0
2020-04-14,8.0
2020-04-15,23.0
2020-04-16,32.0
2020-04-17,34.0
2020-04-18,14.0
2020-04-19,15.0
2020-04-20,19.0
2020-04-21,25.0
2020-04-22,23.0
2020-04-23,14.0
2020-04-24,17.0
2020-04-25,30.0
2020-04-26,19.0
2020-04-27,31.0
2020-04-28,15.0
2020-04-29,23.0
2020-04-30,19.0
2020-05-01,16.0
2020-05-02,20.0
2020-05-03,23.0
2020-05-04,25.0
2020-05-05,16.0
2020-05-06,16.0
2020-05-07,21.0
2020-05-08,17.0
2020-05-09,14.0
2020-05-10,30.0
2020-05-11,15.0
2020-05-12,19.0
2020-05-13,23.0
2020-05-14,20.0
2020-05-15,12.0
2020-05-16,28.0
2020-05-17,20.0
2020-05-18,31.0
2020-05-19,12.0
2020-05-20,15.0
2020-05-21,32.0
2020-05-22,14.0
2020-05-23,21.0
2020-05-24,19.0
2020-05-25,11.0
2020-05-26,23.0
2020-05-27,20.0
2020-05-28,14.0
2020-05-29,15.0
2020-05-30,30.0
2020-05-31,23.0
2020-06-01,3.0
2020-06-02,11.0
2020-06-03,15.0
2020-06-04,17.0
2020-06-05,13.0
2020-06-06,19.0
2020-06-07,19.0
2020-06-08,15.0
2020-06-09,16.0
2020-06-10,9.0
2020-06-11,14.0
2020-06-12,11.0
2020-06-13,10.0
2020-06-14,13.0
2020-06-15,8.0
2020-06-16,14.0
2020-06-17,23.0
2020-06-18,6.0
2020-06-19,18.0
2020-06-20,17.0
2020-06-21,13.0
2020-06-22,15.0
2020-06-23,6.0
2020-06-24,16.0
2020-06-25,38.0
2020-06-26,19.0
2020-06-27,6.0
2020-06-28,18.0
2020-06-29,17.0
2020-06-30,25.0
2020-07-01,14.0
2020-07-02,15.0
2020-07-03,22.0
2020-07-04,14.0
2020-07-05,13.0
2020-07-06,27.0
2020-07-07,22.0
2020-07-08,26.0
2020-07-09,23.0
2020-07-10,20.0
2020-07-11,19.0
2020-07-12,39.0
2020-07-13,17.0
2020-07-14,33.0
2020-07-15,16.0
2020-07-16,17.0
2020-07-17,25.0
2020-07-18,16.0
2020-07-19,4.0
2020-07-20,24.0
2020-07-21,21.0
2020-07-22,10.0
2020-07-23,32.0
2020-07-24,28.0
2020-07-25,7.0
2020-07-26,18.0
2020-07-27,24.0
2020-07-28,17.0
2020-07-29,7.0
2020-07-30,18.0
2020-07-31,21.0
2020-08-01,19.0
2020-08-02,19.0
2020-08-03,14.0
2020-08-04,33.0
2020-08-05,15.0
2020-08-06,22.0
2020-08-07,8.0
2020-08-08,24.0
2020-08-09,0.0
2020-08-10,24.0
2020-08-11,14.0
2020-08-12,3.0
2020-08-13,28.0
2020-08-14,25.0
2020-08-15,15.0
2020-08-16,18.0
2020-08-17,14.0
2020-08-18,14.0
2020-08-19,27.0
2020-08-20,36.0
2020-08-21,25.0
2020-08-22,15.0
2020-08-23,14.0
2020-08-24,23.0
2020-08-25,20.0
2020-08-26,17.0
2020-08-27,14.0
2020-08-28,10.0
2020-08-29,17.0
2020-08-30,20.0
2020-08-31,33.0
2020-09-01,27.0
2020-09-02,27.0
2020-09-03,44.0
2020-09-04,14.0
2020-09-05,21.0
2020-09-06,24.0
2020-09-07,23.0
2020-09-08,37.0
2020-09-09,62.0
2020-09-10,39.0
2020-09-11,52.0
2020-09-12,39.0
2020-09-13,27.0
2020-09-14,37.0
2020-09-15,47.0
2020-09-16,35.0
2020-09-17,42.0
2020-09-18,34.0
2020-09-19,30.0
2020-09-20,26.0
2020-09-21,26.0
2020-09-22,29.0
2020-09-23,26.0
2020-09-24,16.0
2020-09-25,13.0
2020-09-26,20.0
2020-09-27,30.0
2020-09-28,13.0
2020-09-29,36.0
2020-09-30,26.0
2020-10-01,10.0
2020-10-02,7.0
2020-10-03,7.0
2020-10-04,16.0
2020-10-05,35.0
2020-10-06,29.0
2020-10-07,35.0
2020-10-08,37.0
2020-10-09,18.0
2020-10-10,29.0
2020-10-11,23.0
2020-10-12,41.0
2020-10-13,23.0
2020-10-14,20.0
2020-10-15,14.0
2020-10-16,37.0
2020-10-17,36.0
2020-10-18,25.0
2020-10-19,24.0
2020-10-20,30.0
2020-10-21,7.0
2020-10-22,27.0
2020-10-23,31.0
2020-10-24,31.0
2020-10-25,36.0
2020-10-26,29.0
2020-10-27,32.0
2020-10-28,39.91791872328275
2020-10-29,27.548986161138803
2020-10-30,28.673434575879163
2020-10-31,39.355694515912575
2020-11-01,22.488968294807187
2020-11-02,16.30450201373521
2020-11-03,16.30450201373521
2020-11-04,39.355694515912575
2020-11-05,15.74227780636503
2020-11-06,15.74227780636503
2020-11-07,28.11121036850898
2020-11-08,19.11562305058611
2020-11-09,19.677847257956287
2020-11-10,33.1712282348406
2020-11-11,23.613416709547543
2020-11-12,56.22242073701796
2020-11-13,42.72903976013365
2020-11-14,28.673434575879163
2020-11-15,15.74227780636503
2020-11-16,22.488968294807187
2020-11-17,29.23565878324934
2020-11-18,23.613416709547543
2020-11-19,22.488968294807187
2020-11-20,10.120035732663233
2020-11-21,23.051192502177365
2020-11-22,19.11562305058611
2020-11-23,29.23565878324934
2020-11-24,9.557811525293054
2020-11-25,21.926744087437005
2020-11-26,12.931156769514132
2020-11-27,22.488968294807187
2020-11-28,16.30450201373521
2020-11-29,12.368932562143952
2020-11-30,9.557811525293054
2020-12-01,19.11562305058611
2020-12-02,16.30450201373521
2020-12-03,35.9823492716915
2020-12-04,19.677847257956287
2020-12-05,16.30450201373521
2020-12-06,16.30450201373521
2020-12-07,10.120035732663233
2020-12-08,35.9823492716915
2020-12-09,23.051192502177365
2020-12-10,10.120035732663233
2020-12-11,14.05560518425449
2020-12-12,33.1712282348406
2020-12-13,0.0
2020-12-14,10.120035732663233
2020-12-15,21.364519880066826
2020-12-16,27.548986161138803
2020-12-17,17.99117463584575
2020-12-18,41.604591345393295
2020-12-19,11.244484147403593
2020-12-20,18.553398843215927
2020-12-21,35.42012506432132
2020-12-22,32.04677982010024
2020-12-23,32.60900402747042
2020-12-24,12.931156769514132
2020-12-25,33.733452442210776
2020-12-26,27.548986161138803
2020-12-27,28.11121036850898
2020-12-28,17.42895042847557
2020-12-29,38.793470308542396
2020-12-30,25.862313539028264
2020-12-31,7.871138903182515
2021-01-01,20.240071465326466
2021-01-02,26.98676195376862
2021-01-03,25.300089331658082
2021-01-04,23.051192502177365
2021-01-05,27.548986161138803
2021-01-06,10.120035732663233
2021-01-07,27.548986161138803
2021-01-08,21.926744087437005
2021-01-09,25.862313539028264
2021-01-10,37.106797686431854
2021-01-11,34.85790085695114
2021-01-12,14.05560518425449
2021-01-13,23.613416709547543
2021-01-14,45.54016079698455
2021-01-15,39.91791872328275
2021-01-16,17.99117463584575
2021-01-17,17.99117463584575
2021-01-18,38.793470308542396
2021-01-19,30.92233140535988
2021-01-20,25.862313539028264
2021-01-21,28.11121036850898
2021-01-22,21.364519880066826
2021-01-23,20.802295672696648
2021-01-24,30.92233140535988
2021-01-25,27.548986161138803
2021-01-26,14.05560518425449
2021-01-27,31.48455561273006
2021-01-28,35.9823492716915
2021-01-29,14.05560518425449
2021-01-30,25.300089331658082
2021-01-31,16.866726221105388
2021-02-01,37.66902189380204
2021-02-02,37.106797686431854
2021-02-03,30.360107197989702
2021-02-04,29.23565878324934
2021-02-05,24.737865124287904
2021-02-06,17.42895042847557
2021-02-07,34.295676649580955
2021-02-08,30.360107197989702
2021-02-09,24.175640916917725
2021-02-10,56.22242073701796
2021-02-11,14.61782939162467
2021-02-12,35.9823492716915
2021-02-13,25.300089331658082
2021-02-14,10.682259940033413
2021-02-15,31.48455561273006
2021-02-16,20.802295672696648
2021-02-17,13.49338097688431
2021-02-18,21.364519880066826
2021-02-19,33.1712282348406
2021-02-20,15.74227780636503
2021-02-21,32.60900402747042
2021-02-22,23.613416709547543
2021-02-23,22.488968294807187
2021-02-24,33.733452442210776
2021-02-25,15.180053598994851
2021-02-26,25.300089331658082
2021-02-27,20.240071465326466
2021-02-28,15.180053598994851
2021-03-01,21.926744087437005
2021-03-02,29.79788299061952
2021-03-03,25.300089331658082
2021-03-04,35.9823492716915
2021-03-05,14.61782939162467
2021-03-06,25.862313539028264
2021-03-07,22.488968294807187
2021-03-08,28.673434575879163
2021-03-09,21.364519880066826
2021-03-10,29.79788299061952
2021-03-11,50.600178663316164
2021-03-12,24.737865124287904
2021-03-13,17.99117463584575
2021-03-14,26.424537746398443
2021-03-15,25.300089331658082
2021-03-16,21.364519880066826
2021-03-17,33.733452442210776
2021-03-18,31.48455561273006
2021-03-19,20.802295672696648
2021-03-20,18.553398843215927
2021-03-21,20.240071465326466
2021-03-22,26.98676195376862
2021-03-23,45.54016079698455
