date,/m/07mf1
2020-03-01,22
2020-03-02,41
2020-03-03,41
2020-03-04,52
2020-03-05,21
2020-03-06,83
2020-03-07,35
2020-03-08,31
2020-03-09,20
2020-03-10,81
2020-03-11,39
2020-03-12,50
2020-03-13,77
2020-03-14,22
2020-03-15,51
2020-03-16,59
2020-03-17,75
2020-03-18,54
2020-03-19,76
2020-03-20,83
2020-03-21,62
2020-03-22,60
2020-03-23,32
2020-03-24,53
2020-03-25,44
2020-03-26,18
2020-03-27,51
2020-03-28,61
2020-03-29,57
2020-03-30,25
2020-03-31,42
2020-04-01,44
2020-04-02,70
2020-04-03,18
2020-04-04,52
2020-04-05,20
2020-04-06,15
2020-04-07,33
2020-04-08,43
2020-04-09,54
2020-04-10,36
2020-04-11,20
2020-04-12,61
2020-04-13,19
2020-04-14,17
2020-04-15,27
2020-04-16,26
2020-04-17,18
2020-04-18,0
2020-04-19,19
2020-04-20,51
2020-04-21,35
2020-04-22,37
2020-04-23,18
2020-04-24,0
2020-04-25,39
2020-04-26,20
2020-04-27,34
2020-04-28,16
2020-04-29,41
2020-04-30,0
2020-05-01,17
2020-05-02,52
2020-05-03,19
2020-05-04,17
2020-05-05,79
2020-05-06,17
2020-05-07,18
2020-05-08,44
2020-05-09,38
2020-05-10,54
2020-05-11,57
2020-05-12,63
2020-05-13,36
2020-05-14,46
2020-05-15,50
2020-05-16,24
2020-05-17,24
2020-05-18,57
2020-05-19,38
2020-05-20,40
2020-05-21,33
2020-05-22,0
2020-05-23,22
2020-05-24,68
2020-05-25,37
2020-05-26,28
2020-05-27,0
2020-05-28,28
2020-05-29,0
2020-05-30,0
2020-05-31,23
2020-06-01,100
2020-06-02,27
2020-06-03,25
2020-06-04,34
2020-06-05,26
2020-06-06,42
2020-06-07,33
2020-06-08,17
2020-06-09,36
2020-06-10,19
2020-06-11,36
2020-06-12,19
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,18
2020-06-17,19
2020-06-18,19
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,20
2020-06-26,40
2020-06-27,0
2020-06-28,0
2020-06-29,38
2020-06-30,0
2020-07-01,40
2020-07-02,20
2020-07-03,21
2020-07-04,24
2020-07-05,43
2020-07-06,20
2020-07-07,19
2020-07-08,0
2020-07-09,21
2020-07-10,0
2020-07-11,0
2020-07-12,24
2020-07-13,41
2020-07-14,21
2020-07-15,19
2020-07-16,31
2020-07-17,0
2020-07-18,47
2020-07-19,23
2020-07-20,0
2020-07-21,20
2020-07-22,20
2020-07-23,0
2020-07-24,0
2020-07-25,22
2020-07-26,22
2020-07-27,20
2020-07-28,20
2020-07-29,0
2020-07-30,60
2020-07-31,21
2020-08-01,44
2020-08-02,65
2020-08-03,19
2020-08-04,20
2020-08-05,0
2020-08-06,40
2020-08-07,0
2020-08-08,0
2020-08-09,0
2020-08-10,36
2020-08-11,0
2020-08-12,18
2020-08-13,17
2020-08-14,19
2020-08-15,20
2020-08-16,20
2020-08-17,18
2020-08-18,28
2020-08-19,0
2020-08-20,19
2020-08-21,0
2020-08-22,0
2020-08-23,0
2020-08-24,0
2020-08-25,0
2020-08-26,59
2020-08-27,19
2020-08-28,39
2020-08-29,22
2020-08-30,22
2020-08-31,30
2020-09-01,20
2020-09-02,0
2020-09-03,21
2020-09-04,0
2020-09-05,22
2020-09-06,45
2020-09-07,0
2020-09-08,40
2020-09-09,20
2020-09-10,41
2020-09-11,31
2020-09-12,23
2020-09-13,23
2020-09-14,20
2020-09-15,51
2020-09-16,40
2020-09-17,21
2020-09-18,0
2020-09-19,0
2020-09-20,0
2020-09-21,40
2020-09-22,40
2020-09-23,39
2020-09-24,20
2020-09-25,0
2020-09-26,47
2020-09-27,33
2020-09-28,22
2020-09-29,0
2020-09-30,32
2020-10-01,43
2020-10-02,22
2020-10-03,44
2020-10-04,44
2020-10-05,51
2020-10-06,42
2020-10-07,0
2020-10-08,22
2020-10-09,46
2020-10-10,25
2020-10-11,46
2020-10-12,44
2020-10-13,0
2020-10-14,21
2020-10-15,22
2020-10-16,23
2020-10-17,48
2020-10-18,25
