date,/m/0lbt3
2020-02-01,20.0
2020-02-02,24.0
2020-02-03,12.0
2020-02-04,27.0
2020-02-05,23.0
2020-02-06,5.0
2020-02-07,19.0
2020-02-08,20.0
2020-02-09,14.0
2020-02-10,13.0
2020-02-11,9.0
2020-02-12,13.0
2020-02-13,13.0
2020-02-14,37.0
2020-02-15,0.0
2020-02-16,23.0
2020-02-17,9.0
2020-02-18,4.0
2020-02-19,4.0
2020-02-20,18.0
2020-02-21,9.0
2020-02-22,10.0
2020-02-23,15.0
2020-02-24,9.0
2020-02-25,22.0
2020-02-26,13.0
2020-02-27,17.0
2020-02-28,5.0
2020-02-29,45.0
2020-03-01,26.0
2020-03-02,8.0
2020-03-03,13.0
2020-03-04,13.0
2020-03-05,12.0
2020-03-06,4.0
2020-03-07,29.0
2020-03-08,5.0
2020-03-09,33.0
2020-03-10,18.0
2020-03-11,0.0
2020-03-12,12.0
2020-03-13,18.0
2020-03-14,100.0
2020-03-15,66.0
2020-03-16,42.0
2020-03-17,60.0
2020-03-18,24.0
2020-03-19,24.0
2020-03-20,39.0
2020-03-21,14.0
2020-03-22,17.0
2020-03-23,24.0
2020-03-24,15.0
2020-03-25,15.0
2020-03-26,15.0
2020-03-27,22.0
2020-03-28,4.0
2020-03-29,22.0
2020-03-30,26.0
2020-03-31,7.0
2020-04-01,18.0
2020-04-02,11.0
2020-04-03,20.0
2020-04-04,9.0
2020-04-05,17.0
2020-04-06,11.0
2020-04-07,7.0
2020-04-08,11.0
2020-04-09,11.0
2020-04-10,12.0
2020-04-11,4.0
2020-04-12,13.0
2020-04-13,8.0
2020-04-14,8.0
2020-04-15,16.0
2020-04-16,16.0
2020-04-17,15.0
2020-04-18,13.0
2020-04-19,16.0
2020-04-20,11.0
2020-04-21,11.0
2020-04-22,4.0
2020-04-23,12.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,4.0
2020-04-27,7.0
2020-04-28,10.0
2020-04-29,7.0
2020-04-30,21.0
2020-05-01,7.0
2020-05-02,20.0
2020-05-03,16.0
2020-05-04,7.0
2020-05-05,13.0
2020-05-06,11.0
2020-05-07,15.0
2020-05-08,16.0
2020-05-09,12.0
2020-05-10,15.0
2020-05-11,3.0
2020-05-12,19.0
2020-05-13,7.0
2020-05-14,8.0
2020-05-15,16.0
2020-05-16,13.0
2020-05-17,21.0
2020-05-18,15.0
2020-05-19,0.0
2020-05-20,16.0
2020-05-21,14.0
2020-05-22,4.0
2020-05-23,9.0
2020-05-24,0.0
2020-05-25,8.0
2020-05-26,16.0
2020-05-27,16.0
2020-05-28,11.0
2020-05-29,8.0
2020-05-30,23.0
2020-05-31,0.0
2020-06-01,4.0
2020-06-02,7.0
2020-06-03,0.0
2020-06-04,14.0
2020-06-05,12.0
2020-06-06,9.0
2020-06-07,13.0
2020-06-08,11.0
2020-06-09,0.0
2020-06-10,8.0
2020-06-11,8.0
2020-06-12,12.0
2020-06-13,8.0
2020-06-14,14.0
2020-06-15,0.0
2020-06-16,8.0
2020-06-17,8.0
2020-06-18,12.0
2020-06-19,0.0
2020-06-20,35.0
2020-06-21,24.0
2020-06-22,4.0
2020-06-23,17.0
2020-06-24,0.0
2020-06-25,13.0
2020-06-26,13.0
2020-06-27,10.0
2020-06-28,9.0
2020-06-29,4.0
2020-06-30,12.0
2020-07-01,4.0
2020-07-02,8.0
2020-07-03,13.0
2020-07-04,34.0
2020-07-05,0.0
2020-07-06,32.0
2020-07-07,21.0
2020-07-08,0.0
2020-07-09,13.0
2020-07-10,9.0
2020-07-11,0.0
2020-07-12,5.0
2020-07-13,4.0
2020-07-14,9.0
2020-07-15,12.0
2020-07-16,26.0
2020-07-17,22.0
2020-07-18,20.0
2020-07-19,20.0
2020-07-20,17.0
2020-07-21,4.0
2020-07-22,13.0
2020-07-23,4.0
2020-07-24,17.0
2020-07-25,29.0
2020-07-26,14.0
2020-07-27,8.0
2020-07-28,4.0
2020-07-29,12.0
2020-07-30,17.0
2020-07-31,4.0
2020-08-01,9.0
2020-08-02,13.0
2020-08-03,15.0
2020-08-04,19.0
2020-08-05,12.0
2020-08-06,17.0
2020-08-07,8.0
2020-08-08,5.0
2020-08-09,0.0
2020-08-10,23.0
2020-08-11,12.0
2020-08-12,11.0
2020-08-13,28.0
2020-08-14,4.0
2020-08-15,9.0
2020-08-16,13.0
2020-08-17,16.0
2020-08-18,12.0
2020-08-19,12.0
2020-08-20,29.0
2020-08-21,13.0
2020-08-22,9.0
2020-08-23,13.0
2020-08-24,4.0
2020-08-25,12.0
2020-08-26,8.0
2020-08-27,8.0
2020-08-28,8.0
2020-08-29,16.0
2020-08-30,9.0
2020-08-31,8.0
2020-09-01,13.0
2020-09-02,8.0
2020-09-03,13.0
2020-09-04,9.0
2020-09-05,28.0
2020-09-06,9.0
2020-09-07,8.0
2020-09-08,8.0
2020-09-09,22.0
2020-09-10,15.0
2020-09-11,11.0
2020-09-12,9.0
2020-09-13,29.0
2020-09-14,15.0
2020-09-15,31.0
2020-09-16,12.0
2020-09-17,12.0
2020-09-18,12.0
2020-09-19,17.0
2020-09-20,8.0
2020-09-21,4.0
2020-09-22,25.0
2020-09-23,19.0
2020-09-24,8.0
2020-09-25,8.0
2020-09-26,9.0
2020-09-27,18.0
2020-09-28,16.0
2020-09-29,0.0
2020-09-30,20.0
2020-10-01,8.0
2020-10-02,20.0
2020-10-03,9.0
2020-10-04,9.0
2020-10-05,17.0
2020-10-06,17.0
2020-10-07,4.0
2020-10-08,4.0
2020-10-09,5.0
2020-10-10,16.0
2020-10-11,14.0
2020-10-12,23.0
2020-10-13,23.0
2020-10-14,13.0
2020-10-15,19.0
2020-10-16,15.0
2020-10-17,26.0
2020-10-18,26.0
2020-10-19,28.0
2020-10-20,9.0
2020-10-21,0.0
2020-10-22,4.0
2020-10-23,22.0
2020-10-24,5.0
2020-10-25,9.0
2020-10-26,13.0
2020-10-27,0.0
2020-10-28,19.034259145831044
2020-10-29,6.0909629266659335
2020-10-30,5.329592560832692
2020-10-31,28.932073901663184
2020-11-01,23.602481340830494
2020-11-02,33.50029609666264
2020-11-03,27.4093331699967
2020-11-04,20.556999877497525
2020-11-05,21.31837024333077
2020-11-06,27.4093331699967
2020-11-07,27.4093331699967
2020-11-08,5.329592560832692
2020-11-09,16.75014804833132
2020-11-10,11.420555487498625
2020-11-11,10.659185121665384
2020-11-12,16.75014804833132
2020-11-13,5.329592560832692
2020-11-14,28.932073901663184
2020-11-15,11.420555487498625
2020-11-16,5.329592560832692
2020-11-17,22.84111097499725
2020-11-18,22.84111097499725
2020-11-19,11.420555487498625
2020-11-20,11.420555487498625
2020-11-21,23.602481340830494
2020-11-22,11.420555487498625
2020-11-23,6.0909629266659335
2020-11-24,16.75014804833132
2020-11-25,15.988777682498075
2020-11-26,16.75014804833132
2020-11-27,16.75014804833132
2020-11-28,11.420555487498625
2020-11-29,17.51151841416456
2020-11-30,10.659185121665384
2020-12-01,16.75014804833132
2020-12-02,11.420555487498625
2020-12-03,11.420555487498625
2020-12-04,10.659185121665384
2020-12-05,39.59125902332857
2020-12-06,6.0909629266659335
2020-12-07,11.420555487498625
2020-12-08,16.75014804833132
2020-12-09,28.170703535829944
2020-12-10,0.0
2020-12-11,11.420555487498625
