date,/m/01b_06
2020-02-01,26.0
2020-02-02,25.0
2020-02-03,27.0
2020-02-04,26.0
2020-02-05,25.0
2020-02-06,26.0
2020-02-07,24.0
2020-02-08,27.0
2020-02-09,24.0
2020-02-10,35.0
2020-02-11,30.0
2020-02-12,31.0
2020-02-13,30.0
2020-02-14,25.0
2020-02-15,20.0
2020-02-16,22.0
2020-02-17,23.0
2020-02-18,22.0
2020-02-19,22.0
2020-02-20,22.0
2020-02-21,20.0
2020-02-22,20.0
2020-02-23,24.0
2020-02-24,28.0
2020-02-25,36.0
2020-02-26,44.0
2020-02-27,40.0
2020-02-28,37.0
2020-02-29,31.0
2020-03-01,38.0
2020-03-02,47.0
2020-03-03,49.0
2020-03-04,50.0
2020-03-05,51.0
2020-03-06,44.0
2020-03-07,43.0
2020-03-08,48.0
2020-03-09,62.0
2020-03-10,65.0
2020-03-11,77.0
2020-03-12,99.0
2020-03-13,95.0
2020-03-14,85.0
2020-03-15,86.0
2020-03-16,98.0
2020-03-17,100.0
2020-03-18,85.0
2020-03-19,71.0
2020-03-20,65.0
2020-03-21,74.0
2020-03-22,77.0
2020-03-23,68.0
2020-03-24,60.0
2020-03-25,69.0
2020-03-26,59.0
2020-03-27,61.0
2020-03-28,59.0
2020-03-29,51.0
2020-03-30,43.0
2020-03-31,40.0
2020-04-01,39.0
2020-04-02,37.0
2020-04-03,33.0
2020-04-04,33.0
2020-04-05,38.0
2020-04-06,37.0
2020-04-07,32.0
2020-04-08,33.0
2020-04-09,28.0
2020-04-10,27.0
2020-04-11,28.0
2020-04-12,28.0
2020-04-13,30.0
2020-04-14,28.0
2020-04-15,27.0
2020-04-16,24.0
2020-04-17,23.0
2020-04-18,26.0
2020-04-19,25.0
2020-04-20,22.0
2020-04-21,24.0
2020-04-22,23.0
2020-04-23,20.0
2020-04-24,21.0
2020-04-25,21.0
2020-04-26,23.0
2020-04-27,25.0
2020-04-28,25.0
2020-04-29,23.0
2020-04-30,22.0
2020-05-01,21.0
2020-05-02,21.0
2020-05-03,24.0
2020-05-04,22.0
2020-05-05,21.0
2020-05-06,21.0
2020-05-07,20.0
2020-05-08,19.0
2020-05-09,19.0
2020-05-10,21.0
2020-05-11,21.0
2020-05-12,22.0
2020-05-13,20.0
2020-05-14,21.0
2020-05-15,19.0
2020-05-16,22.0
2020-05-17,21.0
2020-05-18,26.0
2020-05-19,23.0
2020-05-20,20.0
2020-05-21,20.0
2020-05-22,20.0
2020-05-23,19.0
2020-05-24,19.0
2020-05-25,18.0
2020-05-26,19.0
2020-05-27,19.0
2020-05-28,19.0
2020-05-29,19.0
2020-05-30,19.0
2020-05-31,19.0
2020-06-01,20.0
2020-06-02,19.0
2020-06-03,22.0
2020-06-04,20.0
2020-06-05,21.0
2020-06-06,19.0
2020-06-07,21.0
2020-06-08,20.0
2020-06-09,21.0
2020-06-10,19.0
2020-06-11,19.0
2020-06-12,19.0
2020-06-13,18.0
2020-06-14,18.0
2020-06-15,19.0
2020-06-16,20.0
2020-06-17,20.0
2020-06-18,17.0
2020-06-19,19.0
2020-06-20,17.0
2020-06-21,20.0
2020-06-22,23.0
2020-06-23,23.0
2020-06-24,20.0
2020-06-25,17.0
2020-06-26,18.0
2020-06-27,19.0
2020-06-28,22.0
2020-06-29,23.0
2020-06-30,22.0
2020-07-01,23.0
2020-07-02,20.0
2020-07-03,19.0
2020-07-04,20.0
2020-07-05,22.0
2020-07-06,22.0
2020-07-07,23.0
2020-07-08,23.0
2020-07-09,19.0
2020-07-10,20.0
