date,/m/0b76bty
2020-02-01,45.0
2020-02-02,0.0
2020-02-03,49.0
2020-02-04,40.0
2020-02-05,38.0
2020-02-06,38.0
2020-02-07,27.0
2020-02-08,15.0
2020-02-09,29.0
2020-02-10,0.0
2020-02-11,13.0
2020-02-12,0.0
2020-02-13,39.0
2020-02-14,0.0
2020-02-15,14.0
2020-02-16,14.0
2020-02-17,0.0
2020-02-18,26.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,41.0
2020-02-22,70.0
2020-02-23,28.0
2020-02-24,0.0
2020-02-25,13.0
2020-02-26,49.0
2020-02-27,36.0
2020-02-28,0.0
2020-02-29,30.0
2020-03-01,0.0
2020-03-02,47.0
2020-03-03,13.0
2020-03-04,36.0
2020-03-05,25.0
2020-03-06,13.0
2020-03-07,28.0
2020-03-08,40.0
2020-03-09,36.0
2020-03-10,73.0
2020-03-11,38.0
2020-03-12,49.0
2020-03-13,51.0
2020-03-14,100.0
2020-03-15,95.0
2020-03-16,74.0
2020-03-17,63.0
2020-03-18,26.0
2020-03-19,78.0
2020-03-20,25.0
2020-03-21,41.0
2020-03-22,37.0
2020-03-23,31.0
2020-03-24,23.0
2020-03-25,49.0
2020-03-26,11.0
2020-03-27,42.0
2020-03-28,37.0
2020-03-29,25.0
2020-03-30,11.0
2020-03-31,11.0
2020-04-01,0.0
2020-04-02,22.0
2020-04-03,11.0
2020-04-04,12.0
2020-04-05,36.0
2020-04-06,53.0
2020-04-07,56.0
2020-04-08,11.0
2020-04-09,0.0
2020-04-10,36.0
2020-04-11,27.0
2020-04-12,13.0
2020-04-13,0.0
2020-04-14,36.0
2020-04-15,35.0
2020-04-16,38.0
2020-04-17,13.0
2020-04-18,14.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,23.0
2020-04-22,0.0
2020-04-23,12.0
2020-04-24,0.0
2020-04-25,28.0
2020-04-26,0.0
2020-04-27,12.0
2020-04-28,0.0
2020-04-29,12.0
2020-04-30,23.0
2020-05-01,0.0
2020-05-02,26.0
2020-05-03,13.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,24.0
2020-05-07,37.0
2020-05-08,13.0
2020-05-09,15.0
2020-05-10,0.0
2020-05-11,12.0
2020-05-12,0.0
2020-05-13,25.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,15.0
2020-05-17,15.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,26.0
2020-05-22,0.0
2020-05-23,16.0
2020-05-24,15.0
2020-05-25,0.0
2020-05-26,12.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,15.0
2020-05-31,0.0
2020-06-01,12.0
2020-06-02,0.0
2020-06-03,36.0
2020-06-04,0.0
2020-06-05,13.0
2020-06-06,29.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,25.0
2020-06-11,0.0
2020-06-12,26.0
2020-06-13,0.0
2020-06-14,15.0
2020-06-15,0.0
2020-06-16,24.0
2020-06-17,25.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,15.0
2020-06-21,0.0
2020-06-22,12.0
2020-06-23,0.0
2020-06-24,24.0
2020-06-25,13.0
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,26.0
2020-06-30,0.0
2020-07-01,0.0
