date,/m/0g9pc
2020-02-01,24.0
2020-02-02,20.0
2020-02-03,18.0
2020-02-04,19.0
2020-02-05,12.0
2020-02-06,14.0
2020-02-07,9.0
2020-02-08,10.0
2020-02-09,7.0
2020-02-10,9.0
2020-02-11,10.0
2020-02-12,9.0
2020-02-13,11.0
2020-02-14,11.0
2020-02-15,8.0
2020-02-16,9.0
2020-02-17,8.0
2020-02-18,8.0
2020-02-19,5.0
2020-02-20,7.0
2020-02-21,6.0
2020-02-22,8.0
2020-02-23,26.0
2020-02-24,31.0
2020-02-25,40.0
2020-02-26,52.0
2020-02-27,36.0
2020-02-28,33.0
2020-02-29,21.0
2020-03-01,22.0
2020-03-02,17.0
2020-03-03,17.0
2020-03-04,29.0
2020-03-05,39.0
2020-03-06,33.0
2020-03-07,21.0
2020-03-08,34.0
2020-03-09,37.0
2020-03-10,52.0
2020-03-11,87.0
2020-03-12,79.0
2020-03-13,88.0
2020-03-14,78.0
2020-03-15,88.0
2020-03-16,90.0
2020-03-17,100.0
2020-03-18,78.0
2020-03-19,73.0
2020-03-20,72.0
2020-03-21,76.0
2020-03-22,62.0
2020-03-23,56.0
2020-03-24,54.0
2020-03-25,48.0
2020-03-26,50.0
2020-03-27,55.0
2020-03-28,46.0
2020-03-29,54.0
2020-03-30,33.0
2020-03-31,43.0
2020-04-01,38.0
2020-04-02,36.0
2020-04-03,36.0
2020-04-04,29.0
2020-04-05,31.0
2020-04-06,31.0
2020-04-07,26.0
2020-04-08,31.0
2020-04-09,30.0
2020-04-10,27.0
2020-04-11,24.0
2020-04-12,23.0
2020-04-13,19.0
2020-04-14,18.0
2020-04-15,19.0
2020-04-16,15.0
2020-04-17,20.0
2020-04-18,16.0
2020-04-19,22.0
2020-04-20,18.0
2020-04-21,16.0
2020-04-22,19.0
2020-04-23,18.0
2020-04-24,17.0
2020-04-25,14.0
2020-04-26,17.0
2020-04-27,13.0
2020-04-28,12.0
2020-04-29,10.0
2020-04-30,11.0
2020-05-01,11.0
2020-05-02,13.0
2020-05-03,11.0
2020-05-04,15.0
2020-05-05,12.0
2020-05-06,12.0
2020-05-07,12.0
2020-05-08,16.0
2020-05-09,13.0
2020-05-10,8.0
2020-05-11,11.0
2020-05-12,12.0
2020-05-13,6.0
2020-05-14,10.0
2020-05-15,10.0
2020-05-16,10.0
2020-05-17,10.0
2020-05-18,11.0
2020-05-19,7.0
2020-05-20,8.0
2020-05-21,7.0
2020-05-22,8.0
2020-05-23,9.0
2020-05-24,9.0
2020-05-25,8.0
2020-05-26,8.0
2020-05-27,6.0
2020-05-28,6.0
2020-05-29,9.0
2020-05-30,3.0
2020-05-31,7.0
2020-06-01,5.0
2020-06-02,4.0
2020-06-03,5.0
2020-06-04,6.0
2020-06-05,5.0
2020-06-06,6.0
2020-06-07,3.0
2020-06-08,8.0
2020-06-09,5.0
2020-06-10,5.0
2020-06-11,6.0
2020-06-12,4.0
2020-06-13,5.0
2020-06-14,3.0
2020-06-15,7.0
2020-06-16,4.0
2020-06-17,6.0
2020-06-18,6.0
2020-06-19,3.0
2020-06-20,6.0
2020-06-21,4.0
2020-06-22,6.0
2020-06-23,6.0
2020-06-24,5.0
2020-06-25,6.0
2020-06-26,5.0
2020-06-27,2.0
2020-06-28,5.0
2020-06-29,8.0
2020-06-30,5.0
2020-07-01,4.0
2020-07-02,5.0
2020-07-03,5.0
2020-07-04,3.0
2020-07-05,4.0
2020-07-06,5.0
2020-07-07,5.0
2020-07-08,5.0
2020-07-09,6.0
2020-07-10,5.0
2020-07-11,5.0
2020-07-12,12.0
2020-07-13,12.0
2020-07-14,3.0
2020-07-15,5.0
2020-07-16,7.0
2020-07-17,2.0
2020-07-18,3.0
2020-07-19,5.0
2020-07-20,6.0
2020-07-21,4.0
2020-07-22,5.0
2020-07-23,4.0
