date,/m/0hn9s
2020-02-01,12.0
2020-02-02,6.0
2020-02-03,6.0
2020-02-04,8.0
2020-02-05,6.0
2020-02-06,2.0
2020-02-07,4.0
2020-02-08,4.0
2020-02-09,3.0
2020-02-10,5.0
2020-02-11,7.0
2020-02-12,3.0
2020-02-13,3.0
2020-02-14,3.0
2020-02-15,6.0
2020-02-16,6.0
2020-02-17,2.0
2020-02-18,3.0
2020-02-19,3.0
2020-02-20,1.0
2020-02-21,20.0
2020-02-22,31.0
2020-02-23,54.0
2020-02-24,72.0
2020-02-25,46.0
2020-02-26,31.0
2020-02-27,25.0
2020-02-28,17.0
2020-02-29,16.0
2020-03-01,15.0
2020-03-02,23.0
2020-03-03,21.0
2020-03-04,38.0
2020-03-05,39.0
2020-03-06,47.0
2020-03-07,43.0
2020-03-08,50.0
2020-03-09,58.0
2020-03-10,42.0
2020-03-11,100.0
2020-03-12,68.0
2020-03-13,61.0
2020-03-14,64.0
2020-03-15,50.0
2020-03-16,44.0
2020-03-17,45.0
2020-03-18,48.0
2020-03-19,47.0
2020-03-20,41.0
2020-03-21,35.0
2020-03-22,40.0
2020-03-23,25.0
2020-03-24,30.0
2020-03-25,34.0
2020-03-26,24.0
2020-03-27,32.0
2020-03-28,33.0
2020-03-29,26.0
2020-03-30,25.0
2020-03-31,18.0
2020-04-01,20.0
2020-04-02,20.0
2020-04-03,20.0
2020-04-04,23.0
2020-04-05,27.0
2020-04-06,17.0
2020-04-07,15.0
2020-04-08,17.0
2020-04-09,12.0
2020-04-10,14.0
2020-04-11,14.0
2020-04-12,19.0
2020-04-13,19.0
2020-04-14,14.0
2020-04-15,10.0
2020-04-16,14.0
2020-04-17,12.0
2020-04-18,14.0
2020-04-19,15.0
2020-04-20,13.0
2020-04-21,11.0
2020-04-22,8.0
2020-04-23,12.0
2020-04-24,8.0
2020-04-25,7.0
2020-04-26,8.0
2020-04-27,11.0
2020-04-28,12.0
2020-04-29,7.0
2020-04-30,9.0
2020-05-01,11.0
2020-05-02,9.0
2020-05-03,16.0
2020-05-04,7.0
2020-05-05,6.0
2020-05-06,7.0
2020-05-07,10.0
2020-05-08,5.0
2020-05-09,9.0
2020-05-10,8.0
2020-05-11,6.0
2020-05-12,9.0
2020-05-13,11.0
2020-05-14,7.0
2020-05-15,10.0
2020-05-16,6.0
2020-05-17,4.0
2020-05-18,7.0
2020-05-19,6.0
2020-05-20,8.0
2020-05-21,7.0
2020-05-22,6.0
2020-05-23,7.0
2020-05-24,5.0
2020-05-25,8.0
2020-05-26,5.0
2020-05-27,4.0
2020-05-28,5.0
2020-05-29,3.0
2020-05-30,6.0
2020-05-31,6.0
2020-06-01,7.0
2020-06-02,8.0
2020-06-03,7.0
2020-06-04,6.0
2020-06-05,6.0
2020-06-06,8.0
2020-06-07,3.0
2020-06-08,5.0
2020-06-09,5.0
2020-06-10,6.0
2020-06-11,4.0
2020-06-12,5.0
2020-06-13,3.0
2020-06-14,4.0
2020-06-15,7.0
2020-06-16,6.0
2020-06-17,6.0
2020-06-18,3.0
2020-06-19,5.0
2020-06-20,3.0
2020-06-21,6.0
2020-06-22,2.0
2020-06-23,3.0
2020-06-24,4.0
2020-06-25,1.0
2020-06-26,5.0
2020-06-27,2.0
2020-06-28,4.0
2020-06-29,4.0
2020-06-30,2.0
2020-07-01,3.0
2020-07-02,3.0
2020-07-03,4.0
2020-07-04,3.0
2020-07-05,4.0
2020-07-06,3.0
2020-07-07,2.0
2020-07-08,4.0
2020-07-09,3.0
2020-07-10,2.0
2020-07-11,5.0
2020-07-12,3.0
2020-07-13,2.0
2020-07-14,1.0
2020-07-15,3.0
2020-07-16,3.0
2020-07-17,4.0
2020-07-18,2.0
2020-07-19,3.0
2020-07-20,2.0
2020-07-21,3.0
2020-07-22,4.0
2020-07-23,1.0
2020-07-24,3.0
2020-07-25,3.0
2020-07-26,2.0
2020-07-27,1.0
2020-07-28,3.0
2020-07-29,4.0
2020-07-30,2.0
2020-07-31,4.0
2020-08-01,1.0
2020-08-02,3.0
2020-08-03,1.0
2020-08-04,2.0
2020-08-05,2.0
2020-08-06,2.0
2020-08-07,5.0
2020-08-08,3.0
2020-08-09,1.0
2020-08-10,1.0
2020-08-11,1.0
2020-08-12,3.0
2020-08-13,4.0
2020-08-14,5.0
2020-08-15,3.0
2020-08-16,4.0
2020-08-17,3.0
2020-08-18,5.0
2020-08-19,3.0
2020-08-20,4.0
2020-08-21,3.0
2020-08-22,6.0
2020-08-23,2.0
2020-08-24,2.0
2020-08-25,6.0
2020-08-26,4.0
2020-08-27,2.0
2020-08-28,2.0
2020-08-29,4.0
2020-08-30,2.0
2020-08-31,2.0
2020-09-01,3.0
2020-09-02,2.0
2020-09-03,1.0
2020-09-04,4.0
2020-09-05,2.0
2020-09-06,3.0
2020-09-07,4.0
2020-09-08,3.0
2020-09-09,4.0
2020-09-10,2.0
2020-09-11,4.0
2020-09-12,3.0
2020-09-13,3.0
2020-09-14,0.0
2020-09-15,3.0
2020-09-16,4.0
2020-09-17,3.0
2020-09-18,3.0
2020-09-19,3.0
2020-09-20,3.0
2020-09-21,2.0
2020-09-22,3.0
2020-09-23,3.0
2020-09-24,2.0
2020-09-25,3.0
2020-09-26,3.0
2020-09-27,4.0
2020-09-28,2.0
2020-09-29,2.0
2020-09-30,3.0
2020-10-01,5.0
2020-10-02,4.0
2020-10-03,4.0
2020-10-04,2.0
2020-10-05,2.0
2020-10-06,1.0
2020-10-07,4.0
2020-10-08,4.0
2020-10-09,3.0
2020-10-10,2.0
2020-10-11,3.0
2020-10-12,4.0
2020-10-13,3.0
2020-10-14,4.0
2020-10-15,4.0
2020-10-16,4.0
2020-10-17,4.0
2020-10-18,3.0
2020-10-19,5.0
2020-10-20,4.0
2020-10-21,6.0
2020-10-22,4.0
2020-10-23,3.0
2020-10-24,6.0
2020-10-25,5.0
2020-10-26,5.0
2020-10-27,5.0
2020-10-28,6.754981616068028
2020-10-29,3.8599894948960154
2020-10-30,6.079483454461225
2020-10-31,4.92148660599242
2020-11-01,5.403985292854422
2020-11-02,3.6669900201512147
2020-11-03,2.701992646427211
2020-11-04,5.114486080737221
2020-11-05,2.701992646427211
2020-11-06,2.3159936969376096
2020-11-07,5.114486080737221
2020-11-08,5.210985818109621
2020-11-09,2.3159936969376096
2020-11-10,6.561982141323226
